"0","1","2","3","4","5","6","7","8","9","10"
"02:25 p.m.","""Shawnee Mission KS""","84 F","84.0","Partly Cloudy","14 mph","14.0","S","9.0 miles","9.0","66216"
"03:25 p.m.","""Palmyra NY""","86 F","86.0","Mostly Cloudy","14 mph","14.0","SW","8.0 miles","8.0","14522"
"03:25 p.m.","""Arlington VA""","86 F","86.0","Partly Cloudy","13 mph","13.0","S","8.0 miles","8.0","22204"
"03:25 p.m.","""Miami Beach FL""","79 F","79.0","Cloudy","2 mph","2.0","ESE","10.0 miles","10.0","33160"
"03:25 p.m.","""Middle River MD""","85 F","85.0","Fair","11 mph","11.0","SE","5.0 miles","5.0","21220"
"02:25 p.m.","""Nashville TN""","75 F","75.0","Thunder","6 mph","6.0","E","10.0 miles","10.0","37201"
"03:25 p.m.","""Charlotte NC""","88 F","88.0","Partly Cloudy","6 mph","6.0","SSW","7.0 miles","7.0","28202"
"02:25 p.m.","""Alexandria LA""","90 F","90.0","Partly Cloudy","6 mph","6.0","S","10.0 miles","10.0","71302"
"12:25 p.m.","""Benton City WA""","64 F","64.0","Partly Cloudy","6 mph","6.0","WSW","10.0 miles","10.0","99320"
"12:25 p.m.","""Dayton NV""","56 F","56.0","Cloudy","27 mph","27.0","W","10.0 miles","10.0","89403"
"02:25 p.m.","""Oklahoma City OK""","88 F","88.0","Partly Cloudy","19 mph","19.0","S","9.0 miles","9.0","73116"
"01:25 p.m.","""Evanston WY""","40 F","40.0","Cloudy","16 mph","16.0","W","10.0 miles","10.0","82930"
"02:25 p.m.","""Southaven MS""","75 F","75.0","Cloudy","10 mph","10.0","E","10.0 miles","10.0","38671"
"03:25 p.m.","""Greenwood DE""","97 F","97.0","Sunny","5 mph","5.0","SSW","7.0 miles","7.0","19950"
"03:25 p.m.","""Plantsville CT""","83 F","83.0","Sunny","20 mph","20.0","SSW","8.0 miles","8.0","6479"
"12:25 p.m.","""Tucson AZ""","89 F","89.0","Sunny","8 mph","8.0","W","10.0 miles","10.0","85741"
"02:25 p.m.","""Cottonwood Falls KS""","75 F","75.0","Sunny","13 mph","13.0","SSE","10.0 miles","10.0","66845"
"01:25 p.m.","""Whitefish MT""","54 F","54.0","Cloudy","10 mph","10.0","NW","10.0 miles","10.0","59937"
"03:45 p.m.","""Chauncey GA""","86 F","86.0","Mostly Cloudy","6 mph","6.0","SSW","8.0 miles","8.0","31011"
"02:25 p.m.","""Rushmore MN""","85 F","85.0","Sunny","15 mph","15.0","SW","10.0 miles","10.0","56168"
"02:25 p.m.","""Dallas TX""","92 F","92.0","Mostly Cloudy","19 mph","19.0","SSW","10.0 miles","10.0","75204"
"12:25 p.m.","""Redmond WA""","58 F","58.0","Mostly Cloudy","6 mph","6.0","WNW","10.0 miles","10.0","98052"
"03:25 p.m.","""Atlanta GA""","88 F","88.0","Partly Cloudy","2 mph","2.0","SE","9.0 miles","9.0","30302"
"12:25 p.m.","""Flagstaff AZ""","66 F","66.0","Sunny and Windy","31 mph","31.0","SW","10.0 miles","10.0","86001"
"02:45 p.m.","""Fremont NE""","88 F","88.0","Partly Cloudy","21 mph","21.0","SSE","10.0 miles","10.0","68025"
"02:45 p.m.","""Linden TN""","69 F","69.0","Rain Shower","3 mph","3.0","N","9.0 miles","9.0","37096"
"02:45 p.m.","""Milton FL""","75 F","75.0","Mostly Cloudy","1 mph","1.0","SSW","7.0 miles","7.0","32570"
"03:25 p.m.","""Laurel DE""","89 F","89.0","Partly Cloudy","7 mph","7.0","S","8.0 miles","8.0","19956"
"03:45 p.m.","""Hyde Park VT""","71 F","71.0","Sunny","12 mph","12.0","S","6.0 miles","6.0","5655"
"02:45 p.m.","""La Fontaine IN""","85 F","85.0","Partly Cloudy","11 mph","11.0","W","10.0 miles","10.0","46940"
"01:45 p.m.","""Rapid City SD""","86 F","86.0","Partly Cloudy and Windy","20 mph","20.0","SSE","10.0 miles","10.0","57702"
"02:45 p.m.","""Stanley ND""","71 F","71.0","Mostly Cloudy","20 mph","20.0","E","9.0 miles","9.0","58784"
"02:45 p.m.","""Guthrie OK""","90 F","90.0","Sunny","19 mph","19.0","SSW","10.0 miles","10.0","73044"
"02:25 p.m.","""Bismarck ND""","80 F","80.0","Sunny and Windy","26 mph","26.0","ESE","10.0 miles","10.0","58501"
"02:45 p.m.","""Saint Louis MO""","79 F","79.0","Cloudy","3 mph","3.0","ESE","10.0 miles","10.0","63138"
"11:16 a.m.","""Petersburg AK""","61 F","61.0","Fair","6 mph","6.0","W","10.0 miles","10.0","99833"
"03:45 p.m.","""Columbia SC""","89 F","89.0","Partly Cloudy","7 mph","7.0","SSE","10.0 miles","10.0","29201"
"02:25 p.m.","""Bellevue NE""","87 F","87.0","Fair","19 mph","19.0","SSE","7.0 miles","7.0","68005"
"03:45 p.m.","""Fraser MI""","85 F","85.0","Fair","26 mph","26.0","W","10.0 miles","10.0","48026"
"02:45 p.m.","""Troy MO""","82 F","82.0","Cloudy","3 mph","3.0","SE","10.0 miles","10.0","63379"
"03:45 p.m.","""Hubert NC""","82 F","82.0","Cloudy","14 mph","14.0","S","8.0 miles","8.0","28539"
"08:53 a.m.","""Honolulu HI""","83 F","83.0","Partly Cloudy","12 mph","12.0","E","10.0 miles","10.0","96801"
"03:45 p.m.","""Great Barrington MA""","83 F","83.0","Fair","20 mph","20.0","SSW","8.0 miles","8.0","1230"
"02:45 p.m.","""Sturtevant WI""","93 F","93.0","Fair and Windy","32 mph","32.0","W","10.0 miles","10.0","53177"
"03:25 p.m.","""Yarmouth ME""","50 F","50.0","Fog","4 mph","4.0","E","1.2 miles","1.2.0","4096"
"02:45 p.m.","""Florissant MO""","77 F","77.0","Cloudy","2 mph","2.0","SSE","10.0 miles","10.0","63033"
"03:45 p.m.","""Manchester NH""","65 F","65.0","Cloudy","8 mph","8.0","SE","7.0 miles","7.0","3101"
"12:45 p.m.","""Los Angeles CA""","73 F","73.0","Fair","11 mph","11.0","WSW","10.0 miles","10.0","90001"
"02:45 p.m.","""Denham Springs LA""","81 F","81.0","Mostly Cloudy","10 mph","10.0","ENE","10.0 miles","10.0","70726"
"03:45 p.m.","""Fairfield CT""","76 F","76.0","Sunny","13 mph","13.0","SE","6.0 miles","6.0","6824"
"02:45 p.m.","""Milwaukee WI""","89 F","89.0","Partly Cloudy","24 mph","24.0","W","10.0 miles","10.0","53228"
"03:45 p.m.","""Belleview FL""","88 F","88.0","Partly Cloudy","4 mph","4.0","SE","10.0 miles","10.0","34420"
"02:45 p.m.","""Winner SD""","87 F","87.0","Sunny and Windy","20 mph","20.0","SSE","10.0 miles","10.0","57580"
"12:45 p.m.","""Laughlin NV""","88 F","88.0","Sunny and Windy","20 mph","20.0","SSW","10.0 miles","10.0","89029"
"03:45 p.m.","""Dover Foxcroft ME""","53 F","53.0","Cloudy","10 mph","10.0","SSE","8.0 miles","8.0","4426"
"02:45 p.m.","""Mount Prospect IL""","89 F","89.0","Fair","24 mph","24.0","W","10.0 miles","10.0","60056"
"02:45 p.m.","""Quincy IL""","85 F","85.0","Mostly Cloudy","12 mph","12.0","SSW","10.0 miles","10.0","62301"
"03:45 p.m.","""Tampa FL""","87 F","87.0","Cloudy","6 mph","6.0","SW","10.0 miles","10.0","33602"
"02:45 p.m.","""Tinley Park IL""","92 F","92.0","Partly Cloudy","24 mph","24.0","W","10.0 miles","10.0","60477"
"02:45 p.m.","""Milwaukee WI""","79 F","79.0","Partly Cloudy","10 mph","10.0","W","10.0 miles","10.0","53202"
"01:45 p.m.","""Glenwood NM""","82 F","82.0","Sunny","23 mph","23.0","SW","10.0 miles","10.0","88039"
"02:45 p.m.","""Duluth MN""","70 F","70.0","Partly Cloudy","26 mph","26.0","WNW","10.0 miles","10.0","55803"
"03:45 p.m.","""Utica MI""","83 F","83.0","Partly Cloudy","28 mph","28.0","W","10.0 miles","10.0","48317"
"03:45 p.m.","""Hillsborough NJ""","90 F","90.0","Thunder","8 mph","8.0","SSW","8.0 miles","8.0","8844"
"03:45 p.m.","""Warner NH""","70 F","70.0","Mostly Cloudy","12 mph","12.0","SSE","10.0 miles","10.0","3278"
"02:45 p.m.","""Mena AR""","84 F","84.0","Partly Cloudy","6 mph","6.0","SW","10.0 miles","10.0","71953"
"12:45 p.m.","""Tacoma WA""","57 F","57.0","Cloudy","6 mph","6.0","WNW","10.0 miles","10.0","98466"
"03:45 p.m.","""Lawrenceville GA""","71 F","71.0","Partly Cloudy","2 mph","2.0","WSW","7.0 miles","7.0","30044"
"01:45 p.m.","""Garden Valley ID""","57 F","57.0","Partly Cloudy","26 mph","26.0","WNW","10.0 miles","10.0","83622"
"02:45 p.m.","""Victoria TX""","90 F","90.0","Fair","16 mph","16.0","SSE","10.0 miles","10.0","77904"
"02:45 p.m.","""Emporia KS""","82 F","82.0","Fair","15 mph","15.0","SSE","10.0 miles","10.0","66801"
"02:45 p.m.","""Madison MS""","78 F","78.0","Cloudy","4 mph","4.0","SSE","8.0 miles","8.0","39110"
"02:45 p.m.","""Lester IA""","87 F","87.0","Fair","22 mph","22.0","SSW","10.0 miles","10.0","51242"
"02:45 p.m.","""Waupaca WI""","79 F","79.0","Fair","24 mph","24.0","W","10.0 miles","10.0","54981"
"02:45 p.m.","""Indianapolis IN""","86 F","86.0","Partly Cloudy","8 mph","8.0","WSW","10.0 miles","10.0","46201"
"03:45 p.m.","""Louisville KY""","90 F","90.0","Partly Cloudy","12 mph","12.0","W","10.0 miles","10.0","40207"
"01:45 p.m.","""Boise ID""","61 F","61.0","Partly Cloudy","22 mph","22.0","NW","10.0 miles","10.0","83702"
"03:45 p.m.","""Detroit MI""","85 F","85.0","Fair and Windy","27 mph","27.0","W","10.0 miles","10.0","48202"
"01:45 p.m.","""Longmont CO""","82 F","82.0","Sunny","12 mph","12.0","SSE","10.0 miles","10.0","80501"
"03:45 p.m.","""Pacolet SC""","93 F","93.0","Partly Cloudy","12 mph","12.0","SSE","9.0 miles","9.0","29372"
"03:45 p.m.","""Waynesville NC""","84 F","84.0","Partly Cloudy","6 mph","6.0","SSW","10.0 miles","10.0","28785"
"02:45 p.m.","""Dardanelle AR""","88 F","88.0","Partly Cloudy","5 mph","5.0","WSW","8.0 miles","8.0","72834"
"02:45 p.m.","""Saint Louis MO""","76 F","76.0","Cloudy","6 mph","6.0","ENE","10.0 miles","10.0","63101"
"03:45 p.m.","""Cambridge MA""","69 F","69.0","Sunny","10 mph","10.0","ESE","10.0 miles","10.0","2138"
"03:45 p.m.","""Bowling Green OH""","87 F","87.0","Fair","15 mph","15.0","W","10.0 miles","10.0","43402"
"03:45 p.m.","""Columbus OH""","88 F","88.0","Partly Cloudy","19 mph","19.0","WSW","10.0 miles","10.0","43085"
"03:45 p.m.","""Winsted CT""","83 F","83.0","Sunny","18 mph","18.0","SSW","9.0 miles","9.0","6098"
"03:45 p.m.","""Bethesda MD""","89 F","89.0","Mostly Cloudy","10 mph","10.0","SSW","8.0 miles","8.0","20814"
"01:45 p.m.","""Clovis NM""","85 F","85.0","Fair","23 mph","23.0","S","9.0 miles","9.0","88101"
"01:45 p.m.","""Orem UT""","51 F","51.0","Cloudy","13 mph","13.0","NW","9.0 miles","9.0","84057"
"02:45 p.m.","""Memphis TN""","75 F","75.0","Cloudy","9 mph","9.0","E","10.0 miles","10.0","38117"
"03:45 p.m.","""Cresskill NJ""","85 F","85.0","Sunny","22 mph","22.0","S","6.0 miles","6.0","7626"
"03:45 p.m.","""Boston MA""","62 F","62.0","Fair","10 mph","10.0","E","10.0 miles","10.0","2101"
"01:45 p.m.","""Edgewood NM""","83 F","83.0","Fair","21 mph","21.0","SSW","10.0 miles","10.0","87015"
"02:45 p.m.","""Fishers IN""","85 F","85.0","Sunny","8 mph","8.0","W","10.0 miles","10.0","46038"
"03:45 p.m.","""Charlotte NC""","89 F","89.0","Partly Cloudy","5 mph","5.0","S","7.0 miles","7.0","28277"
"10:56 a.m.","""Anchorage AK""","59 F","59.0","Partly Cloudy","5 mph","5.0","","Unlimited","Unlimited",""
"","","","","","","","","","",""
"","","","","","","","","","","29690"
"","","","","","","""","99504","","","26508"
"03:45 p.m.","""Travelers Rest SC""","87 F","87.0","Thunder","11 mph","11.0","S","9.0 miles","9.0","97338"
"03:53 p.m.","""Morgantown WV""","68 F","68.0","Mostly Cloudy","9 mph","9.0","S","10.0 miles","10.0","2919"
"12:45 p.m.","""Dallas OR""","56 F","56.0","Cloudy","19 mph","19.0","SSW","9.0 miles","9.0","18940"
"03:45 p.m.","""Johnston RI""","72 F","72.0","Partly Cloudy","15 mph","15.0","S","6.0 miles","6.0","10001"
"03:45 p.m.","""Newtown PA""","89 F","89.0","Sunny","10 mph","10.0","SSW","8.0 miles","8.0","48445"
"03:45 p.m.","""New York NY""","85 F","85.0","Sunny","18 mph","18.0","SSE","8.0 miles","8.0","40391"
"03:45 p.m.","""Kinde MI""","79 F","79.0","Partly Cloudy","34 mph","34.0","WSW","10.0 miles","10.0","46260"
"03:45 p.m.","""Winchester KY""","90 F","90.0","Partly Cloudy","10 mph","10.0","WNW","10.0 miles","10.0","72401"
"02:45 p.m.","""Indianapolis IN""","85 F","85.0","Sunny","8 mph","8.0","W","10.0 miles","10.0","81401"
"02:45 p.m.","""Jonesboro AR""","96 F","96.0","Partly Cloudy","12 mph","12.0","SSE","10.0 miles","10.0","96744"
"01:45 p.m.","""Montrose CO""","79 F","79.0","Partly Cloudy and Windy","31 mph","31.0","WSW","10.0 miles","10.0","80433"
"08:56 a.m.","""Kaneohe HI""","80 F","80.0","Mostly Cloudy","9 mph","9.0","E","7.0 miles","7.0","3246"
"01:45 p.m.","""Conifer CO""","74 F","74.0","Sunny and Windy","32 mph","32.0","SSW","10.0 miles","10.0","70785"
"03:45 p.m.","""Laconia NH""","59 F","59.0","Cloudy","9 mph","9.0","NE","9.0 miles","9.0","50021"
"02:45 p.m.","""Walker LA""","81 F","81.0","Cloudy","9 mph","9.0","ENE","10.0 miles","10.0","45429"
"02:45 p.m.","""Ankeny IA""","86 F","86.0","Fair","20 mph","20.0","SW","10.0 miles","10.0","7020"
"03:45 p.m.","""Dayton OH""","87 F","87.0","Partly Cloudy","10 mph","10.0","WSW","9.0 miles","9.0","25625"
"03:45 p.m.","""Edgewater NJ""","85 F","85.0","Sunny","18 mph","18.0","SSE","8.0 miles","8.0","5672"
"03:45 p.m.","""Holden WV""","88 F","88.0","Cloudy","3 mph","3.0","NW","10.0 miles","10.0","53215"
"03:45 p.m.","""Stowe VT""","70 F","70.0","Sunny","12 mph","12.0","S","7.0 miles","7.0","54143"
"02:45 p.m.","""Milwaukee WI""","86 F","86.0","Partly Cloudy","20 mph","20.0","W","10.0 miles","10.0","4021"
"02:45 p.m.","""Marinette WI""","79 F","79.0","Partly Cloudy","27 mph","27.0","WSW","7.0 miles","7.0","1101"
"03:45 p.m.","""Cumberland Center ME""","50 F","50.0","Fog","3 mph","3.0","ENE","1.3 miles","1.3.0","14204"
"03:45 p.m.","""Springfield MA""","85 F","85.0","Sunny","18 mph","18.0","S","8.0 miles","8.0","85206"
"03:45 p.m.","""Buffalo NY""","80 F","80.0","Partly Cloudy and Windy","29 mph","29.0","WSW","10.0 miles","10.0","21230"
"12:45 p.m.","""Mesa AZ""","88 F","88.0","Sunny","10 mph","10.0","S","10.0 miles","10.0","19341"
"03:45 p.m.","""Baltimore MD""","89 F","89.0","Partly Cloudy","10 mph","10.0","SE","5.0 miles","5.0","7102"
