"0","1","2","3","4","5","6","7","8","9","10"
"datetime:time","Place","temperature","tempinf","sky","windspeed","windspeedinmph","winddir","visibility","visibilityinmi","Zip"
"1:51 PM","Lambert-St. Louis International Airport","75&deg;F","61.0","Overcast","Calm","NULL","NULL","10.00 mi.","10.0","63138"
"NULL","Juneau International Airport","61&deg;F","89.0","Mostly Cloudy","5 MPH","5.0","Vrbl","10.00 mi.","10.0","99833"
"2:53 PM","Columbia Owens Downtown Airport","89&deg;F","86.0","Partly Cloudy","3 MPH","3.0","Vrbl","10.00 mi.","10.0","29201"
"1:55 PM","Omaha / Offutt Air Force Base","86&deg;F","84.0","A Few Clouds","17 MPH","17.0","S","7.00 mi.","7.0","68005"
"2:53 PM","Detroit City Airport","84&deg;F","76.0","A Few Clouds","25 MPH","25.0","NULL","10.00 mi.","10.0","48026"
"1:54 PM","Spirit Of St. Louis Airport","76&deg;F","86.0","Overcast","6 MPH","6.0","E","10.00 mi.","10.0","63379"
"2:56 PM","""Jacksonville New River Marine Corps Air Station""","86&deg;F","82.0","Partly Cloudy","13 MPH","13.0","S","7.00 mi.","7.0","28539"
"NULL","Lihue Airport","82&deg;F","83.0","Partly Cloudy","18 MPH","18.0","NE","10.00 mi.","10.0","96801"
"2:54 PM","Pittsfield Municipal Airport","83&deg;F","84.0","A Few Clouds","23 MPH","23.0","NULL","9.00 mi.","9.0","1230"
"1:53 PM","""Racine Batten International Airport""","84&deg;F","50.0","A Few Clouds","26 MPH","26.0","NULL","10.00 mi.","10.0","53177"
"2:51 PM","Portland International Jetport","50&deg;F","62.0","Fog","7 MPH","7.0","E","0.50 mi.","NULL","4096"
"2:53 PM","Manchester Airport","62&deg;F","72.0","Overcast","7 MPH","7.0","SE","7.00 mi.","7.0","3101"
"12:47 PM","Los Angeles Downtown/Usc","72&deg;F","79.0","Fair","6 MPH","6.0","Vrbl","10.00 mi.","10.0","90001"
"1:53 PM","""Baton Rouge Metropolitan Ryan Field""","79&deg;F","84.0","Thunderstorm","10 MPH","10.0","SE","10.00 mi.","10.0","70726"
"1:52 PM","""Milwaukee General Mitchell International Airport""","84&deg;F","88.0","Partly Cloudy","24 MPH","24.0","NULL","10.00 mi.","10.0","53228"
"3:45 PM","The Villages","88&deg;F","86.0","NA","Calm","NULL","NULL","10.00 mi.","10.0","34420"
"1:53 PM","""Winner Bob Wiley Field Airport""","86&deg;F","81.0","Fair","16 MPH","16.0","SE","10.00 mi.","10.0","57580"
"NULL","Las Vegas/Mccarran","81&deg;F","54.0","Fair","6 MPH","6.0","Vrbl","10.00 mi.","10.0","89029"
"2:58 PM","Millinocket Municipal Airport","54&deg;F","86.0","Overcast","9 MPH","9.0","S","10.00 mi.","10.0","4426"
"1:56 PM","Chicago/Ohare","86&deg;F","83.0","Partly Cloudy and Breezy","28 MPH","28.0","NULL","10.00 mi.","10.0","60056"
"1:54 PM","Quincy Regional-Baldwin Field Airport","83&deg;F","88.0","Fair","13 MPH","13.0","SW","10.00 mi.","10.0","62301"
"2:53 PM","Tampa International Airport","88&deg;F","86.0","Mostly Cloudy","6 MPH","6.0","Vrbl","10.00 mi.","10.0","33602"
"1:56 PM","Chicago/Ohare","86&deg;F","84.0","Partly Cloudy and Breezy","28 MPH","28.0","NULL","10.00 mi.","10.0","60477"
"1:52 PM","""Milwaukee General Mitchell International Airport""","84&deg;F","89.0","Partly Cloudy","24 MPH","24.0","NULL","10.00 mi.","10.0","53202"
"NULL","Safford Municipal","89&deg;F","68.0","Fair","10 MPH","10.0","SW","10.00 mi.","10.0","88039"
"1:55 PM","Duluth International Airport","68&deg;F","84.0","Partly Cloudy","25 MPH","25.0","NULL","10.00 mi.","10.0","55803"
"2:53 PM","Detroit City Airport","84&deg;F","63.0","A Few Clouds","25 MPH","25.0","NULL","10.00 mi.","10.0","48317"
"2:51 PM","Concord Municipal Airport","63&deg;F","88.0","Overcast","7 MPH","7.0","Vrbl","10.00 mi.","10.0","3278"
"2:46 PM","Mena Intermountain Municipal Airport","88&deg;F","57.0","Fair","3 MPH","3.0","S","10.00 mi.","10.0","71953"
"NULL","NULL","57&deg;F","89.0","Mostly Cloudy","5 MPH","5.0","N","10.00 mi.","10.0","98466"
"2:53 PM","""Somerville Somerset Airport""","89&deg;F","59.0","A Few Clouds","8 MPH","8.0","S","8.00 mi.","8.0","8844"
"12:53 PM","NULL","59&deg;F","89.0","Fair","18 MPH","18.0","NULL","10.00 mi.","10.0","83622"
"1:51 PM","Victoria Regional Airport","89&deg;F","83.0","A Few Clouds","15 MPH","15.0","S","10.00 mi.","10.0","77904"
"1:53 PM","Emporia Kansas","83&deg;F","74.0","A Few Clouds","14 MPH","14.0","SE","10.00 mi.","10.0","66801"
"1:54 PM","Jackson International Airport","74&deg;F","83.0","Light Rain","5 MPH","5.0","S","10.00 mi.","10.0","39110"
"1:56 PM","""Sioux Falls Foss Field""","83&deg;F","79.0","Fair","15 MPH","15.0","S","10.00 mi.","10.0","51242"
"2:35 PM","Waupaca Municipal Airport","79&deg;F","85.0","Fair","23 MPH","23.0","NULL","10.00 mi.","10.0","54981"
"1:55 PM","Indianapolis International Airport","85&deg;F","90.0","Partly Cloudy","8 MPH","8.0","SW","10.00 mi.","10.0","46201"
"2:53 PM","""Louisville Bowman Field Airport""","90&deg;F","59.0","Partly Cloudy","7 MPH","7.0","Vrbl","10.00 mi.","10.0","40207"
"12:53 PM","NULL","59&deg;F","84.0","Fair","18 MPH","18.0","NULL","10.00 mi.","10.0","83702"
"2:53 PM","Detroit City Airport","84&deg;F","81.0","A Few Clouds","25 MPH","25.0","NULL","10.00 mi.","10.0","48202"
"12:53 PM","Broomfield/Jeffco","81&deg;F","90.0","A Few Clouds","17 MPH","17.0","NULL","35.00 mi.","35.0","80501"
"2:53 PM","""Greer Greenville-Spartanburg Airport""","90&deg;F","85.0","Fair","6 MPH","6.0","Vrbl","9.00 mi.","9.0","29372"
"NULL","Russellville Municipal Airport","85&deg;F","81.0","Fair","3 MPH","3.0","Vrbl","10.00 mi.","10.0","72834"
"2:51 PM","Lambert-St. Louis International Airport","81&deg;F","61.0","Mostly Cloudy","8 MPH","8.0","S","10.00 mi.","10.0","63101"
"2:54 PM","""Boston Logan International Airport""","61&deg;F","85.0","A Few Clouds","9 MPH","9.0","E","10.00 mi.","10.0","2138"
"2:52 PM","Toledo Express Airport","85&deg;F","88.0","Partly Cloudy","18 MPH","18.0","W","10.00 mi.","10.0","43402"
"3:51 PM","Port Columbus International Airport","88&deg;F","83.0","Partly Cloudy","16 MPH","16.0","W","10.00 mi.","10.0","43085"
"3:51 PM","""Windsor Locks Bradley International Airport""","83&deg;F","87.0","Mostly Cloudy","20 MPH","20.0","S","8.00 mi.","8.0","6098"
"3:51 PM","""Washington DC Reagan National Airport""","87&deg;F","84.0","Mostly Cloudy with Haze","14 MPH","14.0","S","5.00 mi.","5.0","20814"
"12:55 PM","Cannon AFB/Clovis","84&deg;F","52.0","Partly Cloudy","15 MPH","15.0","SW","7.00 mi.","7.0","88101"
"1:35 PM","NULL","52&deg;F","74.0","Fair","22 MPH","22.0","NULL","10.00 mi.","10.0","84057"
"1:53 PM","Memphis International Airport","74&deg;F","89.0","Overcast","10 MPH","10.0","E","10.00 mi.","10.0","38117"
"3:51 PM","Teterboro Airport","89&deg;F","61.0","Fair","20 MPH","20.0","NULL","10.00 mi.","10.0","7626"
"2:54 PM","""Boston Logan International Airport""","61&deg;F","46.0","A Few Clouds","9 MPH","9.0","E","10.00 mi.","10.0","2101"
"NULL","Moriarty","46&deg;F","84.0","Clear","Calm","NULL","NULL","25.00 mi.","25.0","87015"
"1:53 PM","""Indianapolis Eagle Creek Airpark""","84&deg;F","86.0","Fair","7 MPH","7.0","W","10.00 mi.","10.0","46038"
"3:51 PM","Charlotte/Douglas International Airport","86&deg;F","54.0","Mostly Cloudy","6 MPH","6.0","S","7.00 mi.","7.0","28277"
"NULL","NULL","54&deg;F","89.0","Partly Cloudy","7 MPH","7.0","NW","10.00 mi.","10.0","99504"
"3:53 PM","Greenville Downtown Airport","89&deg;F","68.0","Partly Cloudy","8 MPH","8.0","SE","8.00 mi.","8.0","29690"
"3:53 PM","Morgantown Municipal-Hart Field","68&deg;F","55.0","Mostly Cloudy","9 MPH","9.0","S","10.00 mi.","10.0","26508"
"NULL","NULL","55&deg;F","90.0","Mostly Cloudy","12 MPH","12.0","S","10.00 mi.","10.0","97338"
"3:53 PM","""Trenton Mercer County Airport""","90&deg;F","84.0","Fair","8 MPH","8.0","S","8.00 mi.","8.0","18940"
"3:51 PM","""New York La Guardia Airport""","84&deg;F","79.0","Partly Cloudy","17 MPH","17.0","S","9.00 mi.","9.0","10001"
"3:55 PM","""Bad Axe Huron County Memorial Airport""","79&deg;F","89.0","Partly Cloudy","26 MPH","26.0","NULL","10.00 mi.","10.0","48445"
"3:54 PM","""Lexington Blue Grass Airport""","89&deg;F","87.0","A Few Clouds","9 MPH","9.0","W","10.00 mi.","10.0","40391"
"2:55 PM","Indianapolis International Airport","87&deg;F","91.0","Partly Cloudy","14 MPH","14.0","W","10.00 mi.","10.0","46260"
"2:53 PM","Jonesboro Municipal Airport","91&deg;F","79.0","Partly Cloudy","14 MPH","14.0","SE","10.00 mi.","10.0","72401"
"1:53 PM","Montrose Co. Arpt","79&deg;F","84.0","Fair and Breezy","29 MPH","29.0","NULL","10.00 mi.","10.0","81401"
"NULL","Lihue Airport","84&deg;F","82.0","Partly Cloudy","18 MPH","18.0","NE","10.00 mi.","10.0","96744"
"1:53 PM","Denver/Centennial","82&deg;F","57.0","Partly Cloudy","16 MPH","16.0","S","10.00 mi.","10.0","80433"
"3:55 PM","Laconia Municipal Automatic Weather Observing","57&deg;F","81.0","Overcast","9 MPH","9.0","NE","9.00 mi.","9.0","3246"
"2:53 PM","""Baton Rouge Metropolitan Ryan Field""","81&deg;F","86.0","Partly Cloudy","12 MPH","12.0","E","10.00 mi.","10.0","70785"
"2:35 PM","Ankeny Regional Airport","86&deg;F","85.0","Fair","20 MPH","20.0","NULL","10.00 mi.","10.0","50021"
"2:56 PM","Cox Dayton International Airport","85&deg;F","89.0","Partly Cloudy","17 MPH","17.0","NULL","10.00 mi.","10.0","45429"
"3:51 PM","Teterboro Airport","89&deg;F","92.0","Fair","20 MPH","20.0","NULL","10.00 mi.","10.0","7020"
"3:51 PM","""Huntington Tri-State Airport""","92&deg;F","75.0","A Few Clouds","8 MPH","8.0","SW","10.00 mi.","10.0","25625"
"3:54 PM","Morrisville-Stowe State Airport","75&deg;F","85.0","Fair","8 MPH","8.0","SW","9.00 mi.","9.0","5672"
"2:52 PM","""Milwaukee General Mitchell International Airport""","85&deg;F","77.0","A Few Clouds","28 MPH","28.0","NULL","10.00 mi.","10.0","53215"
"2:55 PM","Menominee Automatic Weather Observing / Reporting","77&deg;F","50.0","A Few Clouds","24 MPH","24.0","NULL","7.00 mi.","7.0","54143"
"3:51 PM","Portland International Jetport","50&deg;F","82.0","Fog/Mist","5 MPH","5.0","E","0.75 mi.","NULL","4021"
"2:55 PM","Chicopee Falls / Westover Air Force Base","82&deg;F","78.0","A Few Clouds with Haze","17 MPH","17.0","NULL","6.00 mi.","6.0","1101"
"3:54 PM","Greater Buffalo International Airport","78&deg;F","90.0","Partly Cloudy","29 MPH","29.0","NULL","10.00 mi.","10.0","14204"
"3:54 PM","""Baltimore Inner Harbor""","90&deg;F","86.0","NA","NA","NULL","NULL","NULL","NULL","21230"
"3:54 PM","Pottstown Limerick Airport","86&deg;F","88.0","Fair","6 MPH","6.0","S","8.00 mi.","8.0","19341"
