STATION,STATION_NAME,DATE,HLY-CLDH-NORMAL,HLY-HTDH-NORMAL,HLY-PRES-10PCTL,HLY-PRES-90PCTL,HLY-PRES-NORMAL,HLY-CLOD-PCTBKN,HLY-CLOD-PCTCLR,HLY-CLOD-PCTFEW,HLY-CLOD-PCTOVC,HLY-CLOD-PCTSCT,HLY-DEWP-10PCTL,HLY-DEWP-90PCTL,HLY-DEWP-NORMAL,HLY-HIDX-NORMAL,HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,HLY-TEMP-NORMAL,HLY-WCHL-NORMAL,HLY-WIND-AVGSPD,HLY-WIND-VCTDIR,HLY-WIND-VCTSPD,HLY-WIND-PCTCLM,HLY-WIND-1STDIR,HLY-WIND-1STPCT,HLY-WIND-2NDDIR,HLY-WIND-2NDPCT
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 09:00,0.1,9.5,1,1,1,264,198,144,248,146,24.1,53.1,39.8,55.6,50,61,55.6,55.3,6.2,76,3.9,81,3,343,2,220
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 10:00,0.4,6.6,1,1,1,247,184,175,265,129,23,53.1,40.1,58.8,53.1,66,58.8,58.7,6.5,77,3.4,70,3,336,2,198
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 11:00,1.2,4.8,1,1,1,245,172,179,270,134,21.2,54,40,61.5,54,70,61.5,61.4,6.3,88,1.8,91,3,243,4,179
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 12:00,1.8,3.8,1,1,1,271,175,170,258,126,21.9,54,40.3,63,55.4,73,63,63,6.8,226,1.4,92,7,214,6,155
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 13:00,1.9,3.6,1,1,1,262,194,151,266,126,23,55,41.5,63.3,55.9,73,63.2,63.2,8.5,247,4.3,31,7,379,6,218
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 14:00,1.6,3.8,1,1,1,289,179,150,265,117,25,55,42.9,62.7,55.9,71.6,62.7,62.7,9.3,248,6,16,7,470,6,236
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 15:00,1.2,4.4,1,1,1,261,175,162,283,119,28.9,55,44.2,61.8,55.4,70,61.8,61.8,9.6,254,6.8,2,7,545,6,228
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 16:00,0.8,5.2,1,1,1,302,177,167,265,88,30,55,44.7,60.6,55,68,60.6,60.6,9.2,255,6.6,7,7,550,6,219
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 17:00,0.4,6.8,1,1,1,307,167,153,255,117,32,55,45.6,58.6,53.6,64.4,58.6,58.6,8.3,259,5.7,18,7,503,6,219
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 18:00,0.2,7.6,1,1,1,261,212,137,232,158,30.9,55,45.6,57.7,53.1,63,57.7,57.5,7.3,263,4.5,37,7,446,6,214
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 19:00,0.2,7.9,1,1,1,243,270,129,220,138,28.9,55,45.1,57.2,52,63,57.2,57.1,6.5,269,2.9,79,7,340,6,193
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 20:00,0.1,8.1,1,1,1,213,312,135,222,119,28,55,44.5,57,52,62.1,57,56.9,5.7,298,1.6,107,7,198,1,161
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 21:00,0.1,8.5,1,1,1,180,345,113,250,113,27,55,43.9,56.6,51.8,62.1,56.6,56.4,5.5,21,0.8,124,3,178,1,158
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 22:00,0.1,9.2,1,1,1,153,345,118,266,118,27,55,43.6,55.9,51.1,61,55.9,55.6,5.3,55,1.4,122,3,230,2,141
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 23:00,0.1,9.6,1,1,1,180,338,131,241,110,27,55,43.1,55.5,50,60.8,55.5,55.2,5.6,55,1.7,114,3,276,1,144
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 00:00,0.1,10.4,1,1,1,180,338,124,255,104,26.6,54,42.5,54.7,50,60.1,54.7,54.3,5.5,61,2.1,114,3,291,2,172
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 01:00,-777.7,11.3,1,1,1,181,338,132,234,116,26.6,54,41.9,53.8,48.9,59,53.8,53.4,5.5,58,2.3,128,3,269,2,219
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 02:00,-777.7,12.3,1,1,1,210,330,141,228,91,26.1,53.1,41.4,52.7,46.9,57.9,52.7,52.2,5.1,60,2.6,115,3,321,2,247
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 03:00,-777.7,13,1,1,1,180,343,141,240,97,25,53.1,41,52,46.9,57.2,52,51.3,4.9,58,2.3,154,3,296,2,196
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 04:00,-777.7,13.7,1,1,1,157,354,130,252,106,25,53.1,40.8,51.3,46,57,51.3,50.5,4.8,67,2.6,168,3,352,2,206
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 05:00,-777.7,14,1,1,1,175,339,125,259,102,24.1,53.1,40.2,51,45,57,51,50.1,5,69,2.8,123,3,378,2,194
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 06:00,-777.7,14.3,1,1,1,143,327,143,270,116,24.8,52,40,50.8,45,57,50.8,49.8,5.1,69,3.1,143,3,366,2,200
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 07:00,-777.7,13.8,1,1,1,245,205,134,243,173,24.1,53.1,39.5,51.2,45.7,57,51.2,50.2,5.4,69,3.3,121,3,353,2,226
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 08:00,-777.7,12.3,1,1,1,266,200,131,264,140,23,53.1,39.5,52.7,46.9,58.5,52.7,52,5.8,70,3.6,97,3,389,2,190
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 09:00,0.1,9.3,1,1,1,266,209,133,245,146,24.1,53.1,40,55.9,50,62.1,55.8,55.5,6.2,77,3.7,79,3,331,2,228
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 10:00,0.5,6.5,1,1,1,238,196,164,266,136,23,53.1,40.3,59.1,53.1,66,59.1,58.9,6.5,77,3.3,68,3,336,2,196
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 11:00,1.4,4.6,1,1,1,238,179,179,263,141,21.9,53.4,40.2,61.8,54,71.1,61.7,61.7,6.4,91,1.7,86,3,233,4,176
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 12:00,2,3.7,1,1,1,266,185,167,246,136,21.9,54,40.5,63.3,55.4,73,63.3,63.2,6.9,231,1.5,86,7,231,6,154
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 13:00,2,3.6,1,1,1,266,203,149,248,133,23,55,41.8,63.5,55.9,73,63.5,63.4,8.5,248,4.5,31,7,391,6,217
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 14:00,1.7,3.8,1,1,1,289,191,146,253,121,25,55,43.1,63,55.9,72,63,62.9,9.2,249,6.1,16,7,468,6,252
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 15:00,1.3,4.3,1,1,1,252,187,160,274,128,28.9,55,44.4,62,55.9,70,62,62,9.6,253,7.1,2,7,565,6,232
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 16:00,0.9,5.1,1,1,1,296,191,161,249,103,30.9,55,44.9,60.8,55,68,60.8,60.8,9.2,255,6.8,9,7,553,6,230
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 17:00,0.5,6.7,1,1,1,306,176,158,239,122,32,55,45.5,58.8,53.6,64.9,58.8,58.7,8.3,259,6,18,7,506,6,228
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 18:00,0.3,7.5,1,1,1,252,225,140,225,158,30.9,55,45.5,57.8,53.1,63,57.8,57.7,7.3,263,4.6,30,7,450,6,225
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 19:00,0.2,7.8,1,1,1,234,286,132,213,136,28.9,55,45,57.4,53.1,64,57.4,57.3,6.4,270,3.1,79,7,334,6,204
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 20:00,0.2,8,1,1,1,213,328,133,209,117,28,55,44.5,57.2,52,62.6,57.2,57,5.7,293,1.7,107,7,204,6,174
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 21:00,0.1,8.3,1,1,1,189,360,108,234,108,27,55,43.9,56.8,52,62.6,56.8,56.6,5.5,16,0.8,120,3,175,1,161
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 22:00,0.1,9.1,1,1,1,153,359,116,255,118,27,55,43.7,56,51.1,61,56,55.8,5.3,55,1.4,124,3,235,2,147
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104 23:00,0.1,9.5,1,1,1,185,345,128,234,108,26.6,54.7,43.1,55.6,50,61,55.6,55.4,5.6,55,1.7,106,3,276,1,146
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 00:00,0.1,10.3,1,1,1,182,345,124,243,106,26.6,54,42.6,54.8,50,60.1,54.8,54.5,5.4,60,2,119,3,284,2,161
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 01:00,-777.7,11.2,1,1,1,186,351,132,227,104,26.6,54,42,53.9,48.9,59,53.9,53.4,5.5,57,2.2,132,3,275,2,199
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 02:00,-777.7,12.2,1,1,1,212,344,134,223,87,26.1,53.1,41.4,52.8,46.9,57.9,52.8,52.2,5.1,62,2.7,104,3,326,2,246
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 03:00,-777.7,12.9,1,1,1,189,343,136,240,92,25,53.1,41,52.2,46.9,57.2,52.2,51.5,4.9,59,2.3,150,3,300,2,189
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 04:00,-777.7,13.6,1,1,1,162,353,125,255,104,26.1,53.1,40.8,51.4,46,57,51.4,50.6,4.8,66,2.5,161,3,356,2,196
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 05:00,-777.7,13.9,1,1,1,189,334,130,255,93,24.1,53.1,40.3,51.1,46,57,51.1,50.2,5,69,2.8,127,3,365,2,196
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 06:00,-777.7,14.1,1,1,1,155,325,148,266,107,24.8,52,40.1,50.9,45,57,50.9,49.9,5.1,68,3,145,3,363,2,197
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 07:00,-777.7,13.6,1,1,1,234,220,132,248,166,23,53.1,39.5,51.4,46,57.2,51.4,50.4,5.4,67,3.3,124,3,341,2,230
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 08:00,-777.7,12.2,1,1,1,257,212,131,266,135,23,52.5,39.5,52.8,46.9,59,52.8,52.2,5.8,68,3.6,97,3,379,2,198
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 09:00,0.1,9.2,1,1,1,257,217,138,248,140,24.1,53.1,40,56,50,62.1,56,55.6,6.2,75,3.8,82,3,326,2,240
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 10:00,0.6,6.4,1,1,1,244,203,161,260,131,23,53.1,40.3,59.2,53.1,66.9,59.2,59,6.5,75,3.3,72,3,319,2,209
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 11:00,1.5,4.6,1,1,1,231,179,186,268,136,21.9,54,40.2,61.9,54,71.1,61.9,61.9,6.4,88,1.6,93,3,218,4,170
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 12:00,2.2,3.8,1,1,1,257,181,170,246,145,21.9,54,40.5,63.4,55.4,73.4,63.4,63.4,7,237,1.4,88,7,237,6,151
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 13:00,2.2,3.6,1,1,1,256,204,156,249,136,23,54,41.8,63.6,55.9,73,63.6,63.5,8.5,248,4.4,33,7,389,6,216
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105 14:00,1.9,3.8,1,1,1,289,191,152,244,123,25,55,43.1,63.1,55.9,72,63.1,63.1,9.3,249,6.1,16,7,475,6,244
