"Send","Appears","Copyright","file_name","Description","Expires","","Listings","Kansas","set","Citori","Reduced","Boots"
"davestuff","","2015","AC1579658229A39C67D773455D695172CBB851F2F642F773DD0C12B7D8929CE2.html","(2)Tires 235-R55x17 Goodyear RSA mounted on 5 bolt with4 1/2 pattern steel factory wheels. Will consider trade. Call 785-394 1886 or 1887 about 1/2 tread remaining on tires Balanced ready to use on most Ford and Chrysler products.","804","60","100","20","Just one Factory aluminum rim and 235-75-15 tire","Hoisington","Palco","Galv"
"jayne","","2015","B20D5CC4F08DCB2914E64EE10CB36296ECEED50676181C12865F1128E20490E0.html","Nice 1997 Ford F150 2-wheel drive. Runs good. Great on gas. Would make someone a nice truck. 176,350 miles. Needs a battery. $2500 Cash. (308) 999-0812.","515","2,500","3,500","1,500","2010 Ford F150 FX4","Belleville","Hill City","Atwood"
"gcwickham","","2015","B972EDF78703E2A85A7A7869F183B8EE526AE18B0996E310A43072B991E48C57.html","","106","100","225","85","24 2 stage snow blower thrower rebuilt repaint 196cc 6.5HP","Salin","Glen Elder","Goodland"
"yote7","","2015","B9F280A0EF690E2CFBD362C26EA938EE07F8E791B71BAC48F6AEC7E9BE9F1F61.html","2012 yamaha rhino 700fi sport edition, like new, very good shape, it comes with a windshield, adjustable shocks, loaded, i also added 3 more lights on the grill gaurd, only 940 miles, 89 hrs, wont find one nicer. call 785-545-8512 for more info","1,197","10,000","250","125","2007 Yamaha Rhino 450 4x4","Goodland","Lenor","Wichit"
"648658","","2015","BF40406CCB48D07BFD2DB1C66E304869694755B85FBA1B9BCEDEDCEB18BAE786.html","","852","35","35","15","Alfred Angelo Mother of Bride Groom Size Misses 8 - LOWERED!","Hays","Hays","Great Bend"
"Hays Area Childrens Center, Inc. (HACC)","","2015","C1D2A738D7D6AE1FB23E013BD071343601416D55C1654BFC5348F8A385B7A001.html","EARLY CHILDHOOD   TEACHER.  The Hays Area Childrens Center is hiring a full-time Early Childhood Teacher for our Toddler Classroom. 12 month position: Monday through Fridays from 7:30 a.m.  3:30 p.m.  Qualifications: High School Diploma or equivalency required. Child Development Associate, Early Childhood Associate, Early Childhood Unified or classes in elementary education or early childhood preferred but not required. Must be willing to obtain one of the preferences listed.   Apply at 94 Lewis Drive. Open until filled. EOE","78","0","0","5","1913 Calendar School Teacher  Children","Hugoton","Hays","Hays"
"Brad Waller Automotive (BradWallerAutomotive)","","2015","C1E37F5C7EAD7E3DCE7BD8D205EC25AAAE6364E1F182AC648218F6570D64E6B1.html","New 2015 Doolittle 84x14 SS series utility trailer.   2990 GVWR 5 Mesh ramp gate with spring assist. Full LED lighting, Radial tires. Locking Toolbox built into tongue. 6 heavy duty D-rings inside trailer. Top of the line utility trailer!  More pics at www.BradWallerAutomotive.com","526","1,999","895","500","2015 Utility Trailer 14 x 6 w/Fold Down Ram","Stockton","Garden City","Solomon"
"bulldog28","","2015","C2BB35FFE33D045AD1699D02C35215CC77CF3F0C4C16D057D1DA44B8DCB01B5C.html","2009 JD 568 Mega Wide, HYD LIFT, PUSH BAR, SLIP CLUTCH ALERT, HI-FLOTATION TIRE Wrapping: Both Twine and Surface Wrap.   Only 7,446 bales  $22,000 OBO","159","22,000","19,900","5,000","John Deere Hydralic Cylinders","Johnson","Cub","Colby"
"ESPChevy","  Hunting Equipment,","2015","C5AC8FC7A86AA9867E31F5B455BE129DFF434C9450D8C5E2FA95F840BB7C879A.html","","42","","1,750","150","1 Vintage Revelation 12 Gauge Shotgun Shell Box","Hays","Sharon Springs","Sharon Springs"
"15aziegler","","2015","CF612A02807FCD474BB342EC5CF74CBCFD91FF50A00E407D1945340BFD187F78.html","I recently moved out of my dads house and the place I am now dosent allow cats. His name is destry hell be 7 months old on the 11th of October. Hes not fixed and still has his claws. He really likes to play and cuddle people. He dose not like baths at all. Hes eats any kid of cat food. Hes an inside cat but likes to explore the outside when Ive let him out. If you want him he comes with 2 leashes, a hide away cat thing, a litter box, a half full thing of fresh litter, a carpet for under neath his litter box, a whole thing of scentsy stuff for his litter box, a half full bag of cat food, 2 food dishes(also for water),2 beds, cat shampoo, flea spray, cat nip, a bunch of toys, a scratching post, 2 brushes, a nail clipper for cats and treats that help his teeth. He also has a collar on. He really needs a home as quick as possible.","71","20","","","Missing cat","Hays","Hoisington","Hays"
"KariRBell","","2015","D030EF1EABE485D0449AAD316E08C51D3B0EC05AACCDAB48BF455ECF0501260D.html","VCR works but has no remote and all vhs tapes work selling them all together","3","25","2","50","REDUCED: VHS Tapes","Hays","Phillipsburg","Victori"
"Hildadrm77","","2015","D2C0FFD4A095B31E9BCEA95D46F4E8417B19D0473A75435CE2A4AFC447B65A04.html","For sale (10) folding white tables 6 and (70) brown folding chairs, take all for $550 or best reasonable offer.","259","550","375","100","SOLID OAK TABLE AND CHAIRS","Goodland","Salin","Victori"
"devins2231","","2015","D3AE991FB0E1961AC48C75F41E6404FA7B0B02406A5A7E371AA2639FFE20E6A7.html","I have a nice 1998 larson boat for sale. It has the v8 5.0gi volvo penta motor that is fuel injected. Wakeboard tower with rack, 2 batteries with perka switch, aftermarket stereo (2-12 subs/tower speakers/ 6x9s and 5 speakers/ 2 amplifiers). Just had all the seats redone so Interior is excellent shape. Trailer is tandem axle. Also life jackets,wakeboard,tube, and other misc. to go with. Boat has been great , just no longer make it to the lake. Hopefully someone else can enjoy it. Any questions, feel free to message. Thanks for looking","171","9,200","7,500","1,200","1998 Honda XR 100","Great Bend","Saint Francis","Holyrood"
"kayk","","2015","D471EDE6A47FB88E1A45E6DA6E45BA611B70A15F32203C3A8CE30B4C89254E26.html","Jones New York sport floral t-shirt. cotton/spandex. 3X. Runs slightly small. Excellent condition. Smoke free home.","52","","3.50   Womans dressy t-shirt   Salina, Kansas                 $3.50   womans t-shirt   Salina, Kansas                 $5","5","Womans striped shirt","Salin","Hays","Salin"
"cruise4fun","","2015","D510EF0DA2BC0FA4B07FB7F6EFD5A7B387CA528A813CEA9E0CE34E364C090816.html","","1,459","18,500","31,000","3,500","2012 John Deere 1830 hoe drill/air seeder/1910 air cart","Assari","Dresden","Winon"
"USD 489 Hays (usd489hays)","","2015","D6E91A21801BA842B8F54AEE5ED264464194F08811B4C323784EE24F70BD53EF.html","Assistant Cook Positions available for the 2015-2016 school year . PERFECT job for parents that want to have the same schedule as their kids!!!   Apply on line at usd489.com -- Employment Link","532","0","0","0","Food Service Assistant","Oakley","Broken Bow, Nebraska                 $0.00   Food Service Assistant   Jetmore","Jetmore"
"Rickyx4","","2015","D708F325C10C00549CBCB1E0E40411DE348A2C6867999AC70547FC9920F579E4.html","","338","10,500","13,500","13,500","2009 Nissan Altim","Colby","Dodge City","Phillipsburg"
"Elizabeth23","","2015","DABA8DD63DFDBE06D1A9F25301ED617BBDDDD38D06847CB364980E77048ECF93.html","Party dress. Beige. Size 8 girls","340","30","40","15","Dress","Hays","Hays","Kingman"
"jamand","","2015","DAED71363E474955FA74DDC30650F1C614B487991D9C45136278F56EF9C6FB35.html","Net wrapped praire hay bales 5 bales. Bales put up dry and no rain on them. Can load semi.","95","40","50","85","Round Bales of Prarie Hay 30 2015 Cutting","Derby","Colby","Morland"
"Dorcy","","2015","DBFD6655249280ABACC1AF106B5048CC45783E7DE31D4051628678CDE7354F1E.html","$4.00 EACH OR $24.00 FOR ALL ----SOME OF THEM STIL HAVE PERFUME IN THEM","6","4","0","0","Avon","Hays","Radium","Liebenthal"
"skorky67","","2015","DE45B8E8A2B2B2B89683CE8BFD95DDC5D0B1B5BFE270293DA82076139BA04D7D.html","NICE FRAMES OIL ON CANVAS FLORAL PAINTING BY LINDA  8 X 10","458","10","15","15","Painting on Canvas","Hays","Hays","Goodland"
