"Guns","Seller","Since","Image","Main","New","ATF","Copyright","file_name","Rifles","Start","","Price","Location"
"Rifles","user2112","April 12, 2014","40high-102.JPG","","40high-101.JPG",": 12496","2015","4219CF8DB96F5B9542DC63C5B6D7AB489BF61DAE55D3422DDA526C86383E3019.html","556212","Nov 15, 2015","40 cal HIGHPOINT CARBINE Like New + LASER CASE","300","St Petetersburg"
"","staugbuild","April 1, 2014","","","SANY3573.JPG",": 2027","2015","4696457DB9286868A21D28DB9C6A92DF6289D94EB57A03DD9DEF18DD62F1F042.html","556961","Nov 20, 2015","2 Beretta 84F Magazines .380","20","Bunnell"
"Revolvers","Slowridevw","March 11, 2012","","","",": 1532","2015","4A4B6BFEE949D54D5CBBB68E1D3CCEA218D7EA6AE2C48A66BAF57EC28381D1CC.html","556393","Nov 16, 2015","Smith and wesson 686 no dash","650","St Petersburg"
"Rifles","user74456","November 20, 2015","20151120_200843.jpg","","20151120_200912.jpg",": 2235","2015","56385EE4B9CCEE4A73F60E7489F7E7514E8406BD8C5C12137AFD5F7575ADF2E2.html","557069","Nov 20, 2015","bushmaster carbon 15 with extras","1,200","Avon Park"
"","snakegrips","March 8, 2013","t1.jpg","","t4.jpg",": 2558","2015","5666F588B88628AE98541F731498F447E0BC863EB445A8674B34D28573FBB882.html","556621","Nov 17, 2015","Granite Counter Tops for trade","0","Tamp"
"Pistols","mostwanted1","September 7, 2012","","","",": 2000","2015","586C2C74E4216125E34829194554C67A711A45F0D9CBB0137CA036D8C40459A4.html","556942","Nov 20, 2015","Glock 19 FDE Custom","350","Palm Bay"
"Rifles","itsallaboutthebone","April 27, 2013","","","20150804_222138.jpg",": 2770","2015","5A223FB004EFB6067F241ACEA60BCECFB8B9D978C85D4055A0FB1E1272DCFDBA.html","556647","Nov 17, 2015","Fnar 16 for sale or trade!!!!!!","0","Volusi"
"Pistols","Mthrift1214","May 20, 2015","","","GLOCK 23.jpg",": 2136","2015","5EF1F87B687AC3AF4776249037594F2F26791312693067473C545E4E00659367.html","556785","Nov 19, 2015","GLOCK 23","425","Macclenny"
"Pistols","Jessman1","June 30, 2011","","","CAM00285.jpg",": 450","2015","627828D85A7285B7CDB356E372B2EBC3A99B5EC707A52EFABB6F31AF6E6B0A32.html","555950","Nov 14, 2015","taurus g2 9mm","235","Bradenton"
"","fjladdy","May 3, 2014","","","",": 2043","2015","63E876D4299AC5FB6BFC8D21C87ACE9F8726DBCBE4A1C10FE5FBE25A91330317.html","556021","Nov 14, 2015","GLOCK 23 -- 13 round Magazine NEW","",""
"Rifles","amd65","March 22, 2013","20151109_201932.jpg","","20151109_201826.jpg",": 1122","2015","65AA1B1E3E311176521F4209C1C52A7D09C8DFFCD358F1A622E287B6CFDEEC60.html","556178","Nov 15, 2015","Norinco Mak-90","700","Palm Coast"
"Pistols","truthspeaker","October 20, 2015","","","",": 1899","2015","663BE036298F2BB4FB49C4E33745C1EAD0636AF017C11294A569D53EA55CD9FC.html","557006","Nov 20, 2015","WHOOOAAAHHHH!!!","0","Coral Springs"
"Pistols","medicmanfl","December 29, 2008","","","",": 784","2015","6863D9DC76BCBBF085B69E3031E75590C99D95A92509740E1447D18FB5DBE47B.html","556376","Nov 16, 2015","WTB Colt 380 goverment model only","0","Tamp"
"Pistols","blueridge","November 22, 2009","","","",": 2349","2015","6912C6CF732585E84B87F20DCE1C8A3BF82EF97BEA9AB078EEED756A25047614.html","556118","Nov 14, 2015","WTB RUGER LP9S","0","Orlando"
"Revolvers","shoemaker","November 6, 2012","","","22 colt 001.JPG",": 2144","2015","69682CDCD1CE4A738EF11C6CAEA474C96D1117AAE46449B88C22CE484A1D0653.html","557370","Nov 22, 2015","COLT FRONTIER SCOUT 22LR/22MAG","600","Lutz"
"Pistols","Cmalooski1","August 4, 2015","","","image.jpg",": 2111","2015","6E760BBDA506AB23BE2AAF0440BE8B590CD499308890796C180B553D9EA0F004.html","556808","Nov 19, 2015","Wts/t Remington R1 enhanced 1911","0","Jacksonville"
"","dsouthdh","May 12, 2011","","","20151115_184403.jpg",": 2252","2015","79E22E51D63DE089E886F267B2E4FD192F10B2208CEAE5C20969022241501384.html","556313","Nov 15, 2015","Heritage Rough rider 22lr Cylinder","20","Tamp"
"Pistols","Yellowfin1990","November 6, 2015","","","image.png",": 2251","2015","7CE4B84E575232496C140AEAD6201A173E904AD6E227AD5B771A2B91218B9184.html","556760","Nov 19, 2015","Sig Sauer P290RS Extreme *NIB","425","Jacksonville"
"Pistols","bczernuch","November 25, 2011","","","pix332879882.jpg",": 1800","2015","7E84AAE0892E92D8FFCD1F8FA7A1836527137896F12F803CC97CED8C2EF91488.html","556926","Nov 20, 2015","Sig P224 Equinox .40 SW NIB NS SRT","700","Leesburg"
"","user60267","September 4, 2015","","","ruger rings.jpg",": 1977","2015","7E9375DAD3E8CFAA18F8890382562E9F5CA62035EA5201B6D80A50336740DCA5.html","556002","Nov 14, 2015","ruger hi 30mm rings blue","50","Weston"
"Rifles","lucyLOU","August 21, 2014","","","1979046.jpg",": 2119","2015","7F05B6F6BD1F6403B142CA9F62C445CF9CBC270EB587D65F444DC69B84D543D8.html","557337","Nov 22, 2015","Marlin 336 jm cs 35 Rem","550","ORLANDO"
"Pistols","mastere954","April 25, 2011","","","",": 2203","2015","80548BFAAB3B534902EDFF8B6BDAF70DCB3BA6D9C8A24AF71ACB1C7393666B8B.html","556781","Nov 19, 2015","WTS/WTT HK USP .40 stainless","0","Pembroke Pines"
"Pistols","richdh196","May 14, 2015","","","",": 1958","2015","80A2D0B78FD941428935309FE0EC1B34C76EA16CC8941161B555AC1D7E89B359.html","556979","Nov 20, 2015","Kel Tec P11","195","Melbourne"
"Pistols","Ar10Boy","November 17, 2015","20151116_171221.jpg","","20151116_171110.jpg",": 1479","2015","82C832FC35871BD5D35CB34E8EFE838A29BA86D6D88F7ED347BA9796EA601C7E.html","556528","Nov 17, 2015","Jericho 941 PSL9 (9mm)","420","Deerfield Beach"
"","colknight","June 9, 2013","","","IMG_0287.JPG",": 2137","2015","83063FEDE536B108C28B8B9CD54AB88446EEADD38144538EBD0A87C8672B590C.html","556821","Nov 19, 2015","russian 7.62x39 brass reloadable ammo","0","Kissimmee"
"Rifles","Firefreak","December 5, 2009","","","",": 13186","2015","8B4AD6364781508E0AD363C0839862B8A8B6B396ADCE1AA6886A273899FCB590.html","556205","Nov 15, 2015","FS lnib Custom Mossberg MVP Patrol 308","0","Coral Springs"
"Pistols","luckypawn33334","February 1, 2014","fh 032.jpg","","fh 030.jpg",": 2543","2015","8E2ED944180FEC2FB2D445F7CE7E432B19D2F22BE404C09B352C7971DE978F6A.html","556617","Nov 17, 2015","Jimenez Arms Model J.A. NINE - 9MM","150","Fort Lauderdale"
"Rifles","ptsettle","July 31, 2010","gun3.jpg","","gun2.jpg",": 1085","2015","8EC16549A82D744B65B774B8CCCCF4663AC502CB34F54B89FF5D7878E4343346.html","556380","Nov 16, 2015","SAVAGE AXIS 308 w/ New Scope","350","Holiday"
"Rifles","satch01","November 13, 2011","","","ar15-1.jpg",": 2287","2015","8EDF372B68A14FC4C1C5E520F761A61690F8DB7DF28987797D0F8C5047387ECE.html","556848","Nov 19, 2015","WTT New Never Fired AR-15 Anderson Lo/ Palmetto U","0","Jacksonville"
"Pistols","Nino","May 28, 2013","","","20151115_212420.jpg",": 3218","2015","8F5E863599A6CBD4544D5B471E413F64017D5C8488E3C81AFED77421DBFB386F.html","556362","Nov 15, 2015","brand new never fired glock 30 gen 4 for trade","0","Miami"
"Pistols","oceanrunner2525","June 8, 2013","","","IMG_0154.JPG",": 11791","2015","903AFAB0DD3AE7C207E9D531D4D94BEA5CD729B006EFC881079B12CDB5DB2221.html","556218","Nov 15, 2015","Sig M11-A1 Threaded-WTT/WTS","950","Melbourne"
"Pistols","outlaw23","July 2, 2008","","","20151112_152643.jpg",": 1281","2015","90D22284E2FAC63CC6CA9A7B1CE02819B4CA518F0868992DE459E64D8345B598.html","556675","Nov 18, 2015","Glock 19 gen 3 (TRADE)","0","Melbourne"
"Rifles","user66816","June 18, 2015","","","",": 1106","2015","91F93E51BA4F3BB9D48C8A842DF66485C0FFB8CBD4A5F8C3AB2BF9CB6B00D8EB.html","556382","Nov 16, 2015","AR15","525","Niceville"
"Revolvers","skend","December 30, 2011","","","IMG_1037.JPG",": 1421","2015","9292757EEFE61FC0EC4DA9831248ACDCA20FA6877C25EB99BC81E80371DD3723.html","556389","Nov 16, 2015","Dan Wesson Model 715 Stainless .357 Magnum","750","Old Town"
"Rifles","vmrod13","July 24, 2010","","","LJICA5U5B16.jpg",": 2119","2015","93B2D8CCCBD03817A591D85E556DE4596283FC41E8AD295B32D6DE780B0B76DC.html","557166","Nov 21, 2015","LWRC UPPERS AVAILABLE TO ORDER....","0","WEST PEMBROKE PINES"
"Pistols","Samjax777","July 22, 2015","","","XDM2.jpg",": 203","2015","93BFBAA4C3B59CCBD97653B0CDEA6A2D573A4D80F1A402884DE74A6125CAA2FA.html","556694","Nov 19, 2015","FS/FT Springfield XDM 4.5 Bitone 9mm","595","Clearwater"
"Rifles","user13138","July 26, 2014","","","",": 2555","2015","95013897E8C83B6EE6E1BADADFD217D7F1AA376DBA92CC2458445DEA716253A9.html","557440","Nov 22, 2015","Remmington 597 22 Magnum","450","Winter Haven"
"Pistols","iad63","November 30, 2011","","","image.jpg",": 2035","2015","950EEFEB81C6053840AEFF55F079BCAC3975703C6E99299A042067CDE95492A9.html","556043","Nov 14, 2015","Colt series 70 1911","0","St. Lucie County"
"Pistols","mac13","February 1, 2014","","","007.JPG",": 2674","2015","953C8EAA019B04820D4ABA772DDDAB9E5E134F2C48370B4F715DCBA4E57906C0.html","557459","Nov 22, 2015","Beretta PX4 Storm Type G (rare) 45cal.","600","Inverness"
"","Firefreak","December 5, 2009","","","",": 13037","2015","957620C653EB3112804867AFC9A154F03D9855D93CEF6CD13FE4F511B0591FAE.html","556207","Nov 15, 2015","FS PIG multicam rifle plate carrier with pouches","0","Coral Springs"
"Rifles","wclint30","March 14, 2011","","","20151115_151721.jpg",": 6779","2015","9A7F34B3D0BD97404CAE68A510555E17527368258F547C7475B29E308DA85FC6.html","556496","Nov 16, 2015","WTT AR15 5.56","0","Lakeland"
"Shotguns","Xeddy21x","September 16, 2012","","","image.jpg",": 2056","2015","9D2BA8BF3D3E9677127661E7BA710677701FF5B54BBDB68E4A4B053809231E03.html","557154","Nov 21, 2015","Remington 11-87 Sportsman Field 12g","0","Miami"
"Rifles","lucyLOU","August 21, 2014","","","1791619.jpg",": 2189","2015","9D9FC02AD8CEFE534B5E3CEFCF5A8FD124FDCFD2B512F4B2AE2F1A86878B24E6.html","556562","Nov 17, 2015","Marlin 336 jm cs 35 Rem","550","Orlando"
"Rifles","JEDFFT","November 20, 2015","20151120_152049.jpg","","20151120_152006.jpg",": 1989","2015","A27898629D9D742B0217C65B55AD3C346FDFA968ED23DDE440BB6543D7B49CA4.html","557022","Nov 20, 2015","Savage 10P Precision Bolt Rifle","2,400","Fort Pierce"
"Rifles","Yellowfin1990","November 6, 2015","","","image.png",": 2247","2015","AB20CA0E4095A6A7AAEDFCD4A7E670DF390E7AD4D2B0B4A0C4D4E2CD464CD75F.html","556763","Nov 19, 2015","THE HOG AR! 16 .300 blackout","900","Jacksonville"
"","snakegrips","March 8, 2013","lite dark top fire pit.jpg","","mix fire pit.jpg",": 1608","2015","AB94E565BF7F30FCBE90754CA06FEDC9D9D9F68BF4355C1A056300B6C5E489BB.html","556745","Nov 19, 2015","Granite Fire pits","0","Tamp"
"Pistols","1933kevin","April 29, 2010","","","",": 413","2015","ADFF811B5AFBB940485CDE4C6EEBFF12AC7A3CC8EA4C6A02EF9A79F53F3F0870.html","555951","Nov 14, 2015","WTB SCCY 9mm in red frame","0","Tavares"
"Parts/Accessories","gunman","April 23, 2010","","","",": 1108","2015","AF24D0EAF2F20CC2CAD71FCC3152FF5677668F5054EF2575389239890ED3C978.html","555965","Nov 14, 2015","AR-15 Pistol buffer tube for a Sig Brace AR15","30","Pinellas"
"Pistols","StangofSteel","February 15, 2014","","","20151115_134927.jpg",": 556","2015","B1137CB7F0A77C70B91963E341FC8BA900DC25ACBE33CE2D286050AD1C5771FE.html","556371","Nov 16, 2015","Glock 22 Gen 3 with hd night sights","450","Jacksonville"
"Pistols","Skypilot","January 6, 2011","","","SUNP0219.JPG",": 18635","2015","B122BCE8015655EDFA786F1EECF8CB6F5519754622D2FEB4B6C78985BF0628DC.html","556192","Nov 15, 2015","SIG SAUER STX 1911 45 SEMI AUTO IN BOX FLAWLESS","875","Land O Lakes"
"","wolf19r","July 20, 2011","","","",": 2004","2015","B47CF4E9C698A48FD497F47ADC4C04124EC6292400C6FB5551B1B8E46C2776AE.html","556963","Nov 20, 2015","daniel defense sight","60","Jacksonville"
"Rifles","user93586","May 20, 2015","","","image.jpg",": 1972","2015","B64C0CE7DF7AD8FCC9B3804F96601CB3DBF8F95662B522A6562A892682DF9900.html","556005","Nov 14, 2015","Ruger Mini 14","675","Orange Park"
"Pistols","tuckerelectric","June 11, 2014","DSC_8275.JPG","","DSC_8276.JPG",": 903","2015","B67C6AEFFB0503D7EC3DD135AED19CCA00E524AA5A7D500500D475B31A106A7F.html","556518","Nov 17, 2015","Sig 229","640","Vero Beach"
"Pistols","cipher727","December 8, 2012","","","",": 775","2015","B734575913AEE121AACC10A9849F28CA4FD498562FE4A0A99CA7DCA38D2F5A52.html","556716","Nov 19, 2015","Glock 26 Gen 4","0","Oviedo"
"Rifles","AnythingPawn","April 20, 2013","","","IMG_0020.JPG",": 2523","2015","B765312818351E0DA65D87858E44F4DEBBCDD32CBC7B982E0508F096D065F7F9.html","555802","Nov 17, 2015","HUGE SALE UNTILL BLACK FRIDAY!! 15%-25%","0","Crestview"
"","cmontero","February 13, 2012","","","20151115_162015.jpg",": 2187","2015","B8A116B797FB926DF84239039FA8A0AAB0514C9B60CC3D3E93363B147249D455.html","556294","Nov 15, 2015",".308 WIN Federal Power Shock Ammo","105","Jacksonville"
"Revolvers","Tractor service","March 17, 2013","","","image.jpg",": 2331","2015","BB4F1F7067497F6CD78531EC7F33F1D5391ADF62A8601DB54480763B03217D4F.html","557476","Nov 22, 2015","Ruger .357 blackhawk SS","550","Vero Beach"
"Rifles","paul10491","October 11, 2011","","","image.png",": 6023","2015","C3D912062C8ED15810E6D66752DB3E61CB956D23A560C8F637D0567C82B6D114.html","556261","Nov 15, 2015","SW mp sport 5.56 unfired with extra goodies","700","Kissimmee"
"Revolvers","noducky","January 5, 2011","TAURUS 003.JPG","","TAURUS 002.JPG",": 7698","2015","C4E4E3EEC463609D3FF94F30E8128CC99FAD83DAEF03B16C732513738948B08F.html","556256","Nov 15, 2015","TAURUS 22 MAG. REVOLVER-8 SHOT","300","Marco Island"
"Revolvers","harley2003","September 24, 2012","","","IMG_20151021_142543.jpg",": 2297","2015","CC3487C90787A9DC0991141039B4F39EFCDB5BDD273750BA9376D6F872013A8B.html","556077","Nov 14, 2015","Colt Python Revolver 6 inch","2,500","Ft Pierce"
"","skydiver3","April 23, 2010","","","20151122_134300.jpg",": 2792","2015","CE3973B85EA21E8CCD06F69564918510E0C93151F9C02E3919294119EC74BA20.html","557504","Nov 22, 2015","MISSION KNIFE","50","Orlando"
"Pistols","DangerDave","June 19, 2012","","","20151115_120536.jpg",": 9209","2015","CF7AC1086739D5C6DFBD66F5017F69CDC6CA0419AA5AF74D341BCB83EFB3BFAE.html","556251","Nov 15, 2015","Sig P290RS with Night Sights","400","Merritt Island"
"","user44872","September 6, 2015","","","IMAG0973.jpg",": 1970","2015","D197D5FE868D1BC55A65A01D7A180467B4E06F87AAC8CE28E15B2E9A019D806E.html","556416","Nov 16, 2015","American Eagle 40 SW 165gr, 1 box for sale $20.00","20","St Petersburg"
"","jerlon26","July 7, 2011","","","image.jpg",": 2178","2015","D57FC6ACF81223014494A6E2F318B5132D6BBCEE5FAC42C148C50ADE999BC1B2.html","557037","Nov 20, 2015","SKS 40 round mags","20","Daytona Beach"
"Pistols","Rubinon","April 30, 2012","","","",": 1295","2015","D6B04448A451BC959439370FAF20BD81D92368567E658C6DB4DD6F57A25EC6D5.html","556387","Nov 16, 2015","Taurus PT1911 45ac","425","Tamp"
"Revolvers","billinnpr","October 24, 2011","IMG_6262.JPG","","IMG_6261.JPG",": 2211","2015","D9399E079E0B751601EA884510D590B936EEA8F817E53704059E70CA607EFFB4.html","556309","Nov 15, 2015","Vintage HR .22cal Revolver","400","Palm Harbor"
"","mrspeedking","September 25, 2010","","","IMG_1850.JPG",": 2768","2015","E25832E77ED66EAAC1B0E35BC20CE767B7F0E3A2597087E9D6E97365DF6270BA.html","557510","Nov 22, 2015","new 308 caliber ammo","18","Mtverde"
"Pistols","mpsniper308","February 26, 2011","","","20151107_101642.jpg",": 1868","2015","E509AB402F2E680AE4818A817603520780F2F89EB154EFC1AFADB1A70B6BEB8B.html","556409","Nov 16, 2015","HK P2000SK V3 Compact Decock Model 9mm","550","Tavares/Deland"
"Pistols","tjm9746","June 8, 2013","","","",": 2680","2015","E62C48A36761C5A8B3E08F38938FBB25370157FDCBE4E32D958F1DC91505DC6D.html","556345","Nov 15, 2015","Smith wesson 1911 sc","0","Port Saint Lucie"
"Revolvers","grapher","September 14, 2011","","","1448030535734.jpg",": 1856","2015","E8239BACB75D1B192CD844519454E493322B9DC608A56A225BDF5EDB622054D1.html","556930","Nov 20, 2015","38 Special Revolver.................... $225","225","Lady Lake"
"","StevieG","August 21, 2012","","","20150519_134237.jpg",": 3154","2015","E9224C0F225EDB47C6B09417F9228127D684AB8BE8A77353FFD1AE4A2388D090.html","556879","Nov 19, 2015","Eotech xps2-2","400","Naples"
"Pistols","outlaw23","July 2, 2008","","","20151112_152922.jpg",": 1856","2015","F172FBB8431FB02C3B67296C1A0A6F361C946B44A6F2F685069559BA43F30FAA.html","557005","Nov 20, 2015","Glock 19 gen 3 (TRADE)","0","Melbourne"
"Rifles","cesar62188","March 7, 2013","","","20151113_113018.jpg",": 2408","2015","F721A4908EB68CA7CF0B89AFA8D653A136AA33F8CC2823D11487EB72B13C89E9.html","556097","Nov 14, 2015","WTT FOR SAM7 UF or SF","0","MIAMI GARDENS"
"Pistols","Glckmn21","May 28, 2013","image.jpg","","image.jpg",": 2132","2015","FC85FED6348ED967E20441F809D8DAD59F6B4FE80AF0C971DBAA0E283CEBD457.html","556283","Nov 15, 2015","Trade LNIB Hk 45 V1 safequeen for high end AR orAk","0","Broward"
"Pistols","v8hunter99","January 11, 2013","","","",": 2092","2015","FD3A92F4AA42AEFFC031F324EE3823A63663FF15D0E1224195C0FC9BBEF5AE1B.html","556142","Nov 14, 2015","ruger sr22","0","St Augustine"
"Pistols","edroc57","July 19, 2014","","","micconewNov14-15 copy.jpg",": 1987","2015","FDF5760F01FC28F3EC70A7D0FDC5CDDBB41DAA5C292E8C728C778B754B0BCF4E.html","556013","Nov 14, 2015","Miami Gun Show This Weekend! Nov 14-15!","0","Miami"
