"Accessories","Atlanta","Name","started","Joined","olchevy","Bill","For","See","","Messages","trade","information","file_name","Description","FT","Price","mags"
"Handguns","","","GreggWSmith","May 30, 2013","Tracker"," No","Glocks and Sigs in 9mm",":  9mm     Willing to Ship:  No","21","285","2015","","411B885EE5677FED58D07A7F86AD7EB5C49B27BC07EAD3F3AF42AC213960EA78.html","I have a brand new Sig P320C 9mm with all the factory stuff including 2 mags and factory holster plus a nice Cooks IWB holster. I have the trade bug so its available for the right offer. Never been fired and still has the factory grease. Traction Grips installed.","","",":  Cumming and Buckhead     Zip Code:  30041"
"Handguns","Handguns","Springfield XDS 45 Bi-Tone","jhenry30","Feb 5, 2012","Frontiersman"," No","XDM 45 Compact",":  45     Willing to Ship:  No","46","872","2015","","426D6E9A42DE9BC7AB2A5FEA8DDF7489CE8D95BF996C217AE6CF620218D83E68.html","I have up for sale a Springfield XDS 45 Bi-Tone. I bought it and put it in the safe. Hasnt been fired outside of the factory. Comes with (1) 7 round mag and (4) 5 round mags. Asking 500 obo but will trade for an XDM compact in 45 or Spikes AR Upper in 5.56/.223 with possible cash on my end","Springfield XDS 45 Bi-Tone","500",":  Austell     Zip Code:  30106"
"Shotguns","Shotguns","Mossberg 9200 FS/FT","burt","May 23, 2010","Tracker"," No","225",":  12 gauge     Willing to Ship:  No","29","183","2015","   Last edited:  Nov 18, 2015 at 3:44 PM","486D63EF81A09CB11DD8426C73AC2D3498CF5B9CB2ECDA0FF3F16CEBDA7E6C87.html","Nice Mossberg 9200 semi-auto for sale. 24 barrel, very nice condition, appears to have been shot very little. I bought this 4 or 5 years ago and never shot it. Previous owner said it shot high brass fine but would occasionally jam on low brass. I took it apart and cleaned it, then put 25 rounds of low-brass, cheap, 7 1/2 Federal ammo through it with no problems at all. Id like to sell for $225 or maybe trade for a carry 9mm, 9mm ammo, or something else close to the same value. No Taurus or similar pistols. Comes with one choke, nothing else. Previous deal fell apart, so its back up.  Close to Banks or Jackson county. Pm please since I dont check thread often.  Thanks","Mossberg 9200 FS/FT","225",":  Commerce     Zip Code:  30530"
"Accessories","Accessories","Magpul vertical foregri","jhgeorgia493","Nov 16, 2013","Hunter"," No",".22lr or .40sw ammo","","15","84","2015","","4A78B957ADA849CFA02CE71AA2BEB88D9B5330D687E54837797A849FDCEBDB64.html","","Magpul vertical foregri","$15obo",":  Gwinnett     Zip Code:  30043"
"Rifles","Rifles","DPMS Panther AR10 300 SAUM/260 Remington","hlweeks","Mar 29, 2014","Hunter"," No","Something interesting. Not a hunter.",":  260 Rem     Willing to Ship:  No","11","86","2015","","57F1785F664FF460F1229F7A94A4B878CC47A672144AE6D5DEF29BF331A181E3.html","This is a big boy gun. DPMS Panther AR10 300 SAUM lower with 260 Rem upper. Heavy stainless barrel, bi-pod, 1 mag. Flat top ready for optic. Excellent condition. Prefer to sell but trade offers welcome. Probably need to meet fairly close to me.","DPMS Panther AR10 300 SAUM/260 Remington","775.00",":  powder springs     Zip Code:  30127"
"Ammunition","","","Southern Survival Gear","Oct 10, 2015","Outdoorsman"," No","",":  5.56     Willing to Ship:  No","1","30","2015","","589E6B59E86467D0AC872C4F0B866EFC6C21C73F45CA0FC18134AE43423DC3BD.html","","","",":  Winder     Zip Code:  30680"
"Rifles","","","Black Water","Jul 19, 2012","Outdoorsman"," No","",":  .17 HMR     Willing to Ship:  No","2","24","2015","","58DADD79B03BCC95E35F7410046DE12C0130E1065A1DE6EED6B2763B1A732404.html","I have the following Package for Sale:    - LNIB Marlin XT-17V Bull Barrel bolt action rifle  - has profire adjustable trigger  - LNIB Old School Tasco 6-24x40 Japan Glass Scope  - Heavy duty scope mounts  - 250 CCI FMJ rounds  - 50 CCI TNT rounds  - 50 CCI Game point rounds  - Doscosport hard case  - Original Box  - (1) 5 round mag  - (1) 7 round mag    This is an excellent deal not a scratch on anything. I do not need to sell, so please do not ask for a lower price. Not trying to be rude.    The best way to contact me is by cell. (706) 331-1359 my name is Aaron","","",":  Rome, GA.     Zip Code:  30165"
"Handguns","Handguns","LNIB WALTHER P99 AS","Androvic","Oct 25, 2013","Survivalist"," No","Sw shield 9mm w/extras or cash",":  9mm     Willing to Ship:  No","16","381","2015","","59CB645F1A69D7FDB46C8D75C68D755615BAD32622CFD5893ADFBEEFD205BF53.html","","LNIB WALTHER P99 AS","600 obo",":  Cobb county     Zip Code:  30080"
"Rifles","","","Marshall","Jan 9, 2013","Outdoorsman"," No","","","10","40","2015","","5F4FC61D77EF9A99BECD0BB9D8BB3B2B76605C0D6FF16DEBBA5A58A55A60CA7A.html","","","",":  Smyrn"
"Handguns","Handguns","Glock 27 gen 4","Kshifle18","Jul 31, 2015","Hunter"," No","500",":  40     Willing to Ship:  No","0","113","2015","","636D7DF3F86D18B0AA3299A03B13C31F567BA5A135044C361C77B135030B6306.html","","Glock 27 gen 4","475",":  Rome ga     Zip Code:  30147"
"Rifles","","","bxtreme24","Dec 5, 2010","ODT Junkie!"," No","",":  22     Willing to Ship:  No","55","2,303","2015","","6378F52CF2A4FDB9CE75C09F8410DC08C5C6B2EBBF6EB0F195FA67F33F54574B.html","Selling for a friend. Extremely clean 15-22. Unsure of round count but looks to be very low. It has all aftermarket furniture and tac light. 2 mags. Includes all origional furniture, manual, and a nice dual rifle range bag.  Can meet in Canton, Marietta, or anywhere in between.","","",":  Canton/Marietta     Zip Code:  30114"
"Rifles","Rifles","Norinco 84s .223/5.56 AK great shape with several mags","Link12","Jan 25, 2012","ODT Junkie!"," No","Not really but you never know.",":  .223/5.56     Willing to Ship:  No","223","3,478","2015","","63DF05A8753821D762D0D904630FEFA8D2E96FD9E8177FC9B5AD417DD37F668F.html","Great shape Pre ban Norinco 84s AK in .233/5.56. Great shooter. Will sell with one 30 round mag for $1100. Extra mags can be purchased for $100 each. The mags are not easy to find thats why they are worth $100 each. If you buy everything as a package you will get 6-30 round mags and 2-15 round mags for $1500. Meet will need to be close to me on this as I am strapped for time at the moment. Only selling to put the money toward my new place that I am remodeling. PM any questions or offers. Not looking to trade unless its in my favor or something I just have to have.","Norinco 84s .223/5.56 AK great shape with several mags","$1100 to $1500",":  Rossville     Zip Code:  30741"
"Accessories","","","Akguy79","Sep 24, 2015","Hunter"," No","","","8","149","2015","","683B4C8FB23B0399D8B561841C52C44B26E9D02BD988313280D51DD9EFE697D6.html","","","",":  resaca     Zip Code:  30735"
"Revolvers","","","comptondlls","Jan 7, 2013","ODT Junkie!"," No","Stainless Ruger Vaquaro 357 or 44mag, Stainless Taurus 992 22lr/22mag, SW Governor,",":  44MAG     Willing to Ship:  No","149","1,209","2015","","68ABD6CFF6778AB4EEA1131F45FDDF9E00EE71A68E66C217FA39AA50368F8F1E.html","Like new un fired Ruger super Blackhawk 44mag 5.5in barrel with box no papers, the trader I got it from said he got it new and had been in the safe around 15yrs and never fired and same here been in the safe and I have not shot it, it is in awesome shape, just looking for something different if interested p/m or text 678 313 4078 text is best, I will be in the North East this weekend in Elberton GA.","","",":  Dallas     Zip Code:  30157"
"Rifles","Rifles","Five Rifles For Sale","bolie","Jun 26, 2010","Frontiersman"," No","Various","","42","677","2015","","6C11E5FBC99507B121AC3799DE460920FB1DBC15A4CE3D7058F73DED81594306.html","","Four Rifles For Sale","Various",":  Dublin     Zip Code:  31021"
"Handguns","","","bebo1911","Mar 2, 2013","Tracker"," No","",":  300blk     Willing to Ship:  No","22","189","2015","","6ED31C6BEAA90A10461250EB3BB0270D1C938A61139BCC5F7B724D0E65DAE666.html","Got a noveski barreled,rock river forged upper,vortex flash hider,Midwest hand guard,Troy folding battle sights,PSA magpul lower,with jp trigger springs upgraded  Also have 97 rnds of Remington otm ammo to go with it  Right at ($1100) dollars total in it,  $300 cash plus a eotec or aim point ? Or other ar optics? Gun works like a champ,no problems great gun just wanting something different,","","",":  Athens     Zip Code:  30619"
"Rifles","Rifles","Bushmaster XM15-E2S","Busch Lite","Sep 6, 2015","Outdoorsman"," No","$900 or looking for .308 bolt action or anything for long range shooting",":  .223     Willing to Ship:  No","0","43","2015","","7089CA6C2FF959A21C40DA82505F3ED781CF6B96D61F9F4BF227652429D87579.html","I have a Bushmaster that is in excellent condition with a round count of around 150. Currently there is a Redfield Battlezone mounted on it. Also, have 4 Magpul mags. Manufactured in 2006 per Bushmaster customer service. Scope is in excellent condition as well. Stored in hard case.","Bushmaster XM15-E2S","$800",":  North ga     Zip Code:  30540"
"Accessories","","","Redcrane","Apr 17, 2014","Survivalist"," No","","","31","327","2015","","71675E0FACBE49753C24BFD05CC735ADE2590436AB23FA7A20767FD942A7CBEA.html","12 holsters  8 leather  4 nylon  all in very good condition.  90 dollars for all","","",":  woodstock     Zip Code:  30188"
"Handguns","","","benjamin","Mar 15, 2011","ODT Junkie!"," No","",":  9 mm     Willing to Ship:  No","209","2,800","2015","","72E2A926CD57A69C16B8948735A82DC59A8061E5A8EF4BFB52CC6547F1F49FD3.html","These were discontinued in 1988, shoots fine, has wear for its age, It is a alloy frame eight shot semi auto.","","",":  Jefferson     Zip Code:  30549"
"Rifles","Rifles","NIB Century C39V2 AK-47","stangman","Aug 15, 2013","Hunter"," No","790.00",":  7.62x39     Willing to Ship:  No","9","128","2015","","73B256381EAB3413762ACB99FEF42DB3379214B81C6A159C696564AF9E9C6996.html","NIB Century Arms C39 V2 Milled AK Rifle , RI2245-N , 100% American made! Accepts all standard AK magazines. Features a milled receiver machined from a solid 11 lb. block of 4140 ordnance quality steel, larger tee shaped magazine catch, AKM furniture compatible, bolt hold open safety and an enhanced dust cover. Chrome moly nitride treated barrel has a concentric left hand 14x1 metric thread that is suppressor ready. All test rifles passed a 5K round endurance test. Comes with two 30 rd. Magpul mags. and a 1 year manufacturers warranty.    This is a beautiful gun - excellent fit and finish!    Will trade for like new SW Model 60 or like new SW Model 63. (Cash to be added on your part depending on gun) Thanks for looking!","NIB Century C39V2 AK-47","775.00",":  Flintstone     Zip Code:  30725"
"Rifles","","","atl613","Nov 19, 2013","Tracker"," No","",":  7.62x54r     Willing to Ship:  No","46","208","2015","","7830000F88F2F64380F59B7971A581BA379DCB92B2A5F6E2B3F75647E6935ACD.html","Old war horse. I dont know much about this. Ive had for a little over a year.....shot it a handful of times.... works fine. The front sight post needs adjusting. I bought a nice tool for it,but never got around to using it. Will include for another $25    Comes with the bayonet,sling ammo pouches and some stripper clips.","","",":  Emerson     Zip Code:  30137"
"Handguns","Handguns",". Glock 21 SF gen 3 with 2 mags","The West Virginia Cowboy","Jun 2, 2010","ODT Junkie!"," Yes     Billing Information:  Peak at Ga. DL and CCW Permit","$650.00",":  .45 ACP     Willing to Ship:  No","102","1,703","2015","","7864CF5D6CEB9619E8CE69CDCDDEF4E11E54090A0E1F99D423BF43FDFEA9E80E.html","","Glock 21 SF gen 3 with 2 mags","$581.00",":  VILLA Rica     Zip Code:  30180"
"Rifles","Rifles","","mjw","Nov 16, 2013","Hunter"," No","",":  .22 mag     Willing to Ship:  No","10","119","2015","","7B371F9B7B4FA4FE411157FE5DB125BAED652FA00DF1A518CD28361AC1690AA7.html","Remington 597 .22 mag NIB unfired, never loaded. Comes with 2 extra mags, factory Picatinny rail, Volquartsen hammer and 200 rounds.","Remington 597 .22 mag","$550",":  Canton     Zip Code:  30114"
