"Artist_URI","Description","ObjectURI","Image","OwnerURI","AquisitionDate","ArtistBornDate","ArtistDiedDate","DateOfWork","Dimension","ClassificationURI","Classification","MediumURI","Medium","ArtistAppellation_URI","Artist","Title","CreditLine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8500012a.jpg","","1985-05","","","1823","90.8cm x 70.5cm (35 3/4"" x 27 3/4""), Accurate ","","Painting","","Oil on canvas","","Chester Harding","Loammi Baldwin","National Portrait Gallery, Smithsonian Institution"
"","Born New York City  David Baltimore is regarded as one of the world's most influential biologists. In 1975, at the age of thirty-seven, he won the Nobel Prize for his research on RNA viruses and their abilities to infect and permanently alter healthy cells. His research has aided the scientific understanding of retroviruses such as HIV and the molecular basis of the immune response. Baltimore is regularly consulted by the federal government and worldwide health organizations in the fight against and treatment of AIDS. Describing the joy of discovery, Baltimore explains: ""You go home, and you think about it when you go to sleep, and you think about it when you wake up . . . and you know there is something new in the world."" In this portrait by Jon Friedman, Baltimore appears with partial views of two photographs by the Cuban photographer Abelardo Morell, testifying to his long-standing interest in art.","","http://npgportraits.si.edu/eMuseumNPG/media/previews/A7000002B.jpg","","2007-02-20","","","2006","Sheet: 76.6 x 58.1cm (30 3/16 x 22 7/8"") Mat: 91.4 x 66cm (36 x 26"") ","","Painting","","Oil on paper","","Jon R. Friedman","David Baltimore","National Portrait Gallery, Smithsonian Institution; gift of Jon R. Friedman"
"","David Baltimore is regarded as one of the world's most influential biologists. In 1975, at the age of thirty-seven, he won the Nobel Prize for his research on RNA viruses and their abilities to infect and permanently alter healthy cells. His research has increased the scientific understanding of retroviruses such as HIV and the molecular basis of the immune response. Baltimore is regularly consulted by the federal government and health organizations worldwide in the fight against and treatment of AIDS. Describing the joy of discovery, Baltimore explains: ""You go home, and you think about it when you go to sleep, and you think about it when you wake up . . . and you know there is something new in the world."" In this portrait by Jon Friedman, Baltimore appears with a print by Richard Serra, testifying to his long-standing interest in art. ","","http://npgportraits.si.edu/eMuseumNPG/media/previews/A7000004B.jpg","","2007-02-20","","","2006","Sheet: 76.3 x 56.4 cm (30 1/16 x 22 3/16"") Oversize mat. ","","Painting","","Oil and acrylic on paper","","Jon R. Friedman","David Baltimore","National Portrait Gallery, Smithsonian Institution; gift of Jon R. Friedman"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8500148A.jpg","","1985-11","","","1919","76.2cm x 63.5cm (30"" x 25""), Accurate ","","Painting","","Oil on canvas","","John Wycliffe Lowes Forster","Alexander Graham Bell","National Portrait Gallery, Smithsonian Institution; gift of Gilbert Grosvenor Coville"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/7700306A_1.jpg","","1977","","","1886","132.7cm x 101.6cm (52 1/4"" x 40""), Accurate ","","Painting","","Oil on canvas","","George Da Maduro Peixotto","Julius Bien","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Julius Bien, Jr., 1920"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0518a.jpg","","1978-05","","","1977","81.6cm x 63.5cm (32 1/8"" x 25""), Accurate ","","Painting","","Acrylic on board","","Roy Andersen","Harold Brown","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8200110a.jpg","","1982-05-11","","","1902","122.5cm x 95.3cm (48 1/4"" x 37 1/2""), Accurate ","","Painting","","Oil on canvas","","George Henry Taggart","John Moses Browning","National Portrait Gallery, Smithsonian Institution; gift of Val A. Browning"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/7900298a.jpg","","1979-04-25","","","c. 1845","Stretcher: 76.3cm x 63.5cm (30 1/16"" x 25"") ","","Painting","","Oil on canvas","","","William Austin Burt","National Portrait Gallery, Smithsonian Institution; gift of Mrs. Philip Burt Fisher"
"","The Harmon Foundation, a philanthropic organization based in New York City and active from (1922-1967) included this portrait in their exhibition “Portraits of Outstanding Americans of Negro Origins” which documented noteworthy African Americans’ contributions to the country. Modeling their goal of social equality, the Harmon sought portraits from an African-American artist, Laura Wheeler Waring and Euro-American artist, Betsy Graves Reyneau.  The two painters  followed the conventional codes of academic portraiture, seeking to convey their sitters extraordinary accomplishments.  This painting, along with a variety of educational materials, toured nation-wide for ten years serving as a visual rebuttal to racism.","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6500142A_2.jpg","","1965-04","","","1942","Stretcher: 114.9 x 89.5 x 2.5cm (45 1/4 x 35 1/4 x 1"") Frame: 130.2 x 104.8 x 5.7cm (51 1/4 x 41 1/4 x 2 1/4"") ","","Painting","","Oil on canvas","","Betsy Graves Reyneau","George Washington Carver","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the George Washington Carver Memorial Committee to the Smithsonian Institution, 1944"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/87t0004a.jpg","","1987-01-18","","","1938","76.2cm x 63.4cm (30"" x 24 15/16""), Accurate ","","Painting","","Oil on canvas","","Samuel Johnson Woolf","Charles Lindbergh and Alexis Carrel","National Portrait Gallery, Smithsonian Institution"
"","De Witt Clinton, masterful politician of New York-in and out of office as mayor of the city and governor of the state-was a man who saw America with the potential for unlimited progress. His great dream was for a canal linking the Great Lakes with the Hudson River. When expected federal financing did not materialize, Clinton set out to put public pressure for funding on the state legislature. A bond issue was approved just in time for Clinton, newly elected as governor, to preside over the groundbreaking ceremonies on July 4, 1817. Eight years later, Clinton, returned to office, directed the great celebration of the Erie Canal's completion. ""Clinton's Ditch"" was a popular and immediate financial success and contributed enormously to the growth and prosperity of New York and the Northwest Territory as well. ","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6500096A_1.jpg","","1965-02","","","c. 1816","Stretcher: 122.9 x 92.7 x 2.5cm (48 3/8 x 36 1/2 x 1"") Frame: 147 x 116.2 x 11.4cm (57 7/8 x 45 3/4 x 4 1/2"") ","","Painting","","Oil on canvas","","John Wesley Jarvis","DeWitt Clinton","National Portrait Gallery, Smithsonian Institution; transfer from the National Gallery of Art; gift of the A.W. Mellon Educational and Charitable Trust, 1942"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0628a.jpg","","1978-05","","","1963","48.5cm x 38.4cm (19 1/8"" x 15 1/8""), Accurate ","","Painting","","Tempera, pencil and ink on board","","Boris Chaliapin","Gordon Cooper","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6610092a.jpg","","1966-05","","","c. 1945","91.5cm x 59.7cm (36"" x 23 1/2""), Accurate ","","Painting","","Oil on canvas","","","John Adolphus Bernard Dahlgren","National Portrait Gallery, Smithsonian Institution; gift of Mrs. John Vinton Dahlgren, Woodbine, Maryland"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8100192A_1.jpg","","1981-10-13","","","1920","112cm x 85cm (44 1/8"" x 33 7/16""), Accurate No frame ","","Painting","","Oil on canvas","","Wilford Seymour Conrow","Dr. William Healey Dall","National Portrait Gallery, Smithsonian Institution; gift of Whitney Dall"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6610078a.jpg","","1966","","","1910","86.4cm x 68.6cm (34"" x 27""), Accurate ","","Painting","","Oil on canvas","","Charles Courtney Curran","Richard Delafield","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Albert Delafield, 1910"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6510044a.jpg","","1965","","","","111.8cm x 91.8cm (44"" x 36 1/8""), Accurate ","","Painting","","Oil on canvas","","","Lester Hoxie Dewey","National Portrait Gallery, Smithsonian Institution; transfer from the National Archives"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/7500016A_1.jpg","","1975-05","","","1890","76.2cm x 63.5cm (30"" x 25""), Accurate ","","Painting","","Oil on canvas","","M. W. Clark","William Franklin Draper","National Portrait Gallery, Smithsonian Institution; gift of William F. Draper, descendant"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/pr010052.jpg","","","","","1782","43.1cm x 27.6cm (16 15/16"" x 10 7/8""), Accurate ","","Painting","","Oil on panel","","José Campeche y Jordán","Jose Dufresne","Museo de Historia, Antropología y Arte, Universidad de Puerto Rico, Recinto de Rio Piedras"
"","Born Milan, Ohio  Painted during Thomas Alva Edison's visit to Paris for the Universal Exposition of 1889, Abraham A. Anderson's portrait depicts the wealthy entrepreneur at the height of his career. World-renowned for his inventions-including the phonograph, incandescent lamp, and movie camera-Edison, who received numerous honors in Europe, presided over one of the most popular exhibitions at the exposition. Particularly intriguing to audiences was Edison's phonograph, the recent improvement of which Anderson chose to picture. Although Edison patented the device in 1877, earning himself the title of the ""Wizard of Menlo Park,"" eleven years passed before he achieved sufficient clarity of sound to make it commercially viable. Using the word ""specie"" as a test, Edison labored until it could be properly transmitted. ""When that was done,"" Edison reported, ""I knew everything else could be done, which was a fact.""","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6500038a.jpg","","1965","","","1890","Stretcher: 114.3 x 138.7 x 2.5cm (45 x 54 5/8 x 1"") Frame: 157.5 x 181.8 x 9.8cm (62 x 71 9/16 x 3 7/8"") ","","Painting","","Oil on canvas","","Abraham Archibald Anderson","Thomas Alva Edison","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Eleanor A. Campbell to the Smithsonian Institution, 1942"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6600012a.jpg","","1966-05","","","1950","81.3cm x 63.5cm (32"" x 25""), Accurate ","","Painting","","Oil on burlap","","Josef Scharl","Albert Einstein","National Portrait Gallery, Smithsonian Institution"
"","The most brilliant scientist of the twentieth century, physicist Albert Einstein inspires comparisons to Isaac Newton. By the time he reached thirty, his theory of relativity and work in quantum mechanics had revolutionized physics and profoundly altered our perception of the world. Einstein naturally commanded great prestige in the United States when he sought refuge from the Nazi regime of his native Germany in 1933. His words thus carried enormous weight in 1939 when he wrote a letter alerting President Roosevelt that Germany was moving toward the development of nuclear weaponry. Eventually, that warning gave impetus to the Manhattan Project, the top-secret venture that in 1945 produced the world's first atomic bomb. While sitting for this likeness in 1944, Einstein mused to his portraitist, ""After fifty years they will say of me, either he was a great man or a fool!""","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6700028a.jpg","","1967-01","","","1944","Stretcher: 102.9 x 77.5cm (40 1/2 x 30 1/2"") Frame: 123.2 x 97.8 x 9.5cm (48 1/2 x 38 1/2 x 3 3/4"") ","","Painting","","Oil on canvas","","Max Westfield","Albert Einstein","National Portrait Gallery, Smithsonian Institution; gift of the artist"
"","Before he came to the United States in 1839, the Swedish-born engineer and inventor John Ericsson revolutionized navigation with his development of the screw propeller. He achieved fame during the Civil War when he designed the ironclad warship Monitor, the federal response to the threat of the Confederate ironclad Virginia (the refitted USS Merrimack). Ericsson, posing with a model of his ""tin can on a raft,"" always worked alone and had previously perfected engines for many purposes, including fire engines and a steam locomotive. He later developed the forerunner of the modern naval destroyer.","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6600090a.jpg","","1966","","","1912","Stretcher (Verified): 123.8 x 92.7 x 2.5cm (48 3/4 x 36 1/2 x 1"") Frame (Verified): 154.3 x 122.6 x 11.4cm (60 3/4 x 48 1/4 x 4 1/2"") ","","Painting","","Oil on canvas","","Arvid Frederick Nyholm","John Ericsson","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the Swedish American Republican League of Illinois to the Smithsonian Institution, 1912"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6600092a.jpg","","1966","","","1849","76.2cm x 63.5cm (30"" x 25""), Accurate ","","Painting","","Oil on canvas","","Thomas Sully","James Pollard Espy","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the Espy family to the Smithsonian Institution, 1860"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6710204a.jpg","","1967-12-08","","","","61cm x 50.8cm (24"" x 20""), Accurate ","","Painting","","Oil on canvas","","","Eberhard Faber","National Portrait Gallery, Smithsonian Institution; gift of Eberhard Faber"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0722a.jpg","","1978-05","","","1960","51.4cm x 38.4cm (20 1/4"" x 15 1/8""), Accurate ","","Painting","","Tempera, pencil and ink on board","","Boris Chaliapin","Sherman Fairchild","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/97T0160A_1.jpg","","1997-12-08","","","1941","26.3 x 23.5 cm (10 3/8 x 9 1/4"") ","","Painting","","Gouache on board","","Ernest Hamlin Baker","Henry Ford","National Portrait Gallery, Smithsonian Institution"
"","Benjamin Franklin, in his day the most famous American in the world, returned from his years representing colonial interests in England just in time to be unanimously elected to represent Pennsylvania at the Second Continental Congress. Behind him was a lifetime of achievement as a printer, an unsurpassed author of wit and wisdom, an inventor, and a scientist. Ahead were his roles as a signer of the Declaration of Independence and as a member of the Constitutional Convention of 1787. In between was his triumph as a diplomat in France, where this portrait was ordered by Madame Brillon de Jouy, who loved Franklin's ""droll roguishness which shows that the wisest of men allows his wisdom to be perpetually broken against the rocks of femininity."" In 1995 this portrait was selected as the basis for Franklin's engraving on the redesigned $100 bill. ","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8700086a.jpg","","1987-05","","","c. 1785","Stretcher: 72.4 x 59.7 x 3.8cm (28 1/2 x 23 1/2 x 1 1/2"") Frame: 92.7 x 80 x 8.3cm (36 1/2 x 31 1/2 x 3 1/4"") ","","Painting","","Oil on canvas","","Joseph Siffred Duplessis","Benjamin Franklin","National Portrait Gallery, Smithsonian Institution; gift of the Morris and Gwendolyn Cafritz Foundation"
"","Born Milton, Massachusetts  Although not an accredited architect, Buckminster Fuller was best known for his many experiments in building design and his philosophy of architecture. Adhering to his ""dymaxion"" principle, which called for maximum results from a minimum of material and energy, he was an early advocate of prefabrication and modular construction. The most famous of Fuller's achievements was the geodesic dome, which artist Boris Artzybasheff wittily depicts here as the structure of Fuller's face and skull. Patented in 1947, this spherical structure required no internal support, thus creating an unobstructed interior space. In 1967, one of Fuller's domes served as the United States pavilion at the world exposition in Montreal, where it became a symbol of America's tradition in technical innovation.  ","","http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0786a_1.jpg","","1978-05","","","1963","Sight: 43.2 x 31.1cm (17 x 12 1/4"") Frame: 74.9 x 59.7 x 3.2cm (29 1/2 x 23 1/2 x 1 1/4"") ","","Painting","","Tempera on board","","Boris Artzybasheff","R. Buckminster Fuller","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/9100008a.jpg","","1990-11-27","","","c. 1981","62.2cm x 52.1cm (24 1/2"" x 20 1/2""), Accurate ","","Painting","","Oil on canvas","","Ruth Munson","R. Buckminster Fuller","National Portrait Gallery, Smithsonian Institution; gift of Ruth Munson"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0790a.jpg","","1978-05","","","1961","Sight: 43.8 x 30.5cm (17 1/4 x 12"") Frame: 66 x 50.8 x 2.2cm (26 x 20 x 7/8"") ","","Painting","","Gouache, watercolor and graphite pencil on illustration board","","Boris Chaliapin","Yuri Gagarin","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6510060a.jpg","","1965","","","","112.1cm x 91.8cm (44 1/8"" x 36 1/8""), Accurate ","","Painting","","Oil on canvas","","William N. Dovener","Beverly Thomas Galloway","National Portrait Gallery, Smithsonian Institution; transfer from the National Archives"
"","Bill Gates (born 1955) dropped out of Harvard to write software for the earliest personal computers. His company, Microsoft, developed a computer operating system for wide-scale nontechnical use that spurred on the personal computer revolution begun in the 1980s. Microsoft remains a leader in the industry and made Gates among the world’s wealthiest individuals. Melinda French Gates (born 1964) has degrees in computer science, economics, and business, and was employed by Microsoft before marrying Bill Gates in 1994.             The couple created the Bill & Melinda Gates Foundation with the mission of helping all people live healthy, productive lives. Global priorities include improving health and boosting the productivity of small farms in poor countries; national initiatives include implementing partnerships to make sure students graduate from high school ready for college and helping local libraries provide free computer and Internet services.             The painting is set near the Gates family home on Lake Washington. The collaged screen on the left includes maps, charts, and images referencing the foundation’s work, with the statement “All Lives Have Equal Value.” The background shows the lake with the Olympic Mountains in the distance.","","http://npgportraits.si.edu/eMuseumNPG/media/previews/B0000296A.jpg","","2010-09-24","","","2010","Panel: 127.6 x 117.5cm (50 1/4 x 46 1/4"") Frame: 130.7 x 120.5 x 7cm (51 7/16 x 47 7/16 x 2 3/4"") ","","Painting","","Oil and collage on canvas attached to wood panel","","Jon R. Friedman","Bill and Melinda Gates",""
"","Born New York City  Murray Gell-Mann's concept of the ""eightfold way"" with regard to particle coherence and predictability has been a vital tool in enlarging knowledge of nuclear particles. For this work on the theory of elementary particles, he received the Nobel Prize in 1969, and his 1994 book The Quark and the Jaguar made these theories accessible to the general reader. Gell-Mann is currently the Robert Andrews Milliken Professor Emeritus at the California Institute of Technology.  	Painter Andrew Tift met and photographed Gell-Mann in 2003 at the Santa Fe Institute, where Gell-Mann is a distinguished fellow and trustee. Tift loved his face: ""He really had the 'Mad Professor' look, a bit like Einstein, a wonderful face that I knew I had to capture.""","","http://npgportraits.si.edu/eMuseumNPG/media/previews/A8000078A.jpg","","2008-08-20","","","2004","Stretcher: 50.8 x 30.5cm (20 x 12"") Frame: 54 x 33.7 x 5.1cm (21 1/4 x 13 1/4 x 2"") ","","Painting","","Acrylic on canvas","","Andrew Tift","Murray Gell-Mann","National Portrait Gallery, Smithsonian Institution; gift of Francisco Arechiga"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/va150045.jpg","","1951","","","1772","sight: 127.9cm x 104.2cm (50 3/8"" x 41""), Accurate ","","Painting","","Oil on canvas","","Charles Willson Peale","George Washington in the Uniform of a British Colonial Colonel","Washington-Custis-Lee Collection, Washington and Lee University, Lexington, Virginia"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/9700118a_1.jpg","","1997-06-24","","","1929-1930","Frame: 114.3 x 88.6 x 4.1cm (45 x 34 7/8 x 1 5/8"") ","","Painting","","Oil on canvas","","Frank Stanley Herring","Lillian Moller Gilbreth","National Portrait Gallery, Smithsonian Institution; gift of Ernestine Gilbreth Carey and Lillian Carey Barley"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8400032A_1.jpg","","1983-11-16","","","1911","97.2cm x 86.4cm (38 1/4"" x 34""), Accurate ","","Painting","","Oil on canvas","","Jean Mannheim","King Camp Gillette","National Portrait Gallery, Smithsonian Institution; gift of the Gillette Company"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/.jpg","","1978-05","","","1962","48.2cm x 38.1cm (19"" x 15""), Accurate ","","Painting","","Tempera, ink and pencil on Masonite","","Boris Artzybasheff","John Glenn","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6800006a.jpg","","1968-02","","","1967","71.1cm x 61cm (28"" x 24""), Accurate ","","Painting","","Oil on canvas","","Emily Burling Waite","Robert Hutchings Goddard","National Portrait Gallery, Smithsonian Institution; gift of an anonymous donor"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/7610016A_2.jpg","","1976","","","c. 1865","58.4 x 92.7cm (23 x 36 1/2"") Frame: 100.3 x 134.6 x 12.7cm (39 1/2 x 53 x 5"") ","","Painting","","Oil on canvas","","Ole Peter Hansen Balling","Grant and His Generals","National Portrait Gallery, Smithsonian Institution; transfer from the Library of Congress"
