"additionalInfo","object_uri","title","imageUrl","artist_uri","dimensions","technique_uri","technique","ethnicity_uri","enthnicity","artist_appellation_uri","artist","provenance"
"Eight page booklet (playbill) for Duke Ellington's performance in ""Jump For Joy"" featuring Dorothoy Dandridge, Ivy Anderson and Herb Jeffries.","","""Jump For Joy""","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMusic%5Fprograms%5CJump2%2Ejpg","","11.75"" H  x 8.75"" W","","printed on paper","","African American","","American Revue Theatre (Walter Jurmann, Chairman)","Gift of MacDonald and Charlotte Jean Jones"
"Small engraving of Fort Williams which was one of the many infamous slave forts that were built along Africa west coast in the 17th and 18th centuries. Extracted from Prevost's ""L`Histoire Generale des Voyages"" (vol. IV, no. 11).","","Plan du Fort Anglois de Juida, ou Fort Williams","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CGarcia%5FFtWilliams%2Ejpg","","10"" H x 7.25"" W","","Copper Plate Engraving with Recent Hand Coloring","","French","","Antoine-François Prevost","Gift of Edward T. Garcia"
"Abstract lithograph in black, grey and beige colors. Edition number 62/150, signed in bottom right corner by artist.","","untitled","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTapies%5FAntoni%2Ejpg","","28¾"" x 34¾""","","lithograph","","Spanish","","Antoni Tàpies","Bequest of Alfred C. Darby"
"photographic reproduction","","Claude Fiddler in his Studio","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CFIDDLE%7E1%2EBMP","","19½ x 19½"", 8 x 10"" negative","","Photograph and Negative","","African American","","Armando Solis","Museum purchase"
"Sheet music with illustration of cityscape in lower right portion of cover page. Total of six pages.","","""Oh! What A Beautiful City""","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CSheet%5Fmusic%5CPooleJohnson%5Fsheetmusic+copy%2Ejpg","","12 H x 9 W","","Sheet music","","African American","","Arranged by Edward Boatner","Gift of Estate of Marjorie P. Johnson"
"Man with (2) heads shown from frontal view, references to African heritage with Makonde influence.","","Minkisi Figure/Kalunga Heads, series VII","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDAS+Foto%5CCarraway%2Ebmp","","31"" H x 25"" W","","Gouche and conte on paper","","African American","","Arthur Carraway","Gift of Jessica and Nancy McKinney"
"Female figure balancing on proper left leg. ""Emerging"" refers to the female form that is revealed with the removal of the ceramic shell resin [investment] as part of the casting process. Part of the ""dialogue series"" see reference number 2002.4.","","Emerging Woman","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FEmergingWoman%2Ejpg","","32.5"" H x 15"" W x 10"" D","","Bronze, steel wire, ceramic shell and resin","","Canadian American","","Artis Marie Lane","Museum purchase"
"Striding woman balanced on proper right foot with hands on hip. Artist's proof. Part of the ""dialogue series"" see reference number 2001.10.","","Woman","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FWoman%2Ejpg","","32.25"" H x 15"" W x 10""D","","Bronze with black patina","","Canadian American","","Artis Marie Lane","Museum purchase with Arts Council funds in memory of John T. Riddle, Jr."
"Larger than life male nude with hands placed over genitalia, gazing upward. Modeled after actor Djimon Hounsou.","","Emerging First Man","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CLoans%5CIL15%5F2005%2Ejpg","","75"" H x 20""W x 12"" D","","Bronze, ceramic shell, resin","","African American","","Artis Marie Lane","Gift of Friends, The Foundation of the California African American Museum through the generous donations of the Annenberg Foundation and the James Irvine Foundation"
"Rosa Parks shown seated on a bus with White man seated behind her. She gazes out of the window.","","The Beginning","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FBeginning%2Ejpg","","33"" H x 35.25"" W","","Lithograph","","African American","","Artis Marie Lane","Gift of Friends, The Foundation of the California African American Museum"
"Akua'ba fertility figure, cylindrical body, disk head, beautiful schematized coiffure on back of head suggests from core of Ashanti area.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CK5%2EBMP","","11½"" x 4"" x 1½""","","Carved, pigmented wood, with purple pigment at neck.","","Asante (Ashanti)","","Asante People of Ghana","Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby"
"Akua'ba fertility figure, good profile, repairs to neck","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CK3%2EBMP","","10"" x 4¼"" x 11½""","","Wood","","Asante (Ashanti)","","Asante People of Ghana","Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby"
"Akua'ba figure, fertility figure, beautiful assortment of small bead decorations.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5C1035%2EBMP","","9½"" x 3¾"" x 1½""","","Wood","","Asante (Ashanti)","","Asante People of Ghana","Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby"
"Akua'ba figure, fertility figure carved and carried by pregnant women as symbol to insure birth of unborn child. High forehead symbolizes ideal beauty, articulated ringed neck reflects health, black patina, cylindrical body.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5C1058%2EBMP","","9½"" x 3"" x 1¼""","","Wood","","Asante (Ashanti)","","Asante People of Ghana","Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby"
"Akua'ba figure, fertility figure, black patina, bead decorations, interesting facial abstraction, good age.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5C1034%2EBMP","","14"" x 6"" x 1½""","","Carved and pigmented wood.","","Asante","","Asante People of Ghana","Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby"
"Newspaper, ephemera and photograph scrapbook including an autographed publicity photograph of Sarah Vaughn (1950s).","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSpiller%5CVaughn%2Ebmp","","19.5 x 25 x 2.25""","","Newpaper, photographs, binder","","African American","","assembled by William Spiller, Sr./George M. Cutler, Jr.[commercial photographs]","Gift of William Spiller, Jr."
"Movie poster depicting scenes from Oscar Micheaux's thrilling motion picture epic, ""The Betrayal: The Strangest Love Story Ever Told"". Starring Lou Vernon and William Byrd.","","The Betrayal: The Strangest Love Story Ever Told [poster]","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMovies%5CMicheaux%5FBetrayal%2Ejpg","","54½"" H x 42"" W","","ink on paper","","African American","","Astor Pictures/Oscar Micheaux","Museum purchase"
"Hermaphrodite, protruding stomach, anatomically female with a beard as male characteristic.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CA133%2Ejpg","","49"" x 5.5""","","Carved wood","","","","attributed to Cameroon Grasslands peoples","Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby"
"Male/female pair, undetermined group. Two figures share on pair of over-sized legs. Simplistic, elongated bodily features reminiscent of Senufo rhythm pounders from the Ivory Coast.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CF22%2EJPG","","24"" x 6½""","","wood and pigments","","Senufo","","attributed to Senufo people of Côte dIvoire","Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby"
"Caricature of the donor, Vertenis Shephard, a family friend of Ken Renard.","","Caricature of Vertenis Shephard","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKen+Renard%5CVertenis%2Ejpg","","14"" H x 11"" W","","pastel and charcoal on paper","","African American","","[Bailey] of Universal City Studios","Gift of Vertenis Shephard"
"Female figure, elegant angularity of body and legs with extensive scarification, protruding breasts. Left foot and head need repair, good age.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CK7%2Ejpg","","31"" x 6.5""","","Carved wood","","Bamana","","Bamana people of Mali","Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby"
"Hunter's shirt, cotton, Bamana, West Africa. Dark brown patina.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CO%2EJPG","","36"" H x 32"" W","","Cotton and pigment","","Bamana","","Bamana people of Mali","Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby"
"Bambara door lock.","","Bambara Door Lock","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSilverman%5CBamana%5FdoorLock%2Ejpg","","13"" x 15½"" x 3""","","Wood","","Bambara (Bamana)","","Bambara people of Mali","Gift of Dr. and Mrs. Melvin Silverman"
"Whitened mask with raffia , surmounted by stylized antelope form.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CZ1%2EJPG","","25"" H x 18"" W x 22"" D","","Wood, kaolin and raffia","","Basuku","","Basuku People of Democratic Republic of Congo","Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby"
"Red painted wood sculpture of standing male officer holding rifle in front of him. Traces of white and brown paint throughout figure with geometric design on base.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFICitems%5CFIC200012%2E3%2Ejpg","","16.25"" x 5.5"" x 5""","","Wood and pigment","","Baule","","Baule of the Côte dIvoire","Collection of California African American Museum"
"Standing monkey figure, some termites present","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CZ3%2EJPG","","24½"" x 7"" x 9""","","wood with plant fibers","","Baule","","Baule people of the Ivory Coast","Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby"
"Collage painting of seated individual at a table with a bowl full of cherries and a vase.","","Cherries","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCherries%2Ejpg","","30 x 46""","","oil and collage on canvas","","African American","","Benny Andrews","California Afro-American Museum Foundation purchase"
"Signed, titled and dated (August 1965) lower left. A deceased person is in an open casket with his head turned towards a grieving elderly man standing close by. A grieving couple stands on the other side of the casket and a minister stands behind a lecturn that has an open book on it, presumably a Bible.","","Burial (Georgia)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CFUNERAL%2EJPG","","20.5"" x 16""","","Pen and ink drawing","","African American","","Benny Andrews","Gift of Dr. and Mrs. Leon O. Banks"
"Three patches of purple tints with half-circle shapes painted within the three purple areas.","","A Patch of Purple","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCasey%5FPurple%2Ejpg","","36"" H x 24"" W","","Acrylic on canvas","","African American","","Bernie Casey","Gift of Dr. and Mrs. Bernard Kirsch"
"Six page sheet music from the Radio Picture featuring illustrated caricatures of Amos and Andy and a dog on the cover.","","""Three Little Words"" featured in Check and Double Check with Amos N Andy","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CRuben%5FAmosAndy%2Ejpg","","12"" H x 9"" W","","Sheet music","","African American","","Bert Kalmar and Harry Ruby","Gift of Anonymous donor"
"Central female figure surrounded by images of a butterfly, leaves, moon and playing card stitched onto handkerchief.","","Floating Figure with Seven Spades","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSpades%2Ebmp","","14½ x 14½"" x ¾""","","Mixed media, cloth","","African American","","Betye Saar","Gift of the Wives of the Bench and Bar"
"Image of Sambo figure on cover of banjo case, wooden toy Sambo figure inside along with plastic rifle, mirror, transparency of male banjo player and metal skeleton figure with colored photocopy of lynched man. Also included is a large slice of watermelon made of wood with seeds attached to it.","","Sambo's Banjo","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CBanjo%2Ejpg","","41"" x 14.5"" x 4.5""","","wood, cloth, paint, mirror, plastic objects, transparency","","African American","","Betye Saar","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"Serigraph of garden of different shades of green with blue sky in background and sun.","","Summer Garden","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSummer+Garden%2Ejpg","","21.5"" x 29"" x 0.75""","","ink and paper, serigraph","","African American","","Betye Saar","Gift of Mr. & Mrs. Nicholas Buzolich; Mr. & Mrs. Buzolich"
"Menagerie of colorful animals including a rooster, lion, horse and mythological mermaid holding a large red fish.","","The Beastie Parade","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CBeastie+Parade%2Ejpg","","10.75"" x 19.75"" x 1""","","ink etching","","African American","","Betye Saar","Gift of Mr. & Mrs. Nicholas Buzolich; Mr. & Mrs. Buzolich"
"Girl walking holding a bird in left hand with the sun and moon shown above her. Edition 9/25","","Walking Girl with Bird","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CWalking+Girl%2Ejpg","","12.75"" x 10.75"" x 1""","","ink etching","","African American","","Betye Saar","Gift of Mr. & Mrs. Nicholas Buzolich"
"Mixed media assemblage: Central image of group of young african men participating in initiation rites surrounded by symbolic images of astrology and mysticism. Also included are plastic skeletons and a toy lion with skeleton head, all this set into a wood window pane frame.","","Nine Mojo Secrets","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CMojo%2Ejpg","","49.75"" x 23.5"" x 1.75""","","wood, paper, paint, fabric, glass, feathers, fibers, beads, plastic objects","","African American","","Betye Saar","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"Attached to the outside of the glazing is a found photo of a baby (representing imaginary playmate Rosey), placed in such a way so that the arch forms a halo over the baby's head. A rose is affixed to the baby's photo, directly below its body. Butterfly wings are pasted to appear inside the window in the photo. Signed and dated (1976) verso.","","For Rosey","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CRosey%2Ejpg","","8½ "" x 7½""","","paper, photograph, brass, butterfly wings","","African American","","Betye Saar","Gift of Dr. and Mrs. Leon O. Banks"
"Edition 30/75, accompaning image for ""Bookmarks in the Pages of Life: Six Short Stories by Zora Neale Hurston"", ©2000. Depicts (2) individuals and magnolia flowers.","","Magnolia Flower","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FMagnoliaFlower%2Ejpg","","14.75"" H x 11"" W","","Serigraph on Fabriano Rosaspina paper","","African American","","Betye Saar","Museum purchase"
"Edition 30/75, accompaning image for ""Bookmarks in the Pages of Life: Six Short Stories by Zora Neale Hurston"", ©2000. Depicts robed woman and caged bird.","","Mother Catherine","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FMotherCatherine%2Ejpg","","14.75"" H x 11"" W","","Serigraph on Fabriano Rosaspina paper","","African American","","Betye Saar","Museum purchase"
"Edition 30/75, accompanying image for ""Bookmarks in the Pages of Life: Six Short Stories by Zora Neale Hurston"", ©2000. Depicts suited man and field hands with drum in foreground.","","High John De Conqueror","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FJohnConqueror%2Ejpg","","14.75"" H x 11"" W","","Serigraph on Fabriano Rosaspina paper","","African American","","Betye Saar","Museum purchase"
"Edition 30/75, accompaning image for ""Bookmarks in the Pages of Life: Six Short Stories by Zora Neale Hurston"", ©2000. Depicts standing woman and grandfather clock.","","The Conscience of the Court","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FConscienceCourt%2Ejpg","","14.75"" H x 11"" W","","Serigraph on Fabriano Rosaspina paper","","African American","","Betye Saar","Museum purchase"
"Edition 30/75, accompaning image for ""Bookmarks in the Pages of Life: Six Short Stories by Zora Neale Hurston"", ©2000. Depicts (7) male individuals, donkey and quijada (lower jaw bone of donkey).","","Bone of Contention","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FBoneContention%2Ejpg","","14.75"" H x 11"" W","","Serigraph on Fabriano Rosaspina paper","","African American","","Betye Saar","Museum purchase"
"Edition 30/75, accompaning image for ""Bookmarks in the Pages of Life: Six Short Stories by Zora Neale Hurston"", ©2000. Depicts (2) males in zoot suits and female figure in foreground.","","Now You Cookin' with Gas","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FCookin%2Ejpg","","14.75"" H x 11"" W","","Serigraph on Fabriano Rosaspina paper","","African American","","Betye Saar","Museum purchase"
"Seventy-six page limited edition book containing (6) short stories: ""Bone of Contention, Magnolia Flower, High John De Conqueror, The Conscience of the Court, Mother Catherine and Now You Cookin' with Gas"". Each of the six stories is accompanied by an original illustration executed in serigraph.","","Bookmarks in the Pages of Life: Six short stories by Zora Neale Hurston with six original serigraphs by Betye Saar","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CBookmarks%2Ebmp","","15.25"" H x 12"" W x 1"" D","","Leather-bound book with letter-press printing and serigraphs","","African American","","Betye Saar [illustrator]","Museum purchase"
"The poster depicts a bull in a field with a stereotyped image of an older Black woman on a porch with a pipe in her mouth. There is a young Black child, in tattered clothes, eating watermelon at her feet on the porch, while one little boy is standing on a wooden fence peering at the bull.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBlack%5FAmericana%5CBull+Durham%2Ejpg","","21.5"" H x 27"" W x 1"" D","","ink on paper","","African American","","Blackwell's Durham Tobacco Company, Inc.","Gift of Patricia M. Moore"
"Crocodile mask, surmounted by baby on back, won horizontally, plank-like mask.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CD8%2EJPG","","77"" H x 9""W  x 7"" D","","Wood and pigment","","Bobo","","Bobo of the Ivory Coast","Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby"
"Sepia tone photograph of young African American man (Prof. R. B. Smith ?) wearing small wire glasses and a dark suit, with right hand on wicker chair.","","Prof. R. B. Smith","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFICitems%5CFIC20015%2E4%2Ejpg","","6½ x 4¼""","","Photograph","","African American","","Brittingham & Willyerd","(Attributed to) Gift of Wayne & Shelby Kostman"
"autographed publicity shot of Ella Fitzgerald which was given to a Western Union employee delivering flowers to the celebrated vocalist","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5CElla%2Ebmp","","10"" H x 8"" W","","printed paper","","African American","","Bruno of Hollywood","Museum purchase"
"Youthful Hazel Scott seated with proper right arm on back of chair. She is wearing a lace-patterned dress with sheer sleeves and bracelet.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHazel+Scott%5CScott+in+1942%2Ejpg","","10"" H x 8"" W","","Photograph","","African American","","Bruno of Hollywood, NYC","Gift of Meredith Livingston"
"helmet mask of Bundu Society","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSilverman%5CBundu%2Ejpg","","15""","","Carved and painted wood with dyed raffia","","Bundu Society, Mende","","Bundu Society, Mende people of Sierra Leone","Gift of Dr. and Mrs. Melvin Silverman"
"Do mask, zoo-morphic motif, depicting owl, concentric circle, bullet eyes, red, white, black polychrome, raffia","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CZ2%2EJPG","","70"" H x 11"" W x 3"" D","","Wood and pigment","","Bwa","","Bwa people of the Côte dIvoire/Burkina Faso","Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby"
"California Driver Licence issued to Thomas Bradley in 1995.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTOMBRA%7E1%5CBRADCDL%2EJPG","","3.375"" H x 2.0125"" W","","Laminated plastic","","American","","California Department of Motor Vehicles","Gift of Ethel Arnold Bradley and daughters"
"Bronze sculpture of male figure (God) holding smaller abstract figures in his arms.","","He's Got the Whole World in His Hands","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CWorld%2Ebmp","","29.25 x 13 x 8.5""","","Cast bronze","","African American","","Carroll Harris Simms","Gift of the artist, in honor of Rev. Elliott James Mason"
"Large bush cow mask, black and scorched dark patina, broken horns","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5C1054%2Ejpg","","28½"" x 12"" x 10""","","Wood and patina","","Chamba","","Chamba of Nigeria","Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby"
"bush cow, open jaws, asymmetrical eyes, white, black, red polychrome","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CG16%2EJPG","","19 x 6½""","","Wood and pigment","","Chamba","","Chamba people of Nigeria","Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby"
"bush cow, raised cross pattern on forehead, red and white coloration","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CA110%2Ejpg","","20"" x 7""","","wood, polychrome","","Chamba","","Chamba people of Nigeria","Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby"
"Chamba Helmet Mask. Rounded eyes, red dots all over, two projections from forehead and two horns on the top of the head.","","Mask","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSilverman%5CChamba+mask%2Ejpg","","22 x 7""","","Wood","","Chamba","","Chamba people of Nigeria","Gift of Dr. and Mrs. Melvin Silverman"
"Abstract wood carving in teak or mahogany on black wood base.","","Bird (The Penguin)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CBIRD%2EBMP","","overall: 14"" x 6.25"" x 2.25""; base: 2.25"" x 6.25""","","Carved and stained wood","","African American","","Charles Dickson","Gift of T.K. Wang"
"Female figure balanced on proper left leg and arms in dancing motion. Edition 4 of 20. Part of the ""Sisters, Bodies and Spirits"" series.","","Mae","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMae%2Ejpg","","20.5"" H x 8.75"" W x 6.75"" D","","Cast bronze on marble and wood platform","","African American","","Charles Dickson","Museum purchase"
"Triptych portrait of African American womans face; first from left.","","Faces Set #9: Pam Chriswell","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCharles%5FGaines%5CGaines%5FFacesLeft%2Ejpg","","27.5"" H x 23.5"" W","","Gelatin silver print","","African American","","Charles Gaines","Gift of Gary and Tracy Mezzatesta"
