"artist_uri","provenance","object_uri","title","imageURL","birth","death","date","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artist_appellation_uri","name","credit"
"","Robert Reid (purchased from artist)DIA in 1913","","The Miniature","http://www.dia.org/user_area/comping/13.8-S1.jpg","1862","1929","c. 1912","30 x 26 in. (76.2 x 66.0 cm)Framed: 44 1/4 x 39 1/4 x 1 1/2 in.","","Oil on canvas","","Paintings","","American","","Robert Reid","City of Detroit Purchase"
"","Edward C. WalkerDIA in 1913","","The Fencing Master","http://www.dia.org/user_area/comping/13.9-S1.jpg","1860","1932","c. 1900","Framed: 95 1/4 x54 x3 in. ( 241.9 x137.2 x7.6 cm. )Canvas: 81 1/4 x 39 1/2 in. (206.4 x 100.3 cm.)","","Oil on canvas","","Paintings","","American","","Gari Melchers","Gift of Edward Chandler Walker"
"","Jonas LieDIA (City of Detroit purchase, May 22, 1914); purchased directly from the artist.","","Culebra Cut","http://www.dia.org/user_area/comping/14.5.jpg","1880","1940","1913","50 x 60 in. (127.0 x 152.4 cm)Framed: 61 1/8 x 71 1/4 x 1 3/4 in.","","Oil on canvas","","Paintings","","American","","Jonas Lie","City of Detroit Purchase"
"","Sergeant KendallDavid GrayDIA in 1915","","Crosslights","http://www.dia.org/user_area/comping/15.10-D1.jpg","1869","1938","1913","60 x 30 in.  (152.4 x 76.2 cm)                                                  Frame : 65 1/2 x 35 1/2 x 2 1/2 in.","","Oil on canvas","","Paintings","","American","","William Sergeant Kendall","Gift of David Gray"
"","Macbeth Gallery, New YorkDIA in 1915 (purchased with funds provided museum-board member Elliott T. Slocum)","","Refining Oil","http://www.dia.org/user_area/comping/15.11-D1.jpg","1872","1930","c. 1910","40 x 40 in. (101.6 x 101.6 cm)Frame: 49 1/8 x 49 3/8 x 3 1/2 in.","","Oil on canvas","","Paintings","","American","","Charles Webster Hawthorne","Gift of Mr. Elliott T. Slocum"
"","Charles Willis Ward DIA in 1915.","","The White Veil","http://www.dia.org/user_area/comping/15.12.jpg","1858","1925","1909","36 x 36 in.91.4 x 91.4 cmFramed: 49 1/2 x 49 3/8 x 1 7/8 in.with frame: 49 1/2 x 49 3/8 x 1 in.125.6 x 125.4 x 2.5 cm","","Oil on canvas","","Paintings","","American","","Willard Leroy Metcalf","Gift of Charles Willis Ward"
"","Formerly in the collection of:Dexter M. Ferry, Jr., Detroit.Acquired in 1915.","","Western Landscape","http://www.dia.org/user_area/comping/15.14-S1.jpg","1814","1872","c. 1847/1849","18 1/2 x 30 in. (47.0 x 76.2 cm)Frame: 26 3/4 x 38 3/4 x 3 3/4 in.","","Oil on canvas, mounted on Masonite","","Paintings","","American","","John Mix Stanley","Gift of Dexter M. Ferry, Jr."
"","William Merritt ChaseDIA in 1916","","Self Portrait","http://www.dia.org/user_area/comping/16.16.jpg","1849","1916","c. 1914","Framed:  32 9/16 x 28 13/16 x 2 13/16 in.  ( 82.71 x 73.18 x 7.14 cm)24 x 20 in.  (61.0 x 50.8 cm)","","Oil on canvas","","Paintings","","American","","William Merritt Chase","Gift of the artist"
"","Richard Emile MillerWilliam MacBeth (purchased from the artist).Hugo Reisinger, purchased in 1912. DIA in 1916. (purchased from the Reisinger estate through the American Art Galleries, January 1916).","","Summer Reverie","http://www.dia.org/user_area/comping/16.2-S1.jpg","1875","1943","c. 1914","36 x 28 3/4 in. (91.4 x 73.0 cm)Framed: 41 x 33 5/8 x 2 3/4 in.","","Oil on canvas","","Paintings","","American","","Richard Emile Miller","Detroit Museum of Art Purchase, William C. Yawkey Fund"
"","Frank Weston Benson (the artist)DIA in 1916","","My Daughter Elisabeth","http://www.dia.org/user_area/comping/16.31-D1.jpg","1862","1951","c. 1914","44 x 37 in.  (111.8 x 94.0 cm)Framed: 55 3/8 x 44 3/8 x 4 in.","","Oil on canvas","","Paintings","","American","","Frank Weston Benson","Detroit Museum of Art Purchase, Special Membership and Donations Fund with contributions from Philip, David and Paul R. Gray, and their sister Mrs. William R. Kales"
"","Robert SpencerDIA in 1916 with funds provided by Miss Julia E. Peck","","ON THE CANAL, NEW HOPE","http://www.dia.org/user_area/comping/16.34-D1.jpg","1879","1931","1916","30 x 36 in. (76.2 x 91.4 cm)Framed: 38 5/8 x 44 5/8 x 4 1/2 in.","","Oil on canvas","","Paintings","","American","","Robert Spencer","Gift of Miss Julia E. Peck"
"","The artist to Samuel A. Coale until 1881 (listed in 1881 sale catalogue as ""A Venetian Fish Market""). P.A.B. Widener, Philadelphia to Mrs. P.A.B. Widener, Haverford, PA.American Art Association sale purchased by M. Knoedler and Company for the DIADIA in 1916.","","The Yield of the Waters","http://www.dia.org/user_area/comping/16.5-S1.jpg","1849","1916","1878","Framed: 58 x74 x2 in. ( 147.3 x188 x5.1 cm. )Unframed: 49 x 65 in. (124.5 x 165.1 cm)","","Oil on canvas","","Paintings","","American","","William Merritt Chase","City of Detroit Purchase"
"","George Wesley BellowsDIA in 1917 (Purchased from the artist on 6/14/17)","","A Day in June","http://www.dia.org/user_area/comping/17.17-S1.jpg","1882","1925","1913","36 1/2 x 48 in.92.7 x 121.9 cmFramed: 43 3/4 x 56 1/16 x 3 3/8 in.","","Oil on canvas","","Paintings","","American","","George Wesley Bellows","Detroit Museum of Art Purchase, Lizzie Merrill Palmer Fund"
"","Artist's estate, 1908, San Francisco 1916, no. A-4.Pasadena 1917, no. A-4. Mrs. George O. Robinson.  Acquired in 1917.","","The Grand Canyon of the Yellowstone","http://www.dia.org/user_area/comping/17.19-S1.jpg","1829","1908","c. 1884","66 x 92 in. ( 167.64 X 243.84 cm )Frame : 77 1/2 x 102 1/8 x 1 7/8 in","","Oil on canvas","","Paintings","","American","","Thomas Hill","Gift of Mrs. George O. Robinson"
"","James Carroll BeckwithDIA in 1917JAmes Carroll BeckwithDIA in 1917 (Gift of the artist)","","Self Portrait","http://www.dia.org/user_area/comping/17.3-S1.jpg","1852","1917","1898","24 x 19 3/8 in. (61.0 x 49.5 cm)Framed: 29 1/2 x 24 3/4 x 1 5/8 in.","","Oil on canvas","","Paintings","","Welsh","","James Carroll Beckwith","Gift of the artist"
"","Almeda H. Pickering, Los Angeles, California.Acquired in 1917.","","A View of Whiteface Mountain","http://www.dia.org/user_area/comping/17.4-S1.jpg","1836","1892","c. 1883","17 x 14 1/2 in.43.2 x 36.8 cm","","Oil on canvas","","Paintings","","American","","Alexander Helwig Wyant","Bequest of Mrs. Almeda H. Pickering"
"","Purchased from artist in 1918.","","Vineclad Trees","http://www.dia.org/user_area/comping/18.2-D1.jpg","1880","1958","1916","51 3/4 x 56 in. (131.4 x 142.2 cm)Framed dimensions: 60 5/8""h x 64 1/2""w x 3 1/4""d","","Oil on canvas","","Paintings","","American","","Daniel Garber","Detroit Museum of Art Purchase, Lizzie Merrill Palmer Fund"
"","Robert HenriDIA in 1919 (purchased form the artist in October).","","The Young Girl","http://www.dia.org/user_area/comping/19.148-S1.jpg","1865","1929","1915","41 x 33 in.  (104.1 x 83.8 cm)Framed: 48 13/16 x 40 11/16 x 2 7/8 in.","","Oil on canvas","","Paintings","","American","","Robert Cozad Henri","City of Detroit Purchase"
"","Robert HenriDIA in 1919 (purchased from the artist in October).","","The Beach Hat","http://www.dia.org/user_area/comping/19.149-S1.jpg","1865","1929","1914","24 x 20 in. (61.0 x 50.8 cm)Framed: 28 3/8 x 24 7/16 x 3 in.","","Oil on canvas","","Paintings","","American","","Robert Cozad Henri","City of Detroit Purchase"
"","Childe Hassam until 1919.DIA in 1919 (purchased from the artist in March of 1919).","","Surf and Rocks","http://www.dia.org/user_area/comping/19.19-S1.jpg","1859","1935","1906","20 x 30 in. (50.8 x 76.2 cm)Framed: 31 1/4 x 41 3/8 x 2 in.","","Oil on canvas","","Paintings","","American","","Childe Hassam","Founders Society Purchase, Lizzie Merrill Palmer Fund"
"","Frederick Carl FriesekeDIA in 1919","","The Blue Gown","http://www.dia.org/user_area/comping/19.34.jpg","1874","1939","1917","39 x 60 in. (99.1 x 152.4 cm)Framed: 45 x 66 1/8 x 2 3/4 in.","","Oil on canvas","","Paintings","","American","","Frederick Carl Frieseke","Founders Society Purchase, Special Membership and Donations Fund with contributions from Philip, David and Paul R. Gray, and their sister Mrs. William R. Kales"
"","Leon KrollDIA in 1919. (subscription fund and gift from J. J.  Crowley)","","In the Country","http://www.dia.org/user_area/comping/19.35-S1.jpg","1884","1974","1916","46 x 52 in.  (116.8 x 132.1 cm)Framed: 56 3/4 x 62 3/4 x 3 1/2 in.","","Oil on canvas","","Paintings","","American","","Leon Kroll","Founders Society Purchase, Special Membership and Donations Fund with a contribution from Mr. J. J. Crowley"
"","John Singleton CopleyMrs. john Singleton CopleyJohn Singleton Copley, Jr. (Lord Lyndhurst)George Boone Roupell, Charthan Park, near East Grinstead, EnglandBrigadier George R.P. Roupell, Little Chartham, Shalfors, Surrey, England,Sale, Sotheby's, London, November 21, 1979, lot 120H. Schickman Gallery, New YorkDIA in 1983","","George Boone Roupell","http://www.dia.org/user_area/comping/1983.23-S1.jpg","1738","1815","1779/1780","Framed: 96 x 66 1/2 x 5 7/8 in. (243.84 x 168.91 x 14.92 cm)84 1/16 x 54 in.213 x 137 cm","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Founders Society Purchase, Robert H. Tannahill Foundation Fund"
"","Henry Siddons Mowbray to Thomas B. Clark, New York, by February 1889;Miss Grace Hearn, by 1897;Private collection, New Jersey, before 1980;  Jordan Volpe Gallery, New York, 1980; Grand Central Art Galleries, New York, 1980; Mr. and Mrs. Haig Tashjian, before 1982; Joan Michelman, Ltd., 1984DIA in 1984 ","","The Calenders","http://www.dia.org/user_area/comping/1984.24-S1.jpg","1858","1928","1889","Framed: 22 5/8 x 31 1/2 x 3 3/16 in. (57.47 x 80.01 x 8.10 cm)9 1/4 x 18 1/8 in.23.5 x 46.0 cm","","Oil on canvas","","Paintings","","American","","Henry Siddons Mowbray","Founders Society Purchase, Beatrice W. Rogers Fund"
"","Henry D. Shelden, Sr; Allan Shelden III Mrs. Allan Shelden III, Detroit.Acquired by bequest in 1985.","","Mrs. Allan Shelden","http://www.dia.org/user_area/comping/1985.27-S1.jpg","1824","1906","1885","36 3/8 x 30 1/4 in. (92..4 x 78.1 cm)Framed: 46 7/8 x 41 1/2 x 4 in.","","Oil on canvas","","Paintings","","American","","Eastman Johnson","Bequest of Mrs. Allan Shelden III"
"","Mary CassattThrough the Family of Alexander CassattRobert Cassatt.  Alexander Cassatt (the sitter's great-grandson). DI A in 1986 ","","Alexander J. Cassatt","http://www.dia.org/user_area/comping/1986.60.jpg","1844","1926","c. 1880","25 3/4 x 36 3/8 in.  (65.4 x 92.4 cm)Framed: 35 1/8 x 45 3/4 x 2 1/4 in.","","Oil on canvas","","Paintings","","American","","Mary Cassatt","Founders Society Purchase, Robert H. Tannahill Foundation Fund"
"","Formerly in the collection of: Mrs. Gordon V. K. Reid ","","Julia A. M. Peck","http://www.dia.org/user_area/comping/1987.33.jpg","","","1838","Framed: 31 1/2 x 26 3/8 x 1 3/4 in. (80.01 x 66.99 x 4.45 cm)30 x 24 7/8 in.76.2 x 63.2 cm","","Oil on canvas","","Paintings","","American","","John Wilkie","Gift of Betsey Mast Reid in memory of her aunt, Jane Betsey Welling"
"","Stanford White.  Associate of Stanford White.Descendant of August Belmont.George Guerry, 1962.Mr. and Mrs. George J. Arden, New York, 1968-87.Berry-Hill Galleries, New York, 1987.DIA in 1991.","","Irises and Calla Lilies","http://www.dia.org/user_area/comping/1991.112.jpg","1845","1927","c. 1890/1905","Framed: 21.34 x 18 3/4 x 1 15/16 in. (55.25 x 47.63 x 4.92 cm)16 1/2 x 13 1/2 in.41.9 x 34.3 cm","","Oil on panel","","Paintings","","American","","Maria Oakey Dewing","Founders Society Purchase, Dexter M. Ferry Jr. Fund"
"","Kidde Family, Chappaqua, New York, 1930; Babcock Galleries, New York, 1932; Milch Galleries, New York, by 1932; Stuart Pivar, New York, by 1987; Jordan-Volpe Galleries, New York, 1987-1992; DIA in 1992.","","Seated Nude","http://www.dia.org/user_area/comping/1992.41-S1.jpg","1848","1919","c. 1879","34 1/16 x 26  1/2 in.86.4 x 67.3 cmFramed: 43 7/16 x 35 5/8 x 2 3/4 in.","","Oil on canvas","","Paintings","","American","","Frank Decker Duveneck","Founders Society Purchase, Robert H. Tannahill Foundation Fund"
"","John Singer Sargent; to sister Emily Sargent until 1936;Emily Sargent to sister Violet (Mrs. Francis Ormond) until ca. 1948;Violet to son Henri Eric Conrad Ormond until 1979;Henri Eric Conrad to his son, John Ormond, until ca. 1993;to Coe Kerr Gallery, New York;to DIA in 1993. ","","Mosquito Nets","http://www.dia.org/user_area/comping/1993.18.jpg","1856","1925","1908","22 1/2 x 28 1/4 in.57.2 x 71.8 cmFramed: 36 1/4 x 42 1/8 x 2 5/8 in.","","Oil on canvas","","Paintings","","American","","John Singer Sargent","Founders Society Purchase, Robert H. Tannahill Foundation Fund, General Membership Fund, Gibbs-Williams Fund, Laura H. Murphy Fund, Dexter M. Ferry Jr. Fund, Elizabeth P. Kirby Fund, Elizabeth and Allen Shelden Fund, Merill Fund; gifts from Charles Willis Ward, Mrs. Gustavus D. Pope, Kate Minor, Newhouse Galleries, Miss Julia E.Peck, Detroit and Wayne County Tuberculosis Foundation, Anonymous Donor, Paul H. Townsend, Mrs. John L. Gardner, City of Detroit, Elizabeth Hughes Gossett, Mrs. George Kamperman, Mrs. Theodore Chapin Beebe, Recess Club, Mrs. Benjamin Goldberg, Mr. and Mrs. James O. Keene, Mrs. Mathias J. Alten, Mrs. Arthur McGraw, Mrs. E. Murray McKay, Mr. David Gray, Percy K. Loud, Mrs. William T. Barbour, Lawrence A. Fleischman, Mrs. Henry Gallison, Lillian Henkel Haass, Archives of American Art, Mr. Phillip Gray, Mrs. William R. Kales, Mr. and Mrs Harold O. Love, Mrs. George Hendrie, Mrs. Walter Shirlaw, Harrington Fitzgerald, Mrs. Lendall Pitts, Walter Piper, Gilbert M. Frimet, Colonel Frank J. Hecker, Mr. and Mrs. Edgar B. Whitcomb, Mrs. Mary B. Longyear, Edgar P. Richardson, John S. Newberry, Miss Florence Babbit, Margaret C. Horn, Armand H. Griffith, Mrs. William E. Scripps, Anne Goldthwaite, Miss Euphemia Holden, and Mr. and Mrs. James S. Holden by exchange. "
"","Arlington Art Galleries, Brooklyn.Mack Pratt, Hamilton, Ohio.Private collection, Hamilton, OhioJordan-Volpe Gallery, New York.DIA in 1993.","","Moorish Interior","http://www.dia.org/user_area/comping/1993.20.jpg","1847","1928","c.  1875/1879","Framed: 22 1/8 x 27 11/16 x 3 3/8 in. (56.20 x 70.33 x 8.10 cm)10 5/8 x 16 in.27.0 x 40.6 cm","","Oil on canvas","","Paintings","","American","","Frederick Arthur Bridgman","Founders Society Purchase, Eleanor and Edsel Ford Exhibition and Acquisition Fund"
"","Colonel J. G. Moore, New YorkPrivate collectionsGraham Williford, New YorkJordan-Volpe Gallery, New YorkAcquired in 1994","","Samson","http://www.dia.org/user_area/comping/1994.123.jpg","1836","1923","1886","17 3/4 x 27 1/2 in45.1 x 69.9 cmFramed: 29 3/4 x 37 5/8 x 1 7/8 in.","","Oil on cradled wood panel","","Paintings","","American","","Elihu Vedder","Gift of Dr. and Mrs. Joseph Chazan, Arthur and Joyce Hurvitz, and Irwin and Gloria Sparr in honor of Mr. and Mrs. Richard A. Manoogian"
"","Elihu Vedder, to 1880.Wellesley College, Wellesley, Mass., 1880, gift of Elisha S. ConverseHirschl & Adler Galleries, New YorkAcquired in 1957","","Delilah","http://www.dia.org/user_area/comping/1994.124.jpg","1836","1923","1886","17 3/4 x 27 1/2 in45.1 x 69.9 cmFramed: 29 3/4 x 37 5/8 x 1 7/8 in.","","Oil on cradled wood panel","","Paintings","","American","","Elihu Vedder","Gift of Dr. and Mrs. Joseph Chazan, Arthur and Joyce Hurvitz, and Irwin and Gloria Sparr in honor of Mr. amd Mrs. Richard A. Manoogian"
