"artistURI","objectURI","artworkTitle","birthDate","deathDate","dateOfStartOfCreation","dateOfEndOfCreation","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artistAppellationURI","artistName","creditLine"
"","","Waterlilies","1894","2000","1946","1946","H. 11-1/8, W. 15-1/8 inches (28.3 x 38.4 cm.)","","Watercolor and gouache on paper","","Drawings","","American","","Alfred Levitt","Gift of the artist, 1985"
"","","Boy with Baseball","1866","1933","1925?","1925?","30 x 25 in. (76.2 x 63.5 cm)","","Oil on canvas","","Paintings","","American","","George Luks","The Edward Joseph Gallagher III Memorial Collection, Gift of Edward Joseph Gallagher, Jr., 1954"
"","","The Seven Deadly Sins: Lust","1904","1999","1945","1945","24 1/4 x 11 3/4in. (61.6 x 29.8cm)","","Egg tempera on Masonite","","Paintings","","American","","Paul Cadmus","Gift of Lincoln Kirstein, 1993"
"","","The Cup of Love","1836","1923","1887","1887","12 x 10 in. (25.4 x 30.5 cm)","","Oil on wood","","Paintings","","American","","Elihu Vedder","Gift of Mrs. Harold G. Henderson, 1976"
"","","Riders on the Heath","1856","1925","1868?","1872","8 1/4 x 14 in. (21 x 35.6 cm)","","Watercolor and gouache on off-white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","The Pleiades","1836","1923","1885","1885","24 1/8 x 37 5/8 in. (61.3 x 95.6 cm)","","Oil on canvas","","Paintings","","American","","Elihu Vedder","Gift of George A. Hearn, 1910"
"","","Weather Vanes","1912","2000","1940","1940","H. 13-1/8, W. 10-1/8 inches (33.8 x 25.7 cm.)","","Oil on canvas","","Paintings","","American","","Hananiah Harari","Gift of Murray D. Garson, in memory of Margaret S. Garson, 1981"
"","","Untitled, Number 8","1941","MetDoesntKnow","1987","1987","H. 28, W. 20 inches (71.1 x 50.8 cm.)","","Oil on paper","","Drawings","","American","","Katherine Porter","Gift of Lisa Roumell, 1991"
"","","Sanford Robinson Gifford","1824","1906","1880","1880","26 3/4 x 22 1/8 in. (67.9 x 56.2 cm)","","Oil on academy board","","Paintings","","American","","Eastman Johnson","Gift of Richard Butler, 1888"
"","","Magister","1903","1977","1950","1950","30 x 43 1/4 in. (76.2 x 109.9 cm)","","Oil on canvas","","Paintings","","American","","Victor Candell","Gift of Helen Meredith Norcross, 1955"
"","","The Flower Girl","1786","1863","1846","1846","36 x 28 3/8 in. (91.4 x 72.1 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Charles Cromwell Ingham","Gift of William Church Osborn, 1902"
"","","Just Love","1945","2012","1986","1986","H. 112, W. 89 inches (284.5 x 226.1 cm.)","","Oil on canvas","","Paintings","","American","","Frederick J. Brown","Gift of Mr. and Mrs. Joel Mallin, 1987"
"","","Untitled","1910","1962","1952","1952","53 3/8 x 68 in. (135.6 x 172.7 cm)","","Enamel on canvas","","Paintings","","American","","Franz Kline","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
"","","Erie Underpass","1893","1952","1949","1949","H. 28, W. 36 inches (71.1 x 91.5 cm.)","","Oil on canvas","","Paintings","","American","","Niles Spencer","Arthur Hoppock Hearn Fund, 1950"
"","","Fleeting Time Thou Hast Left Me Old","1897","1983","1928","1929","H. 30-1/4, W. 20-1/4 inches (76.8 x 51.4 cm.)","","Oil on canvas","","Paintings","","American","","Ivan Albright","George A. Hearn Fund, 1950"
"","","Egyptian Woman with Earrings","1856","1925","1890","1891","28 x 24 1/2 in. (53.3 x 64.1 cm)","","Oil on canvas","","Paintings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Design for 4 seat Phaeton, no top, no. 936","MetDoesntKnow","MetDoesntKnow","1850","1870","sheet: 6 3/16 x 8 5/8 in. (15.7 x 21.9 cm)","","Graphite, pen and black ink, watercolor and guache with gum arabic","","Drawings","","American","","Brewster","Gift of William Brewster, 1923"
"","","Edward Joseph Gallagher III","1927","MetDoesntKnow","1956","1957","H. 48, W. 34 inches (121.9 x 86.4 cm.)","","Oil on canvas","","Paintings","","American","","Nancy Ellen Craig","The Edward Joseph Gallagher III Memorial Collection, Gift of Edward J. Gallagher, Jr., 1957"
"","","Morning Becomes Elektra","1957","MetDoesntKnow","1984","1984","H. 59, W. 73 inches (149.9 x 105.4 cm.)","","Oil on Masonite","","Paintings","","American","","Kevin Moss","Edith C. Blum Fund,1985"
"","","Four Bathers","1937","1966","1961?","1962","H. 23-1/2, W. 20 inches (59.7 x 50.8 cm.)","","Oil on wood","","Paintings","","American","","Bob Thompson","Gift of Patricia and Francis Mason, 1986"
"","","The Marquis de Lafayette","1778","1860","1825","1825","34 1/2 x 27 3/8 in. (87.6 x 69.5 cm)","","Oil on canvas","","Paintings","","American","","Rembrandt Peale","Rogers Fund, 1921"
"","","Heart On","1940","MetDoesntKnow","1975","1975","H. 72, W. 96 inches (182.9 x 243.8 cm.)","","Oil, acrylic, paper, fabric, cheesecloth, papier mach�, mattress batting, and thread on canvas","","Paintings","","American","","Joan Snyder","Gift of Mr. and Mrs. Donald Rugoff, 1981"
"","","James Badger","1708","1765","1760","1760","42 1/2 x 33 1/8 in. (108 x 84.1 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Joseph Badger","Rogers Fund, 1929"
"","","Windflowers","1858","1916","1912","1912","30 x 36 in. (76.2 x 91.4 cm)","","Oil on canvas","","Paintings","","American","","Ruger Donoho","Rogers Fund, 1917"
"","","Christ and Two Disciples on the Road to Emmaus (from Sketchbook)","1834","1903","1854","1855","3 7/8 x 3 1/2 in. (9.8 x 8.9 cm)","","Brown ink, white gouache and graphite on brown wove paper","","Drawings","","American","","James McNeill Whistler","Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970"
"","","Melon","1910","1981","1962","1962","H. 13 1/4 x W. 16 1/4 in. (33.7 x 41.3 cm)","","Oil on canvas","","Paintings","","American","","Joseph Hirsch","Gift of Rita and Daniel Fraad, 1978"
"","","Portrait of a Gentleman","1749","1831","1794","1794","2 1/4 x 1 3/4 in. (5.8 x 4.6 cm)","","Watercolor on ivory","","Paintings","","American","","James Peale","Gift of Gloria Manney, 2006"
"","","14th Street Theatre","1901","1986","1940?","1940?","H. 17-1/3, W. 22 inches (44.2 x 55.9 cm.)","","Gouache on paper","","Drawings","","American","","Perkins Harnly","Gift of New York City W. P. A., 1943"
"","","The Fable of the Miller, His Son, and the Donkey","1836","1923","1867?","1868","6 1/2 x 10 3/4 in. (16.5 x 27.3 cm)","","Oil on canvas","","Paintings","","American","","Elihu Vedder","Gift of John V. and Enza Tomassi Kiskis, 1992"
"","","Athletic Contest","1881","1961","1915","1915","H. 40-1/2, W. 55-1/4 inches (102. 9 x 140.3 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Max Weber","George A. Hearn Fund, 1967"
"","","Bessie Potter","1849","1916","1895?","1895?","32 x 25 5/8 in. (81.3 x 65.1 cm)","","Oil on canvas","","Paintings","","American","","William Merritt Chase","Bequest of Bessie Potter Vonnoh Keyes, 1954"
"","","In the City III","1941","MetDoesntKnow","1984","1984","H. 40, W. 35 inches (101.6 x 88.9 cm.)","","Oil and wood on canvas","","Paintings","","American","","George Peck","Edith C. Blum Fund, 1985"
"","","James O. Owens","1807","1893","1832","1832","2 5/16 x 1 7/8 in. (5.9 x 4.8 cm)","","Watercolor on ivory in gilded copper locket; hair reserve verso","","Paintings","","MetDoesntKnow","","John Wood Dodge","Dale T. Johnson Fund, 2006"
"","","Study for Four Seasons","1941","MetDoesntKnow","1974","1974","21 3/4 x 29 1/4 in. (55.2 x 74.3 cm)","","Oil on paper","","Drawings","","American","","David Novros","Gift of The Mercer Trust, John B. Elliot Collection, 2002"
"","","Nude","1884","1974","1933","1934","H. 48, W. 36 inches (121.9 x 91.5 cm.)","","Oil on canvas","","Paintings","","American","","Leon Kroll","Arthur Hoppock Hearn Fund, 1949"
"","","Clouds and Water","1880","1946","1930","1930","29 5/8 x 39 5/8 in. (75.2 x 100.6 cm)","","Oil on canvas, with selective varnish","","Paintings","","American","","Arthur Dove","Alfred Stieglitz Collection, 1949"
"","","Faded Poppy","1924","1975","1970","1972","H. 27-15/16, W. 21-13/16 inches (68.4 x 55.5 cm.)","","Oil on Masonite","","Paintings","","American","","Gandy Brodie","George A. Hearn Fund, 1974"
"","","The Falls of Niagara","1780","1849","1825?","1825?","31 1/2 x 38 in. (80 x 96.5 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Edward Hicks","Gift of Edgar William and Bernice Chrysler Garbisch, 1962"
"","","Sellar Alp, Dolomites","1856","1925","1913?","1914","10 x 14 in. (25.4 x 35.6 cm)","","Watercolor and gouache on white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Stephen Hooper","1749","1806","1773","1773","1 13/16 x 1 7/16 in. (4.6 x 3.7 cm)","","Watercolor on ivory in gold locket","","Paintings","","MetDoesntKnow","","Henry Pelham","Fletcher Fund, 1925"
"","","Design for a window","1848","1933","late19th","early20thcentury","Overall: 27 15/16 x 21 15/16 in. (71 x 55.7 cm)","","Watercolor, gouache, and graphite on cut white wove paper trimmed into shapes","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Flower Castle","1942","1994","1977","1977","6 5/8 x 4 5/8 in. (16.8 x 11.7 cm)","","Cut and pasted printed papers, ink, and gouache on paper, mounted on paper board","","Drawings","","American","","Joe Brainard","Gift of Stanley Posthorn, in memory of the artist, 1997"
"","","Nocturne","1877","1946","1928","1928","H. 25-1/2, W. 32-1/4 inches (64.8 x 81.9 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Joseph Stella","Gift of Carl D. Lobell, 1996"
"","","Dressing for the Carnival","1836","1910","1877","1877","20 x 30in. (50.8 x 76.2cm) Framed: 31 9/16 � 41 1/2 � 5 7/8 in. (80.1 � 105.4 � 14.9 cm)","","Oil on canvas","","Paintings","","American","","Winslow Homer","Amelia B. Lazarus Fund, 1922"
"","","[Shack with Broken Windows]","1903","1975","1950s","1960s","47.6 x 40.0 cm (18 3/4 x 15 3/4 in. )","","Tempera on paper","","Paintings","","American","","Walker Evans","Walker Evans Archive, 1994"
"","","Lizzie at the Table","1907","1975","1958","1958","H. 36-1/2, W. 45-1/2 inches (92.7 x 115.6 cm.)","","Oil on canvas","","Paintings","","American","","Fairfield Porter","Bequest of Arthur M. Bullowa, 1993"
"","","Frame Extension","1922","2007","1966","1966","H. 116, W. 96 inches (249.6 x 243.8 cm.)","","Acrylic on canvas","","Paintings","","MetDoesntKnow","","Jules Olitski","Arthur Hoppock Hearn Fund, 1975"
"","","Expressman","1894","1978","1924","1924","H. 29-3/4, W. 23-1/2 inches (75.6 x 59.7 cm.)","","Oil on Masonite","","Paintings","","American","","Norman Rockwell","Gift of Continental Group, 1981"
"","","Deep Lake, Canada","1883","1962","1933","1933","27 x 35in. (68.6 x 88.9cm) 33 x 41 x 2 in. (83.8 x 104.1 x 5.1 cm) (Frame)","","Oil on canvas","","Paintings","","American","","Eugene Speicher","George A. Hearn Fund, 1934"
"","","Easter Monday","1904","1997","1955","1956","96 x 74in. (243.8 x 188cm) 99 1/4 x 76 1/4 x 3 3/8 in. (252.1 x 193.7 x 8.6 cm) (Frame)","","Oil and newspaper transfer on canvas","","Paintings","","MetDoesntKnow","","Willem de Kooning","Rogers Fund, 1956"
"","","Albert Pinkham Ryder","1877","1943","1938","1938","H. 28, W. 22 inches (71.1 x 55.9 cm.)","","Oil on Masonite","","Paintings","","American","","Marsden Hartley","Edith and Milton Lowenthal Collection, Bequest of Edith Abrahamson Lowenthal, 1991"
"","","Design for mosaic tablet behind an altar","1848","1933","late19th","early20thcentury","Overall: 26 1/8 x 33 1/8 in. (66.4 x 84.1 cm) Design: 19 x 28 3/4 in. (48.3 x 73 cm)","","Watercolor, white gouache, black ink, and graphite on paper mounted on board in original shaped mat","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Harmony in Yellow and Gold: The Gold Girl�Connie Gilchrist","1834","1903","1876?","1877","85 3/4 x 43 1/8 in. (217.8 x 109.5 cm)","","Oil on canvas","","Paintings","","American","","James McNeill Whistler","Gift of George A. Hearn, 1911"
"","","Matthew Clarkson","1783","1861","1823","1823","33 x 25 5/8 in. (83.8 x 65.1 cm)","","Oil on wood","","Paintings","","MetDoesntKnow","","Samuel Lovett Waldo","Gift of Mr. and Mrs. William A. Moore, 1923"
"","","Kitzker","1910","1962","1946?","1946?","H. 19, W. 27 inches (48.3 x 68.6 cm)","","Oil on canvas","","Paintings","","American","","Franz Kline","Gift of Rufus F. Zogbaum, 1998"
"","","East River","1916","1992","1939","1939","36-1/2 x 48-1/2 inches (92.7 x 123.2 cm.)","","Oil on Masonite","","Paintings","","American","","Richard Pousette-Dart","Gift of The Estate of Richard Pousette-Dart, in memory of William S. Lieberman, 2005"
"","","East River","1884","1930","1913","1914","H. 30-1/8, W. 34-1/8 in. (76.5 x 86.7 cm)","","Oil on canvas","","Paintings","","American","","Samuel Halpert","Gift of Dr. Wesley and Mrs. Carolyn M. Halpert, in honor of Olga Raggio, 1999"
"","","Untitled","1950","MetDoesntKnow","1986","1986","H. 27-1/2, W. 30 inches (69.9 x 76.2 cm.)","","Oil on wood","","Paintings","","American","","Royce Howes","Edith C. Blum Fund, 1986"
"","","Woman","1904","1997","1966","1966","H. 38, W. 23-3/4 inches (96.5 x 60.3 cm.)","","Oil on paper, mounted on cardboard","","Paintings","","MetDoesntKnow","","Willem de Kooning","Gift of Longview Foundation, Inc., in memory of Audrey Stern Hess, 1975"
"","","Ivory-billed Woodpeckers","1808","1889","1830?","1831","39 1/4 x 26 1/4 in. (99.7 x 66.7 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Joseph Bartholomew Kidd","Rogers Fund, 1941"
"","","Portrait of a Man","1783","1861","1820?","1820?","30 1/8 x 25 1/8 in. (76.5 x 63.8 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Samuel Lovett Waldo","Gift of George H. Story, 1906"
"","","The Baker's Wagon","1800?","1880","1870s","1870s","6 1/8 x 9 1/4 in. (15.6 x 23.5 cm)","","Oil on slate paper","","Paintings","","American","","William P. Chappel","The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
"","","The Passing of Summer","1857","1940","1912","1912","36 3/16 x 30 in. (91.9 x 76.2 cm)","","Oil on canvas","","Paintings","","American","","Harry W. Watrous","George A. Hearn Fund, 1912"
"","","Firemen's Washing Day","1800?","1880","1870s","1870s","6 x 9 1/8 in. (15.2 x 23.2 cm)","","Oil on slate paper","","Paintings","","American","","William P. Chappel","The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
"","","Cat and Cone","1942","1994","1976","1976","H. 6, W. 4 inches (15.2 x 10.2 cm.)","","Cut and pasted printed and painted papers, and gouache on paper","","Drawings","","American","","Joe Brainard","Gift of Stanley Posthorn, in memory of the artist, 1997"
"","","Jerry on a Stool","1907","1975","1957","1957","H. 38, W. 20-1/2 inches (96.5 x 52.1 cm.)","","Oil on canvas","","Paintings","","American","","Fairfield Porter","Bequest of Arthur M. Bullowa, 1993"
"","","The Bowery","1898","1954","1930","1930","48 x 36in. (121.9 x 91.4cm)","","Tempera on Masonite","","Paintings","","American","","Reginald Marsh","Arthur Hoppock Hearn Fund, 1932"
"","","Stepping Out","1923","1997","1978","1978","86 x 70 in. (218.4 x 177.8 cm)","","Oil and Magna on canvas","","Paintings","","American","","Roy Lichtenstein","Purchase, Lila Acheson Wallace Gift, Arthur Hoppock Hearn Fund, Arthur Lejwa Fund, in honor of Jean Arp; and The Bernhill Fund, Joseph H. Hazen Foundation Inc., Samuel I. Newhouse Foundation Inc., Walter Bareiss, Marie Bannon McHenry, Louise Smith, and Stephen C. Swid Gifts, 1980"
"","","Mrs. Jacob Motte (Rebecca Brewton)","1716","1774","1758?","1758?","1 3/8 x 1 1/4 in. (3.5 x 3.2 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","Jeremiah Theus","Purchase, Bequest of Edgar William and Bernice Chrysler Garbisch, by exchange, 1997"
"","","Carolyn Mishner","1794","1868?","1825?","1825?","2 1/2 x 2 1/16 in. (6.2 x 5.2 cm)","","Watercolor on ivory in rolled gold, chased and cast gilt metal locket with beaded front and rear bezels; hair in verso reserve","","Paintings","","MetDoesntKnow","","Hugh Bridport","Purchase, Gift of Martin Birnbaum, by exchange, 1985"
"","","The City","1895","1977","1955","1956","H. 30-1/4, W. 29 inches (76.8 x 73.7 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Joseph Floch","Hugo Kastor Fund, 1956"
"","","Blue Nude","1885","1965","1947","1947","H. 40, W. 65 inches (101.6 x 165.1 cm.)","","Oil on canvas","","Paintings","","American","","Milton Avery","Gift of The Woodward Foundation, 1976"
"","","Mrs. Edward Kellogg","1783","1861","1831","1832","33 3/8 x 25 3/8 in. (84.8 x 64.5 cm)","","Oil on wood","","Paintings","","MetDoesntKnow","","Samuel Lovett Waldo","Gift of Mrs. Mary E. Kellogg Putnam, 1899"
"","","Sator Arepo Tenet Opera Rotas","1942","MetDoesntKnow","1982","1982","H. 89, W. 84 inches (226.1 x 213.4 cm.)","","Oil on canvas","","Paintings","","American","","Gary Stephan","Purchase, George A. Hearn Fund and Mr. and Mrs. Eugene M. Schwartz Gift, 1982"
"","","Mona Lisa","1928","1987","1963","1963","H. 44, W. 29 inches (111.8 x 73.7 cm)","","Acrylic and silkscreen on canvas","","Natural Substances","","American","","Andy Warhol","Gift of Henry Geldzahler, 1965"
"","","Waldron Williams","1883","1962","1913","1913","H. 43, W. 35 inches (109.2 x 88.9 cm.)","","Oil on canvas","","Paintings","","American","","Eugene Speicher","Gift of Mrs. John T. Terry, 1970"
"","","Design for Angel of Faith window","1858","1932","1896?","1896?","Overall: 14 1/4 x 8 in. (36.2 x 20.3 cm) Other (Design): 7 3/8 x 2 11/16 in. (18.7 x 6.8 cm)","","Watercolor and gouache on paper mounted on board","","Drawings","","MetDoesntKnow","","Frederick Wilson 1858-1932","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Self-Portrait","1908","1984","1929?","1929?","30 1/2 x 32 1/2in. (77.5 x 82.6cm) 34 1/8 x 36 1/8 x 2 1/8 in. (86.7 x 91.8 x 5.4 cm) (Frame)","","Oil on canvas","","Paintings","","American","","Lee Krasner","Gift of Eda Mirsky Mann, 1988"
"","","George Washington","1755","1828","1798?","1800","29 x 23 3/4 in. (73.7 x 60.3 cm)","","Oil on canvas","","Paintings","","American","","Gilbert Stuart","Bequest of Richard De Wolfe Brixey, 1943"
