"Artist_uri","Object_URI","Label_on_page","origin","title","image_url","dates","birth_year","death_year","dimension","technique_uri","technique","label_type_uri","origin_type_uri","nationality_uri","nationality","Artist_appellation_uri","name","credit_line"
"","","Homer's painting cleverly refers to the rising American temperance movement, a crusade against drinking alcohol, by depicting a stout milkmaid pausing while a farmhand drinks from her ladle. Swaying under the weight of her pail and squinting into the sun, she presents the ideal of natural womanhood. Her powerful presence, marked by broad shoulders, muscular arms, and sunburned skin, counters the farmhand's relaxed stance and shaded face, visually reversing traditional gender roles. Far from flirting, the two figures awkwardly avoid each other's gaze, modeling rural wholesomeness and rectitude.","Made in United States, North and Central America","A Temperance Meeting","http://www.philamuseum.org/images/cad/large/1956-118-1-CX.jpg","1874","","","20 3/8 x 30 1/8 inches (51.8 x 76.5 cm)","","Oil on canvas","","","","American","","Winslow Homer","Purchased with the John Howard McFadden, Jr., Fund, 1956"
"","","Henry Benbridge's scene, which derives from the Greek epic tradition on the Trojan War, is one of the most baroque compositions painted in the Delaware Valley during the eighteenth century. The painting is a copy, in reverse, of a tapestry design by Peter Paul Rubens (Flemish, 1577-1640). In the painting, Achilles has been disguised as a woman and hidden among the daughters of King Lycomedes at the behest of his mother, who knows that he is fated to die if he goes to Troy. Achilles betrays himself by showing too much interest in a helmet and becomes one of Greece's great warriors.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Achilles among the Daughters of Lycomedes","http://www.philamuseum.org/images/cad/large/1990-88-1.jpg","c. 1758-64","","","26 1/4 x 42 1/4 inches (66.7 x 107.3 cm)","","Oil on canvas","","","","American","","Henry Benbridge","Purchased with the J. Stogdell Stokes Fund, the Edith H. Bell Fund, and the Katharine Levin Farrell Fund, 1990"
"","","Most of Eakins's paintings after 1886 were portraits, but he returned to sporting subjects in the late 1890s with a series that he began after attending professional boxing matches at the Philadelphia Arena (then located at the intersection of Broad and Cherry Streets, diagonally across from the Pennsylvania Academy of the Fine Arts). The resulting canvases were as revolutionary in their subject matter as his rowing scenes had been more than two decades earlier.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Between Rounds","http://www.philamuseum.org/images/cad/large/1929-184-16after-CX.jpg","1898-99","","","50 1/8 x 39 7/8 inches (127.3 x 101.3 cm)","","Oil on canvas","","","","American","","Thomas Eakins","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929"
"","","Renowned artist Winslow Homer was an avid sportsman and his outdoor subjects reflect an unsentimental view of the conflict between man and nature. In this scene set in the Adirondack region of New York State, earthen colors link the hunter and the environment, making it difficult to distinguish the man from the hill behind him. Homer visited the Adirondacks as one of many vacationers who flocked there in the late nineteenth century. The huntsman in Homers painting is not a visitor but rather a local trapper or guide who has caught a deer and is carrying off its pelt, antlers, and, likely, a pack full of meat.","Made in United States, North and Central America","A Huntsman and Dogs","http://www.philamuseum.org/images/cad/large/E1924-3-8-CX.jpg","1891","","","28 1/8 x 48 inches (71.4 x 121.9 cm)
Framed: 37 x 57 inches (94 x 144.8 cm)","","Oil on canvas","","","","American","","Winslow Homer","The William L. Elkins Collection, 1924"
"","","","Made in United States, North and Central America","A Coming Storm","http://www.philamuseum.org/images/cad/large/2004-115-1-pma.jpg","1863, retouched and redated in 1880","","","28 x 42 inches (71.1 x 106.7 cm)","","Oil on canvas","","","","American","","Sanford Gifford","125th Anniversary Acquisition. Gift of the McNeil Americana Collection, 2004"
"","","Philadelphia art critic Christian Brinton---who donated his extensive collection of modern paintings, sculptures, graphic arts, costumes, and textiles to the Philadelphia Museum of Art in 1941---was a major advocate of Philadelphia-area artists. Impressed by Horace Pippin's contributions to the annual open exhibition at the West Chester Art Association in 1937, Brinton organized a solo exhibition of Pippin's work, which propelled the artist from relative obscurity to national fame. Shortly thereafter, Pippin painted this portrait, an example of his distinctive ability to combine the navet of self-taught art with modern painting techniques.","Made in United States, North and Central America","A Chester County Art Critic (Portrait of Christian Brinton)","http://www.philamuseum.org/images/cad/large/1941-79-139.jpg","1940","","","21 1/2 x 15 7/8 inches (54.6 x 40.3 cm)","","Oil on canvas","","","","American","","Horace Pippin","Gift of Christian Brinton, 1941"
"","","Most of Eakins's paintings after 1886 were portraits, but he returned to sporting subjects in the late 1890s with a series that he began after attending professional boxing matches at the Philadelphia Arena (then located at the intersection of Broad and Cherry Streets, diagonally across from the Pennsylvania Academy of the Fine Arts). The resulting canvases were as revolutionary in their subject matter as his rowing scenes had been more than two decades earlier.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Between Rounds","http://www.philamuseum.org/images/cad/large/1929-184-16after-CX.jpg","1898-99","","","50 1/8 x 39 7/8 inches (127.3 x 101.3 cm)","","Oil on canvas","","","","American","","Thomas Eakins","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Bertrand Gardel (Sketch for ""The Chess Players"")","http://www.philamuseum.org/images/cad/large/1930-32-6.jpg","Sketch for the painting in the Metropolitan Museum of Art, New York (81.14)","","","","","Thomas Eakins, American, 1844 - 1916","","","","","","c. 1875","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1930"
"","","","Made in Toledo, Ohio, United States, North and Central America","""Classic Crystal"" Glasses","http://www.philamuseum.org/images/cad/large/1982-151-1--5.jpg","Designed 1949","","","Jigger [1982-151-1] height: 2 1/4 inches (5.7 cm)
Old-Fashioned [1982-151-2] height: 3 3/8 inches (8.6 cm)
Collins [1982-151-3] height: 4 3/4 inches (12.1 cm)
Iced Tea [1982-151-4] height: 5 1/4 inches (13.3 cm)
Cooler [1982-151-5] height: 6 inches (15.2 cm)","","Glass","","","","American","","Designed by Freda Diamond","Gift of Libbey Glass Company, 1982"
"","","","Made in United States, North and Central America","Baptism (Church Interior)","http://www.philamuseum.org/images/cad/large/1946-5-1-nyd.jpg","c. 1900","","","43 1/2 x 33 3/16 inches (110.5 x 84.3 cm)","","Oil on canvas","","","","American","","Julius Gari Melchers","The Alex Simpson, Jr., Collection, 1946"
"","","","Made in United States, North and Central America","Antrim Coastline","http://www.philamuseum.org/images/cad/large/2008-124-2-pma.jpg","1901","","","20 x 30 inches (50.8 x 76.2 cm)","","Oil on canvas","","","","American","","Warren Sheppard","Gift of Marguerite and Gerry Lenfest, 2008"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Fairmount Park (Sketch for ""The Fairman Rogers Four-in-Hand"")","http://www.philamuseum.org/images/cad/large/1930-32-10.jpg","Color samples for The Fairman Rogers Four-in-Hand (Philadelphia Museum of Art, 1930-105-1) are on reverse","","","","","Thomas Eakins, American, 1844 - 1916","","","","","","c. 1879-80","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1930"
"","","","Made in United States, North and Central America","Cranberry Pickers","http://www.philamuseum.org/images/cad/large/1974-229-1.jpg","c. 1879","","","13 15/16 x 17 1/2inches (35.4 x 44.4cm)","","Oil on cardboard","","","","American","","Eastman Johnson","Gift of Mr. and Mrs. Arthur U. Crosby, 1974"
"","","","Made in United States, North and Central America","Turning Out the Light","http://www.philamuseum.org/images/cad/large/1959-35-59crop.jpg","1905","","","Plate: 5 x 7 inches (12.7 x 17.8 cm)
Sheet: 11 7/8 x 15 1/4 inches (30.2 x 38.7 cm)","","Etching","","","","American","","John Sloan","Gift of Alice Newton Osborn, 1959"
"","","","Made in United States, North and Central America","Annette Savage and her daughters, Charlotte & Pauline","http://www.philamuseum.org/images/cad/large/1965-48-1.jpg","1823","","","66 3/8 x 50 1/4 inches (168.6 x 127.6 cm)","","Oil on canvas","","","","American","","Bass Otis","Purchased with the Edgar Viguers Seeler Fund, 1965"
"","","Most of Eakins's paintings after 1886 were portraits, but he returned to sporting subjects in the late 1890s with a series that he began after attending professional boxing matches at the Philadelphia Arena (then located at the intersection of Broad and Cherry Streets, diagonally across from the Pennsylvania Academy of the Fine Arts). The resulting canvases were as revolutionary in their subject matter as his rowing scenes had been more than two decades earlier.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Between Rounds","http://www.philamuseum.org/images/cad/large/1929-184-16after-CX.jpg","1898-99","","","50 1/8 x 39 7/8 inches (127.3 x 101.3 cm)","","Oil on canvas","","","","American","","Thomas Eakins","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929"
"","","The figures in this meticulously executed scene respond with a variety of emotions to a plan by Petruchio to subdue his argumentative new wife. Proclaiming that her new dress is not good enough, he threatens the tailor. Katharina's atypical composure suggests Petruchio's success in ""taming"" her temper. Best known for biblical history pictures, romantic portraits, and landscapes, Allston was also a poet and novelist. His interest in Shakespeare undoubtedly was stimulated by his close friendship with Shakespearean scholar Samuel Taylor Coleridge. Not long before this picture was painted, the two men had toured Italy, where Allston learned to emulate the lustrous glazes and jewel-like colors of Venetian painting.","Made in United States, North and Central America","Scene from Shakespeare's ""The Taming of the Shrew"" (Katharina and Petruchio)","http://www.philamuseum.org/images/cad/large/1987-8-1.jpg","1809","","","27 3/4 x 30 7/8 inches (70.5 x 78.4 cm)","","Oil on canvas","","","","American","","Washington Allston","Purchased with the Edith H. Bell Fund and the J. Stogdell Stokes Fund, 1987"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Mrs. Cadwalader Morris (Ann Strettell)","http://www.philamuseum.org/images/cad/large/1991-76-2-ov.jpg","c. 1779","","","1 1/4 x 1 1/8 inches (3.2 x 2.9 cm)","","Watercolor on ivory, gold frame","","","","American","","Attributed to Henry Benbridge","Anonymous gift in memory of Elizabeth Wheatley Bendiner, 1991"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Cadwalader Morris (1741 - 1795)","http://www.philamuseum.org/images/cad/large/1991-76-4-ov.jpg","c. 1779","","","1 5/8 x 1 1/4 inches (4.1 x 3.2 cm)","","Watercolor on ivory, gold frame","","","","American","","Attributed to Henry Benbridge","Anonymous gift in memory of Elizabeth Wheatley Bendiner, 1991"
"","","Enoch Edwards (17511802) was a Philadelphian who trained as a physician and served as a surgeon in the Continental Army (the colonial army formed during the American Revolutionary War). This group portrait commemorates his marriage to the half-sister of Henry Benbridge, who painted the scene. Benbridge depicts himself, along with Dr. Edwardss sister, on the couples left, clothing the bride in a luxurious form of imaginary dress employed by many eighteenth-century artists. Benbridge had traveled to Rome and London to study but returned to his native Philadelphia in 1770. A composition of this type, portraying an informal gathering of family or friends, is called a conversation piece.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Portrait of the Enoch Edwards Family","http://www.philamuseum.org/images/cad/large/1949-53-1-ov.jpg","1779","","","30 x 23 11/16 inches (76.2 x 60.2 cm)","","Oil on canvas","","","","American","","Henry Benbridge","Gift of Miss Fannie Ringgold Carter, 1949"
"","","","Made in United States, North and Central America","A Coming Storm","http://www.philamuseum.org/images/cad/large/2004-115-1-pma.jpg","1863, retouched and redated in 1880","","","28 x 42 inches (71.1 x 106.7 cm)","","Oil on canvas","","","","American","","Sanford Gifford","125th Anniversary Acquisition. Gift of the McNeil Americana Collection, 2004"
"","","Henry Benbridge's scene, which derives from the Greek epic tradition on the Trojan War, is one of the most baroque compositions painted in the Delaware Valley during the eighteenth century. The painting is a copy, in reverse, of a tapestry design by Peter Paul Rubens (Flemish, 1577-1640). In the painting, Achilles has been disguised as a woman and hidden among the daughters of King Lycomedes at the behest of his mother, who knows that he is fated to die if he goes to Troy. Achilles betrays himself by showing too much interest in a helmet and becomes one of Greece's great warriors.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Achilles among the Daughters of Lycomedes","http://www.philamuseum.org/images/cad/large/1990-88-1.jpg","c. 1758-64","","","26 1/4 x 42 1/4 inches (66.7 x 107.3 cm)","","Oil on canvas","","","","American","","Henry Benbridge","Purchased with the J. Stogdell Stokes Fund, the Edith H. Bell Fund, and the Katharine Levin Farrell Fund, 1990"
"","","Philadelphia art critic Christian Brinton---who donated his extensive collection of modern paintings, sculptures, graphic arts, costumes, and textiles to the Philadelphia Museum of Art in 1941---was a major advocate of Philadelphia-area artists. Impressed by Horace Pippin's contributions to the annual open exhibition at the West Chester Art Association in 1937, Brinton organized a solo exhibition of Pippin's work, which propelled the artist from relative obscurity to national fame. Shortly thereafter, Pippin painted this portrait, an example of his distinctive ability to combine the navet of self-taught art with modern painting techniques.","Made in United States, North and Central America","A Chester County Art Critic (Portrait of Christian Brinton)","http://www.philamuseum.org/images/cad/large/1941-79-139.jpg","1940","","","21 1/2 x 15 7/8 inches (54.6 x 40.3 cm)","","Oil on canvas","","","","American","","Horace Pippin","Gift of Christian Brinton, 1941"
"","","Horace Pippin began to paint in earnest in the 1930s, combining the navet of the self-taught artist with an awareness of modern painting styles. World War I, in which he sustained a crippling arm wound, provided a frequent subject for his work, as did childhood memories and religious subjects. Human rights and social issues also often figure in his pictures, but","Made in United States, North and Central America","Mr. Prejudice","http://www.philamuseum.org/images/cad/large/1984-108-1-CX.jpg","1943","","","18 1/8 x 14 1/8 inches (46 x 35.9 cm)","","Oil on canvas","","","","American","","Horace Pippin","Gift of Dr. and Mrs. Matthew T. Moore, 1984"
"","","The dramatic rescue from a foundering ship shown here was made possible by a recent innovation in lifesaving technology, the breeches buoy. Secured firmly to ship and shore, the device permitted the transfer of stranded passengers to safety by means of a pulley that was hauled back and forth by crews at either end. Cropped down to its essentials, Homer's composition thrusts us into the midst of the action with massive waves rolling past, drenching the semiconscious woman and her anonymous savior.","Made in United States, North and Central America","The Life Line","http://www.philamuseum.org/images/cad/large/E1924-4-15v1-pma.jpg","1884","","","28 5/8 x 44 3/4 inches (72.7 x 113.7 cm)","","Oil on canvas","","","","American","","Winslow Homer","The George W. Elkins Collection, 1924"
"","","","Made in Cuba, North and Central America","Street Scene, Santiago de Cuba, 1885","http://www.philamuseum.org/images/cad/large/1939-7-15-pma.jpg","1885","","","Sheet: 12 x 17 11/16 inches (30.5 x 44.9 cm)","","Transparent and opaque watercolor and graphite with scraping on heavy wove paper","","","","American","","Winslow Homer","Gift of Dr. and Mrs. George Woodward, 1939"
"","","","Made in United States, North and Central America","Red-Winged Blackbirds","http://www.philamuseum.org/images/cad/large/1939-7-19.jpg","1886","","","Sheet: 20 x 13 15/16 inches (50.8 x 35.4 cm)","","Transparent and opaque watercolor over traces of graphite with scraping on heavy wove paper","","","","American","","Winslow Homer","Gift of Dr. and Mrs. George Woodward, 1939"
"","","A tiny ship on the horizon is dwarfed by the breakers beating the shoreline near Homers studio in Maine.","Made in Maine, United States, North and Central America","Prout's Neck Surf 1894","http://www.philamuseum.org/images/cad/large/1939-7-6-pma.jpg","1894","","","Sheet: 14 x 21 7/16 inches (35.6 x 54.5 cm)","","Transparent and opaque watercolor over traces of graphite with scraping on heavy wove paper","","","","American","","Winslow Homer","Gift of Dr. and Mrs. George Woodward, 1939"
"","","Transatlantic travel looks like fun in Homers recollection of his own trip to France in 186667. Stylish passengers stroll the deck, read, doze, uncork bottles, and inspect the marine life via telescope, seemingly unfazed by the steep tilt of their vulnerable, wooden world. Employed as an illustrator of topics from modern life, Homer had a sharp eye for fashion, leisure activity, and pretty girls. He envisions a bachelors paradise, where attractive young women abound and flirtatious winds expose a well-turned ankle.","Published in New York City, New York, United States, North and Central America","Homeward-Bound","http://www.philamuseum.org/images/cad/large/2011-177-1-pma.jpg","1867","","","Image: 13 9/16 x 20 3/8 inches (34.4 x 51.8 cm)
Sheet: 15 x 21 7/16 inches (38.1 x 54.5 cm)","","Wood engraving","","","","American","","After Winslow Homer","Purchased with the American Art Revolving Fund, 2011"
"","","","Made in Toledo, Ohio, United States, North and Central America","""Classic Crystal"" Glasses","http://www.philamuseum.org/images/cad/large/1982-151-1--5.jpg","Designed 1949","","","Jigger [1982-151-1] height: 2 1/4 inches (5.7 cm)
Old-Fashioned [1982-151-2] height: 3 3/8 inches (8.6 cm)
Collins [1982-151-3] height: 4 3/4 inches (12.1 cm)
Iced Tea [1982-151-4] height: 5 1/4 inches (13.3 cm)
Cooler [1982-151-5] height: 6 inches (15.2 cm)","","Glass","","","","American","","Designed by Freda Diamond","Gift of Libbey Glass Company, 1982"
"","","","Made in United States, North and Central America","Building a Smudge","http://www.philamuseum.org/images/cad/large/2002-10-1.jpg","1891","","","Sheet: 13 1/2 x 20 5/8 inches (34.3 x 52.4 cm)","","Watercolor over traces of graphite on watercolor paper","","","","American","","Winslow Homer","125th Anniversary Acquisition. Gift of Ann R. Stokes, 2002"
"","","","Made in Cuba, North and Central America","Street Scene, Santiago de Cuba, 1885","http://www.philamuseum.org/images/cad/large/1939-7-15-pma.jpg","1885","","","Sheet: 12 x 17 11/16 inches (30.5 x 44.9 cm)","","Transparent and opaque watercolor and graphite with scraping on heavy wove paper","","","","American","","Winslow Homer","Gift of Dr. and Mrs. George Woodward, 1939"
"","","","Made in Cuba, North and Central America","Fan","http://www.philamuseum.org/images/cad/large/1997-132-24side1-dept.jpg","c. 1876","","","Length: 8 3/4 inches (22.2 cm)","","Printed paper; wooden sticks and guards","","","","CubanorSpanish.LabelHonoreLaine","","Artist/maker unknown","or Spain, Europe"
"","","","Made in Cuba, North and Central America","Fan","http://www.philamuseum.org/images/cad/large/1957-79-21open-dept.jpg","Late 19th century","","","14 x 15 inches (35.6 x 38.1 cm)","","Hand-painted lace with gold appliqué and sequins; gold filigree loop","","","","Havana","","La Industrial Albaniquera","Gift of Mrs. Henry W. Breyer, 1957"
"","","","Made in Cuba, North and Central America","Fan","http://www.philamuseum.org/images/cad/large/1957-79-21open-dept.jpg","Late 19th century","","","14 x 15 inches (35.6 x 38.1 cm)","","Hand-painted lace with gold appliqué and sequins; gold filigree loop","","","","Havana","","La Industrial Albaniquera","Gift of Mrs. Henry W. Breyer, 1957"
"","","","Made in Cuba, North and Central America","Fan","http://www.philamuseum.org/images/cad/large/1997-132-24side1-dept.jpg","c. 1876","","","Length: 8 3/4 inches (22.2 cm)","","Printed paper; wooden sticks and guards","","","","CubanorSpanish.LabelHonoreLaine","","Artist/maker unknown","or Spain, Europe"
"","","","Made in Cuba, North and Central America","Fan","http://www.philamuseum.org/images/cad/large/1957-79-21open-dept.jpg","Late 19th century","","","14 x 15 inches (35.6 x 38.1 cm)","","Hand-painted lace with gold appliqué and sequins; gold filigree loop","","","","Havana","","La Industrial Albaniquera","Gift of Mrs. Henry W. Breyer, 1957"
"","","","Made in Cuba, North and Central America","Street Scene, Santiago de Cuba, 1885","http://www.philamuseum.org/images/cad/large/1939-7-15-pma.jpg","1885","","","Sheet: 12 x 17 11/16 inches (30.5 x 44.9 cm)","","Transparent and opaque watercolor and graphite with scraping on heavy wove paper","","","","American","","Winslow Homer","Gift of Dr. and Mrs. George Woodward, 1939"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Toilet Bottle with Stopper","http://www.philamuseum.org/images/cad/large/1931-55-2aa,ba-ov.jpg","1837","","","7 x 3 7/8 inches (17.8 x 9.9 cm)","","Porcelain with enamel and gilt decoration","","","","Philadelphia","","Made by American Porcelain Company (formerly Tucker Factory)","Gift of Eliza Amanda Tucker in memory of Mary Earp Tucker, 1931"
"","","American Rockingham wares were popular in the Unites States from the mid-nineteenth through the early twentieth centuries. The term ""Rockingham"" derives from an English factory on the estate of the Marquess of Rockingham that produced ceramic objects from 1745 until 1842. The factory became known for its mottled manganese-brown glazes and for its relief-molded decorations, often in the revived Rococo style (characterized by the use of leaf and flower motifs, curves and sinuous lines, and organic forms). When pottery manufacturers in the eastern United States and Ohio began to produce wares with similar glazes and designs in the early nineteenth century, the objects became known as ""American Rockingham.""","Made in Jersey City, New Jersey, United States, North and Central America","Pitcher","http://www.philamuseum.org/images/cad/large/2008-25-18-ov.jpg","c. 1840-45","","","10 7/16 x 8 11/16 x 8 1/16 inches (26.5 x 22.1 x 20.5 cm)","","Glazed earthenware (American Rockingham ware)","","","","JerseyCity","","Manufacture attributed to American Pottery Manufacturing Company","Gift of Jay A. and Emma Lewis, 2008"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Toilet Bottle with Stopper","http://www.philamuseum.org/images/cad/large/1931-55-2a,b-ov.jpg","1837","","","7 x 3 7/8 inches (17.8 x 9.9 cm)","","Porcelain with enamel and gilt decoration","","","","Philadelphia","","Made by American Porcelain Company (formerly Tucker Factory)","Gift of Eliza Amanda Tucker in memory of Mary Earp Tucker, 1931"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Pitcher","http://www.philamuseum.org/images/cad/large/1947-51-1v1-ov.jpg","c. 1835","","","9 7/8 x 12 5/8 x 3 inches (25.1 x 32.1 x 7.6 cm)","","Porcelain with enamel and gilt decoration","","","","Philadelphia","","Made by American Porcelain Company (formerly Tucker Factory)","Gift of Mrs. William M. Elkins in memory of her husband, 1947"
"","","In 1835 the Pennsylvania Assembly voted to incorporate the Tucker and Hemphill Factory as the American Porcelain Company. Thomas Tucker continued to manage the new concern, which produced the same porcelain wares as before, with few stylistic changes, until its closing in 1837.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Pitcher","http://www.philamuseum.org/images/cad/large/1915-119-ov.jpg","1835-37","","","11 5/8 x 8 9/16 inches (29.5 x 21.7 cm)","","Porcelain with enamel and gilt decoration","","","","Philadelphia","","Possibly made by American Porcelain Company (formerly Tucker Factory)","Gift of John T. Morris, 1915"
"","","","Made in Zanesville, Ohio, United States, North and Central America","Tile with Bust of Abraham Lincoln","http://www.philamuseum.org/images/cad/large/2008-25-69a,b-pma.jpg","19th century","","","Height: 7 5/8 inches (19.4 cm)","","Earthenware","","","","Zanesville","","American Encaustic Tiling Company","Gift of Jay A. and Emma Lewis, 2008"
