"artist_uri","object_uri","title","image_url","birth_date","death_date","made","dim","nationality_URI","nationality","artist_appellation_uri","artist","prov"
"","","Portrait of a Young Woman,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.13.2.P","","","c. 1843","51-1/8 x 38-3/8 in. (129.8 x 97.5 cm)","","French","","Claude-Marie Dubufe","Norton Simon Art Foundation"
"","","Memories,","http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.171.P","","","1826-1827","36-1/4 x 47 in. (92.1 x 119.4 cm)","","French","","Claude-Marie Dubufe","Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon"
"","","Untitled (Hand and Cigar),","","","","1967","27-1/4 x 19 in. (69.2 x 48.3 cm)","","French","","Marcel Duchamp","Norton Simon Museum, Gift of Mr. John Coplans in homage to Mr. Walter Hopps"
"","","After Paintings Regrets,","http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.172.G","","","1790-1864","comp: 13-1/2 x 18-3/8 in. (34.3 x 46.7 cm); sheet: 16-3/4 x 23 in. (42.5 x 58.4 cm)","","French","","Claude-Marie Dubufe","Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon"
"","","Three Standard Stoppages (Third Version),","http://images.nortonsimon.org/viewer/index.php?id=P.1963.39","","","1963 (replica of 1913-14 original)","3 glass panels: 49-1/2 x 7-1/4 in. (125.7 x 18.4 cm); 3 wood sticks: 44-1/4 in. (112.4 cm); wood case: 13 x 52 x 9 in. (33.0 x 132.1 x 22.9 cm)","","French","","Marcel Duchamp","Norton Simon Museum, Museum Purchase"
"","","Julio,","http://images.nortonsimon.org/viewer/index.php?id=PH.2005.02","","","1969, printed 11/2004","Image: 7-3/4 x 8-7/8 in. (19.7 x 22.5 cm); Paper: 9-3/8 x 10-9/16 in. (23.8 x 26.8 cm)","","American","","Ed Douglas","Norton Simon Museum, Gift of the Artist"
"","","Portrait of a Lady with Sprig of Blossom,","","","","1727-1775","21 x 17 in. (53.3 x 43.2 cm)","","French","","Francois, Circle of Drouais","Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon"
"","","Woman in Profile,","","","","1925","comp: 4-1/8 x 3-1/4 in. (10.5x 8.3 cm); sheet: 4-3/8 x 3-3/8 in. (11.1 x 8.6 cm)","","American","","Maynard Dixon","Norton Simon Museum, The Blue Four Galka Scheyer Collection"
"","","Three Figures in a Landscape,","","","","1928","sheet: 4-3/8 x 4-7/8 in. (11.1 x 12.4 cm); mount: 8 x 10-1/4 in. (20.3 x 26.0 cm)","","American","","Maynard Dixon","Norton Simon Museum, The Blue Four Galka Scheyer Collection"
"","","Portrait of Galka Scheyer,","","","","1925","comp: 3-3/4 x 3-1/4 in. (9.5 x 8.3 cm); sheet: 4 x 3-3/8 in. (10.2 x 8.6 cm)","","American","","Maynard Dixon","Norton Simon Museum, The Blue Four Galka Scheyer Collection"
"","","Landscape with Billowing Clouds,","","","","1925","3-1/4 x 5 in. (8.3 x 12.7 cm)","","American","","Maynard Dixon","Norton Simon Museum, The Blue Four Galka Scheyer Collection"
"","","Landscape with Clouds,","","","","1925","12-1/2 x 10-1/2 in. (31.8 x 26.7 cm)","","American","","Maynard Dixon","Norton Simon Museum, The Blue Four Galka Scheyer Collection"
"","","Untitled,","","","","1970","108 x 6-1/4 x 4 in. (274.3 x 15.9 x 10.2 cm)","","American","","Guy Girard Dill","Norton Simon Museum, Gift of Mr. Irving Blum"
"","","Untitled,","","","","1970","8-1/8 x 14 x 47-5/8 in. (20.6 x 35.6 x 121.0 cm)","","American","","Guy Girard Dill","Norton Simon Museum, Gift of Messrs. Boardman, Carlson, Cunningham, Felsen, Grinstein, Inch, Miller, Terbell and I. Blum"
"","","Portrait of a Lady with Pink Choker,","","","","1727-1775","21 x 17 in. (53.3 x 43.2 cm)","","French","","Francois, Circle of Drouais","Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon"
"","","Julio,","http://images.nortonsimon.org/viewer/index.php?id=PH.1970.017","","","1969","Image: 7-5/8 x 8-3/4 in. (19.4 x 22.2 cm)","","American","","Ed Douglas","Norton Simon Museum, Museum Purchase, Men's Committee Fund"
"","","Self-Portrait in Profile,","","","","1959","25-5/8 x 19-3/4 in. (65.1 x 50.2 cm)","","French","","Marcel Duchamp","Norton Simon Museum, Gift of Mr. John Coplans in homage to Mr. Walter Hopps"
"","","Nine Malic Moulds (Second Version),","http://images.nortonsimon.org/viewer/index.php?id=P.1963.38","","","1963 (replica of 1914-15 original)","25-1/2 x 40-1/4 in. (64.8 x 102.2 cm)","","French","","Marcel Duchamp","Norton Simon Museum, Museum Purchase"
"","","L.H.O.O.Q. or La Joconde,","http://images.nortonsimon.org/viewer/index.php?id=P.1969.094","","","1964 (replica of 1919 original)","comp: 10-1/4 x 7 in. (26.0 x 17.8 cm); sheet: 11-3/4 x 7-7/8 in. (29.8 x 20.0 cm)","","French","","Marcel Duchamp","Norton Simon Museum, Gift of Virginia Dwan"
"","","Couple of Laundress's Aprons,","","","","1959","overall: 14 x 20-7/8 x 1-3/8 in. (35.6 x 53.0 x 3.5 cm)","","French","","Marcel Duchamp","Norton Simon Museum, Museum Purchase"
"","","Boite-En-Valise (Box in a Suitcase),","","","","1941-1942 (original 1938)","16 x 14-3/4 x 3-1/2 in. (40.6 x 37.5 x 8.9 cm)","","French","","Marcel Duchamp","Norton Simon Museum, Museum Purchase"
"","","Bottle Rack,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.28","","","1963 (replica of 1914 original)","overall: 29-1/4 x 16 in. (74.3 x 40.6 cm)","","French","","Marcel Duchamp","Norton Simon Museum, Gift of Mr. Irving Blum, in memory of the Artist"
"","","Boite Alerte (Mailbox),","","","","1959","11-1/4 x 7-1/8 x 2-1/2 in. (28.6 x 18.1 x 6.4 cm)","","French","","Marcel Duchamp","Norton Simon Museum, Museum Purchase"
"","","Untitled #3,","http://images.nortonsimon.org/viewer/index.php?id=P.1965.017.2.04ab","","","c.1950","10-3/4 x 13-7/8 in. (27.3 x 35.2 cm)","","American","","Richard Diebenkorn","Norton Simon Museum, Gift of Mr. & Mrs. Paul Kantor"
"","","Untitled #22,","http://images.nortonsimon.org/viewer/index.php?id=P.1965.017.1","","","1948","30 x 45 in  (76.2 x 114.3 cm)","","American","","Richard Diebenkorn","Norton Simon Museum, Gift of Mr. & Mrs. Paul Kantor"
"","","Untitled #1,","http://images.nortonsimon.org/viewer/index.php?id=P.1965.017.2.05ab","","","c.1950","10-3/4 x 13-7/8 in. (27.3 x 35.2 cm)","","American","","Richard Diebenkorn","Norton Simon Museum, Gift of Mr. & Mrs. Paul Kantor"
"","","Bottles,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.27","","","1960","34 x 26 in. (86.4 x 66.0 cm)","","American","","Richard Diebenkorn","Norton Simon Museum, Gift of the Artist"
"","","Young Woman with a Rose,","http://images.nortonsimon.org/viewer/index.php?id=F.1983.08.P","","","1850","33-3/4 x 27-1/4 in. (85.7 x 69.2 cm)","","French","","Achille-Jacques-Jean-Marie Devéria","The Norton Simon Foundation"
"","","Odalisque,","http://images.nortonsimon.org/viewer/index.php?id=M.1967.06.P","","","c. 1830-1835","9 x 12-1/2 in. (22.9 x 31.8 cm)","","French","","Achille-Jacques-Jean-Marie Devéria","Norton Simon Art Foundation"
"","","Berkeley #24,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.26","","","1954","68-3/4 x 57 in. (98.4 x 144.8 cm)","","American","","Richard Diebenkorn","Norton Simon Museum, Gift of Mr. and Mrs. Robert A. Rowan"
"","","Washerwoman,","http://images.nortonsimon.org/viewer/index.php?id=F.1983.07.2.P","","","18th century","19-1/2 x 16-3/8 in. (49.5 x 41.6 cm)","","French","","Jean-Baptiste Deshays de Colleville","The Norton Simon Foundation, Gift of Mr. Norton Simon"
"","","Rest of the Shepherds,","http://images.nortonsimon.org/viewer/index.php?id=F.1983.07.1.P","","","18th century","19-1/2 x 16-3/8 in. (49.5 x 41.6 cm)","","French","","Jean-Baptiste Deshays de Colleville","The Norton Simon Foundation, Gift of Mr. Norton Simon"
"","","Jupiter and Semele,","http://images.nortonsimon.org/viewer/index.php?id=F.1970.04.P","","","c.1760","62-3/4 x 66-3/8 in. (159.4 x 168.6 cm)","","French","","Jean-Baptiste Deshays de Colleville","The Norton Simon Foundation"
"","","The Entombment,","","","","1893","43-1/2 x 52 in. (110.5 x 132.1 cm)","","French","","Maurice Denis","Norton Simon Art Foundation"
"","","Religious Pilgrimage, Brittany,","","","","1939","18-3/4 x 25-3/4 in. (47.6 x 65.4 cm)","","French","","Maurice Denis","Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon"
"","","The Crucifixion,","http://images.nortonsimon.org/viewer/index.php?id=F.1965.1.006.P","","","c. 1825","19-3/4 x 25-3/4 in. (50.2 x 65.4 cm)","","French","","Eugène, Circle of (possibly Richard Parkes Bonington) Delacroix","The Norton Simon Foundation"
"","","Hamlet: The Queen Attempts to Console Hamlet,","","","","1834","Norton Simon Art Foundation","","French","","Eugène Delacroix","M.1969.12.2.01.G"
"","","Dancer (Battement in Second Position),","http://images.nortonsimon.org/viewer/index.php?id=M.1977.05.D","","","1874","17-3/4 x 11-7/8 in. (45.1 x 30.2 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Café-Concert Singer,","http://images.nortonsimon.org/viewer/index.php?id=M.1979.12.G","","","c. 1879","comp: 10-1/8 x 7-1/2 in. (25.7 x 19.1 cm); sheet: 13-3/4 x 10-3/4 in. (34.9 x 27.3 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Café-Concert Singer,","http://images.nortonsimon.org/viewer/index.php?id=M.1978.21.P","","","1877-79","6-3/8 x 4-5/8 in. (16.2 x 11.7 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Bow,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.30.S","","","1896-1911","13-1/4 x 8-1/4 x 7-9/16 in. (33.7 x 21 x 19.2 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Autumn Landscape: L'Esterel,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.17","","","1890","comp: 11-7/8 x 15-5/8 in. (30.2 x 39.7 cm); sheet: 12-1/8 x 16-1/16 in. (30.8 x 40.8 cm)","","French","","Edgar Degas","Norton Simon Museum, Museum Purchase with funds donated by The B. Gerald Cantor Foundation"
"","","Autograph Letter to Durand-Ruel,","","","","n.d.","5-1/4 x 4-3/8 in. (13.3 x 11.1cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Arabesque Over the Right Leg, Right Hand Near the Ground, Left Arm Outstretched,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.02.S","","","c.1885","11-3/16 x 16-7/8 x 8-1/4 in. (28.4x 42.9 x 21.0 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Wall, So. Colorado,","http://images.nortonsimon.org/viewer/index.php?id=PH.1969.78","","","1968","Image: 8-7/16 x 12 in. (21.4 x 30.5 cm)","","American","","Liliane De Cock","Norton Simon Museum, Gift of the Artist"
"","","Barn and Smokestacks, Moss Landing, California,","http://images.nortonsimon.org/viewer/index.php?id=PH.1969.77","","","1966","Image: 7-3/8 x 12-7/8 in. (18.7 x 32.7 cm)","","American","","Liliane De Cock","Norton Simon Museum, Gift of the Artist"
"","","Spanish Entrance,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.224","","","1966","Sheet: 23-7/8 x 17-1/2 in. (60.64 x 44.45 cm.)","","American","","Ernest de Soto","Norton Simon Museum, Anonymous Gift, 1967"
"","","Arabesque Over the Right Leg, Left Arm in Line,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.03.S","","","c.1885","11-3/4 x 17-1/2x 3-13/16 in. (29.8 x 44.5 x 9.7 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Arabesque Over the Right Leg, Left Arm in Front,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.01.S","","","c.1878","8-1/4 x 10-5/8 x 4-3/8 in. (21.0 x 27 x 11.2 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Apple Pickers,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.69.S","","","1881-82","17-7/8 x 18-15/16 x 3-1/4 in. (45.4 x 48.1 x 8.2 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Remembrances of Spain,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.159","","","1965","Sheet: 15-1/2 x 20 in. (39.37 x 50.8 cm.)","","American","","Ernest de Soto","Norton Simon Museum, Anonymous Gift, 1966"
"","","Justine,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.225","","","1966","Sheet: 15 x 11 in. (38.1 x 27.94 cm.); Image: 14 x 10-1/4 in. (35.56 x 26.04 cm.)","","American","","Ernest de Soto","Norton Simon Museum, Anonymous Gift, 1967"
"","","After the Bath,","http://images.nortonsimon.org/viewer/index.php?id=F.1975.02.P","","","c. 1890-93 (dated in error by another hand: 1885)","26 x 20-3/4 in. (66 x 52.7 cm)","","French","","Edgar Degas","The Norton Simon Foundation"
"","","Lamenting Figure,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.160","","","1965","Sheet: 15 x 11 in. (38.1 x 27.94 cm.)","","American","","Ernest de Soto","Norton Simon Museum, Anonymous Gift, 1966"
"","","Juliette,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.228","","","1966","Sheet: 11 x 15 in. (27.94 x 38.1 cm.); Image: 9-1/2 x 13 in. (24.13 x 33.02 cm.)","","American","","Ernest de Soto","Norton Simon Museum, Anonymous Gift, 1967"
"","","Juliette,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.227","","","1966","Sheet: 15 x 11 in. (38.1 x 27.94 cm.); Image: 14-1/2 x 10-1/2 in. (36.83 x 26.67 cm.)","","American","","Ernest de Soto","Norton Simon Museum, Anonymous Gift, 1967"
"","","Dancer Adjusting the Shoulder Strap of Her Bodice,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.27.S","","","1882-95","14 x 6-3/8 x 4-1/8 in. (35.6 x 16.2 x 10.5 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Juliette,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.226","","","1966","Sheet: 11 x 15 in. (27.94 x 38.1 cm.); Image: 10 x 14-1/2 in. (25.4 x 36.83 cm.)","","American","","Ernest de Soto","Norton Simon Museum, Anonymous Gift, 1967"
"","","Espana 3,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.223","","","1966","Sheet: 10-3/4 x 14-7/8 in. (27.31 x 37.78 cm.); Image: 10 x 13 in. (25.4 x 33.02 cm.)","","American","","Ernest de Soto","Norton Simon Museum, Anonymous Gift, 1967"
"","","Actress in Her Dressing Room,","http://images.nortonsimon.org/viewer/index.php?id=F.1972.03.P","","","c. 1879","33-5/8 x 29-3/4 in. (85.4 x 75.6 cm)","","French","","Edgar Degas","The Norton Simon Foundation"
"","","Dancer at Rest, Hands Behind Her Back, Right Leg Forward,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.21.S","","","c. 1880 - 1885","18 x 6-1/2 x 5 in. (45.7 x 12.7 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Women Ironing,","http://images.nortonsimon.org/viewer/index.php?id=M.1971.3.P/M.1979.17.P","","","c. 1884","32-3/8 x 29-3/4 in. (82.2 x 75.6 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Dancer Looking at the Sole of Her Right Foot,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.32.S","","","1900-10","19-1/2 x 14-9/16 x 8-1/16 in. (49.5 x 37.1 x 20.3 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Study for ""Saltimbanques Resting"",","http://images.nortonsimon.org/viewer/index.php?id=M.1985.2.P","","","c. 1865-1866","11-3/4 x 14-3/4 in. (29.8 x 37.5 cm)","","French","","Honoré Daumier","Norton Simon Art Foundation"
"","","Untitled  (Three Women),","http://images.nortonsimon.org/viewer/index.php?id=PH.1969.17","","","1966","Image: 7-9/16 x 9-7/16 in. (19.2 x 24 cm)","","American","","Judy Dater","Norton Simon Museum, Gift of the Artist"
"","","Saltimbanques Resting,","http://images.nortonsimon.org/viewer/index.php?id=M.1976.06.P","","","1870","21-1/2 x 25-3/4 in. (54.6 x 65.4 cm)","","French","","Honoré Daumier","Norton Simon Art Foundation, Gift of Mr. Norton Simon"
"","","Maria Rosario Dominici,","http://images.nortonsimon.org/viewer/index.php?id=PH.2010.2.2","","","1998","24 x 20 in. (61 x 51 cm)","","American","","Judy Dater","Norton Simon Museum, Gift of the Artist"
"","","Looking Back, June Wayne,","http://images.nortonsimon.org/viewer/index.php?id=PH.2010.2.3","","","2006","24 x 20 in. (61 x 51 cm)","","American","","Judy Dater","Norton Simon Museum, Gift of the Artist"
"","","George Livia,","http://images.nortonsimon.org/viewer/index.php?id=PH.2010.2.1","","","1996","10 x 8 in. (25.4 x 20.3 cm)","","American","","Judy Dater","Norton Simon Museum, Gift of the Artist"
"","","At Napoleon's Tomb, Paris,","http://images.nortonsimon.org/viewer/index.php?id=PH.1971.136","","","1967","Image: 6-3/4 x 4-3/8 in. (17.1 x 11.1 cm)","","American","","Judy Dater","Norton Simon Museum, Gift of the Artist"
"","","The Morannon Gate,","http://images.nortonsimon.org/viewer/index.php?id=PH.1969.04","","","1969","Image: 12-3/4 x 11-3/8 in. (32.4 x 28.9 cm)","","American","","Darryl J. Curran","Norton Simon Museum, Gift of the Artist"
"","","Temples,","http://images.nortonsimon.org/viewer/index.php?id=PH.1969.05","","","March 1969","12-1/8 x 20-1/8 in. (30.8 x 51.1 cm)","","American","","Darryl J. Curran","Norton Simon Museum, Gift of the Artist"
"","","Rubber Plant,","http://images.nortonsimon.org/viewer/index.php?id=PH.1971.141","","","1920s (printed 1971)","Image: 12-1/8 x 9-7/8 in. (30.8 x 25.1 cm)","","American","","Imogen Cunningham","Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection"
"","","Air Land Sea X: Dam Valley,","http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.169","","","1970","Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 10 x 9 in. (25.4 x 22.86 cm.)","","American","","William Richard Crutchfield","Norton Simon Museum, Anonymous Gift, 1972"
"","","Air Land Sea XI: Skiff Car at Malibu,","http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.170","","","1970","Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 8-1/4 x 8-1/2 in. (20.96 x 21.59 cm.)","","American","","William Richard Crutchfield","Norton Simon Museum, Anonymous Gift, 1972"
"","","Air Land Sea VIII: Cathedral Steamer,","http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.167","","","1970","Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 8-3/4 x 7-1/2 in. (22.23 x 19.05 cm.)","","American","","William Richard Crutchfield","Norton Simon Museum, Anonymous Gift, 1972"
"","","Air Land Sea VII: Fuji at Pisa,","http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.166","","","1970","Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 10-1/2 x 4-1/2 in. (26.67 x 11.43 cm.)","","American","","William Richard Crutchfield","Norton Simon Museum, Anonymous Gift, 1972"
"","","Air Land Sea VI: Block of Sea,","http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.165","","","1970","Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 10 x 4-1/2 (25.4 x 11.43 cm.)","","American","","William Richard Crutchfield","Norton Simon Museum, Anonymous Gift"
"","","Air Land Sea V: Biplane,","http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.163","","","1970","Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 5 x 8-1/4 in. (12.7 x 20.96 cm.)","","American","","William Richard Crutchfield","Norton Simon Museum, Anonymous Gift, 1972"
"","","Dancer Looking at the Sole of Her Right Foot,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.33.S","","","1900-10","18-3/4 x 13-7/16 x 8-1/4 in. (47.6 x 34.1 x 21.0 cm)","","French","","Edgar Degas","Norton Simon Art Foundation"
"","","Air Land Sea IX: Zepp,","http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.168","","","1970","Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 9 x 9-1/4 in. (22.86 x 23.50 cm.)","","American","","William Richard Crutchfield","Norton Simon Museum, Anonymous Gift, 1972"
"","","Air Land Sea IV: The Great Southeastern,","http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.162","","","1970","Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 9 x 9-3/4 in (22.86 x 24.77 cm.)","","American","","William Richard Crutchfield","Norton Simon Museum, Anonymous Gift"
"","","Air Land Sea III: Formation Flying,","http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.161","","","1970","Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 8.75 x 8.75 in. (22.23 x 22.23 cm.)","","American","","William Richard Crutchfield","Norton Simon Museum, Anonymous Gift, 1972"
"","","Air Land Sea II: 2-8-4 Flyer,","http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.160","","","1970","Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); 8-3/4 x 5 in. (22.23 x 12.7 cm.)","","American","","William Richard Crutchfield","Norton Simon Museum, Anonymous Gift, 1972"
