"artist_URI","description","object_uri","Artwork_Title","image_url","birth_date","death_date","date","dimensions_inch","medium_uri","medium","Nationality_URI","nationality","artist_appellation_uri","name","credit_line"
"","NA","","Alamo, San Antonio, Texas","http://emuseum.huntington.org/internal/media/dispatcher/27920/resize:format$003dfull","1860","1935","ca. 1885-1932","11 3/4 x 14 5/16","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Along the Shore","http://emuseum.huntington.org/internal/media/dispatcher/18052/resize:format$003dfull","1814","1889","1834","6 1/8 x 9 1/8","","watercolor on paper","","American","","George Loring Brown","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Alpine Landscape with Woman, June 16, 1904","http://emuseum.huntington.org/internal/media/dispatcher/20108/resize:format$003dfull","1846","1918","1904","5 3/16 x 8 11/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Amalfi, February 28, 1908","http://emuseum.huntington.org/internal/media/dispatcher/20112/resize:format$003dfull","1846","1918","1908","5 5/8 x 7 1/8","","watercolor and graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Amecameca","http://emuseum.huntington.org/internal/media/dispatcher/27910/resize:format$003dfull","1860","1935","ca. 1885-1932","14 1/4 x 9 1/2","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","America","http://emuseum.huntington.org/internal/media/dispatcher/27983/resize:format$003dfull","1828","1891","n.d.","7 1/16 x 5 5/8","","pen, brush, black ink and ink wash heightened with white on paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","America","http://emuseum.huntington.org/internal/media/dispatcher/27984/resize:format$003dfull","1828","1891","n.d.","7 x 6 1/8","","pen, brush, black ink and ink wash heightened with white on paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","America","http://emuseum.huntington.org/internal/media/dispatcher/27985/resize:format$003dfull","1828","1891","n.d.","7 x 5 11/16","","pen, brush, black ink and ink wash heightened with white on paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","America","http://emuseum.huntington.org/internal/media/dispatcher/27986/resize:format$003dfull","1828","1891","n.d.","6 1/8 x 5 3/16","","pen, brush, black ink and ink wash heightened with white on paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","America","http://emuseum.huntington.org/internal/media/dispatcher/27987/resize:format$003dfull","1828","1891","n.d.","6 1/2 x 5 11/16","","pen, brush, black ink and ink wash heightened with white on paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","America","http://emuseum.huntington.org/internal/media/dispatcher/27988/resize:format$003dfull","1828","1891","n.d.","6 3/4 x 5 1/4","","pen, brush, black ink and ink wash heightened with white on paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","America","http://emuseum.huntington.org/internal/media/dispatcher/27989/resize:format$003dfull","1828","1891","n.d.","7 1/4 x 5 5/16","","pen, brush, black ink and ink wash heightened with white on paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","America","http://emuseum.huntington.org/internal/media/dispatcher/27990/resize:format$003dfull","1828","1891","n.d.","7 5/8 x 5 3/4","","pen, brush, black ink and ink wash heightened with white on paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","America","http://emuseum.huntington.org/internal/media/dispatcher/27991/resize:format$003dfull","1828","1891","n.d.","7 3/16 x 5 5/16","","pen, brush, black ink and ink wash heightened with white on paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","America","http://emuseum.huntington.org/internal/media/dispatcher/27992/resize:format$003dfull","1828","1891","n.d.","7 9/16 x 5 9/16","","pen, brush, black ink and ink wash heightened with white on paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","American Eagles","http://emuseum.huntington.org/internal/media/dispatcher/18079/resize:format$003dfull","1833","1909","1862","10 7/8 x 8 1/2","","gray wash on board","","American","","James David Smillie","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","An Aged Corinthian Relates his Experiences","http://emuseum.huntington.org/internal/media/dispatcher/16261/resize:format$003dfull","1841","1920","n.d.","9 x 11 1/4","","graphite on gray paper","","American","","Henry Mosler","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Ancestral Remains","http://emuseum.huntington.org/internal/media/dispatcher/31564/resize:format$003dfull","1911","2004","1979","image: 10 1/8 x 18","","graphite on paper","","American","","Jesse Jay McVicker","Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Ancient Cedar, with Two Boys","http://emuseum.huntington.org/internal/media/dispatcher/20420/resize:format$003dfull","1769","1850","n.d.","13 3/4 x 19 1/4","","pen and gray ink on paper","","British","","Raphael Lamar West","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Animals Conversing","http://emuseum.huntington.org/internal/media/dispatcher/28003/resize:format$003dfull","NA","NA","n.d.","15 x 9 3/4","","ink on paper","","American","","B. Baker","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Anne Hathaway's Cottage","http://emuseum.huntington.org/internal/media/dispatcher/16129/resize:format$003dfull","1852","1944","n.d.","8 3/4 x 11 5/8","","pastel and graphite on brown paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Approach to La Crosse, Wis. From Below","http://emuseum.huntington.org/internal/media/dispatcher/18091/resize:format$003dfull","1816","1892","n.d.","6 1/8 x 9 1/8","","watercolor, brush, black ink, Chinese white and graphite on paper","","American","","Edwin Whitefield","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Aqueduct, August 11, 1890","http://emuseum.huntington.org/internal/media/dispatcher/20080/resize:format$003dfull","1846","1918","1890","4 11/16 x 6 3/4","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Architectural Study","http://emuseum.huntington.org/internal/media/dispatcher/17967/resize:format$003dfull","1852","1944","n.d.","9 7/8 x 13","","gouache on gray paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Army of the Potomac","http://emuseum.huntington.org/internal/media/dispatcher/18099/resize:format$003dfull","1835","1910","n.d.","7 x 24","","graphite and grey wash on paper","","American","","Larkin Goldsmith Mead","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","As the Vocal Teacher","http://emuseum.huntington.org/internal/media/dispatcher/31094/resize:format$003dfull","1908","1978","n.d.","sheet: 18 1/4 x 13 1/4","","ink on paper","","American","","Don Freeman","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Ash Tree in Surrey","http://emuseum.huntington.org/internal/media/dispatcher/28493/resize:format$003dfull","1846","1918","ca. 1908","sheet: 4 13/16 x 7 7/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill"
"","NA","","At Sundown","http://emuseum.huntington.org/internal/media/dispatcher/27970/resize:format$003dfull","1876","1954","1909","24 x 18","","watercolor on paper","","American","","Marion Kavanaugh Wachtel","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Anne Crotty"
"","NA","","Avenue of Spruce Firs in Mr. Parson's  Garden, Flushing","http://emuseum.huntington.org/internal/media/dispatcher/16246/resize:format$003dfull","1847","1920","1889","15 x 8 1/2","","gouache en grisaille on paper","","British","","Alfred William Parsons","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Bachelor Girl","http://emuseum.huntington.org/internal/media/dispatcher/16203/resize:format$003dfull","1871","1951","1915","11 3/4 x 9 7/16","","graphite on butcher paper","","American","","John Sloan","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Back of Rockport","http://emuseum.huntington.org/internal/media/dispatcher/27972/resize:format$003dfull","1879","1956","n.d.","13 x 19","","watercolor on paper","","American","","Gifford Reynolds Beal","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Margery and Maurice Katz"
"","NA","","Back Porch-Cucinavaca","http://emuseum.huntington.org/internal/media/dispatcher/27923/resize:format$003dfull","1860","1935","ca. 1885-1932","7 1/8 x 9 13/16","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Balcony - Hotel, Chinatown, S.F., Calif.","http://emuseum.huntington.org/internal/media/dispatcher/22325/resize:format$003dfull","1858","1949","1929","7 1/8 x 10 7/8","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","Ballerina Sketch","http://emuseum.huntington.org/internal/media/dispatcher/30283/resize:format$003dfull","NA","NA","ca. 1933","11 x 8 1/2","","graphite on paper","","NA","","NA","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Ballerina Sketch","http://emuseum.huntington.org/internal/media/dispatcher/30284/resize:format$003dfull","NA","NA","ca. 1933","10 15/16 x 8 1/2","","graphite on paper","","NA","","NA","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Ballerina Sketch","http://emuseum.huntington.org/internal/media/dispatcher/30285/resize:format$003dfull","NA","NA","ca. 1933","6 7/8 x 5 3/8","","graphite on paper","","NA","","NA","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Bandaged Man on Horse","http://emuseum.huntington.org/internal/media/dispatcher/28022/resize:format$003dfull","1855","1929","n.d.","11 5/8 x 15 5/8","","ink on paper","","American","","Charles Jay Taylor","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Bank Note Design","http://emuseum.huntington.org/internal/media/dispatcher/18075/resize:format$003dfull","NA","NA","n.d.","8 1/2 x 12","","ink and wash on board","","NA","","American School","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Barefoot Man Outdoors","http://emuseum.huntington.org/internal/media/dispatcher/18201/resize:format$003dfull","1811","1893","ca. 1840-1843","NA","","graphite and watercolor on paper","","American","","John William Casilear","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair"
"","NA","","Battle between British E Boat and German Destroyer","http://emuseum.huntington.org/internal/media/dispatcher/17991/resize:format$003dfull","1890","1978","1946","13 1/2 x 17 1/2","","watercolor and graphite on paper","","American","","Arthur Edwaine Beaumont","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Geoffrey C. Beaumont"
"","NA","","Battle of Bull Run","http://emuseum.huntington.org/internal/media/dispatcher/16264/resize:format$003dfull","1828","1891","n.d.","4 1/4 x 13 1/2","","graphite and graywash on paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Beach Scene","http://emuseum.huntington.org/internal/media/dispatcher/30277/resize:format$003dfull","NA","NA","ca. 1933","6 7/8 x 8 3/4","","graphite on paper","","NA","","NA","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Beach Scene","http://emuseum.huntington.org/internal/media/dispatcher/30278/resize:format$003dfull","NA","NA","ca. 1933","7 1/2 x 9 3/16","","graphite on paper","","NA","","NA","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Beach Scene","http://emuseum.huntington.org/internal/media/dispatcher/30279/resize:format$003dfull","NA","NA","ca. 1933","7 x 5 1/2","","graphite on paper","","NA","","NA","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Beach Scene","http://emuseum.huntington.org/internal/media/dispatcher/30280/resize:format$003dfull","NA","NA","ca. 1933","7 5/16 x 8 13/16","","graphite on paper","","NA","","NA","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Beach Scene","http://emuseum.huntington.org/internal/media/dispatcher/30281/resize:format$003dfull","NA","NA","ca. 1933","4 1/4 x 4 15/16","","graphite on paper","","NA","","NA","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Beach Scene","http://emuseum.huntington.org/internal/media/dispatcher/30282/resize:format$003dfull","NA","NA","ca. 1933","7 7/8 x 10 15/16","","graphite on paper","","NA","","NA","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Beachy Head","http://emuseum.huntington.org/internal/media/dispatcher/28503/resize:format$003dfull","1846","1918","1908","sheet: 4 13/16 x 7 7/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill"
"","NA","","Bearded Cardinal with Boon in Hand","http://emuseum.huntington.org/internal/media/dispatcher/18183/resize:format$003dfull","1811","1893","ca. 1840-1843","NA","","graphite and watercolor on paper","","American","","John William Casilear","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair"
"","NA","","Bearded Man with Staff","http://emuseum.huntington.org/internal/media/dispatcher/18172/resize:format$003dfull","1816","1872","ca. 1845 - 1847","NA","","graphite and watercolor on paper","","American","","John Frederick Kensett","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair"
"","NA","","Bearded Monk Carrying Bags","http://emuseum.huntington.org/internal/media/dispatcher/18197/resize:format$003dfull","1811","1893","ca. 1840-1843","NA","","watercolor on paper","","American","","John William Casilear","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair"
"","NA","","Benicia Arsenal [?], August 12, 1894","http://emuseum.huntington.org/internal/media/dispatcher/20093/resize:format$003dfull","1846","1918","1894","5 x 8 11/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Benicia Arsenal, California","http://emuseum.huntington.org/internal/media/dispatcher/20155/resize:format$003dfull","1846","1918","n.d.","5 9/16 x 8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Jane Hemphill"
"","NA","","Benicia Arsenal, California Mount Diablo in the Distance","http://emuseum.huntington.org/internal/media/dispatcher/20154/resize:format$003dfull","1846","1918","n.d.","5 5/16 x 7 15/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Benicia Barracks, August 14, 1894","http://emuseum.huntington.org/internal/media/dispatcher/20094/resize:format$003dfull","1846","1918","1894","5 x 8 11/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Benicia Barracks, Cal.","http://emuseum.huntington.org/internal/media/dispatcher/20153/resize:format$003dfull","1846","1918","n.d.","4 7/8 x 7 3/4","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Big Trees - Mariposa Grove","http://emuseum.huntington.org/internal/media/dispatcher/28302/resize:format$003dfull","1833","1909","1871","9 x 6 1/4","","graphite heightened with Chinese white on paper","","American","","James David Smillie","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Bird Watchers","http://emuseum.huntington.org/internal/media/dispatcher/31608/resize:format$003dfull","1908","1978","ca. 1965","10 3/16 x 7 11/16","","watercolor and ink","","American","","Don Freeman","Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Black Youth","http://emuseum.huntington.org/internal/media/dispatcher/20493/resize:format$003dfull","1897","1946","ca. 1938","20 x 12","","watercolor and graphite on paper","","American","","John Steuart Curry","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Boating Party","http://emuseum.huntington.org/internal/media/dispatcher/20176/resize:format$003dfull","1846","1918","n.d.","5 5/8 x 7 7/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Jane Hemphill"
"","NA","","Boats Banked on a River","http://emuseum.huntington.org/internal/media/dispatcher/16191/resize:format$003dfull","1826","1909","n.d.","10 5/8 x 14 7/8","","graphite and watercolor on buff paper","","American","","John Bunyan Bristol","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Book Cliffs at the Utah Desert","http://emuseum.huntington.org/internal/media/dispatcher/1025/resize:format$003dfull","1832","1920","n.d.","13 3/4 x 23 1/2","","watercolor and pastel on paper","","American","","Samuel Colman","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Virginia Steele Scott Foundation"
