,column_name,el_dist,jc_name,jc_num,jc_text,ks_num,mw_hist,semantic_type,target,test_name,tf_text,truth,prob
75,s07-s-13!credit_line,0.0118330518866,0.0555555555556,0.166998648716,0,1.63917749008e-11,2.36800089171e-20,E8_Acquisition---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.31217806763
52,s11-s-19-artists!birth_data_and_place,0.113467659666,0.12,0.069387755102,0,7.82674987769e-15,6.35943418701e-49,E33_Linguistic_Object---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.304444476702
66,s07-s-13!technique,0.00017628867319,0.133333333333,0.0,0,0.00456442377896,2.24701835132e-21,E55_Type---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.266526903114
14,s04-ima-artworks!materials,0.0,0.133333333333,0.0,0,0.0,2.87449946709e-20,E55_Type---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.266303359301
54,s12-s-19-artworks!technique,0.0,0.133333333333,0.0,0,0.0,4.7852917683e-25,E55_Type---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.266303359301
38,s06-npg!CreditLine,0.00536309152856,0.0588235294118,0.0923921568627,0,0.0106832717284,5.49266108975e-20,E8_Acquisition---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.260451644024
74,s06-npg!Description,0.607754279133,0.0,0.000803434109095,0,0.005698195036,0.153306082683,E22_Man-Made_Object---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.234571841642
15,s07-s-13!title,0.0519116306544,0.0833333333333,0.012556097561,0,2.78831005743e-07,1.33760046398e-26,E35_Title---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.22861469914
2,s07-s-13!name,0.000321203758915,0.0909090909091,0.000253004427577,0,0.000884573557605,7.24174971326e-17,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.227370548648
70,s12-s-19-artworks!title,0.0673736000436,0.0833333333333,0.00879712746858,0,6.34438707209e-14,8.27855651796e-47,E35_Title---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.226201702834
65,s05-met!image,0.647320982037,0.0833333333333,0.000745643468383,0,5.72817835609e-06,4.78617669178e-05,E38_Image---dev#classLink,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.221120653787
68,s06-npg!Title,0.0114823965298,0.0833333333333,0.000702375513933,0,0.000278172835244,7.0379124696e-22,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.221078880805
42,s03-ima-artists!title,0.00439239644113,0.0833333333333,0.000607467625937,0,0.00089080438925,1.19432266183e-42,E35_Title---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.221045605391
0,s04-ima-artworks!title,0.00439239644113,0.0833333333333,0.000607467625937,0,0.00089080438925,1.19432266183e-42,E35_Title---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.221045605391
63,s06-npg!Image,0.663657777199,0.0833333333333,1.71036806456e-05,0,2.70046120866e-31,1.42330082408e-24,E38_Image---dev#classLink,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.220636037247
4,s05-met!Culture,0.0,0.0714285714286,0.0,0,0.0,0.0,E55_Type---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.210617262736
69,s04-ima-artworks!provenance,0.163376592878,0.0588235294118,0.01290729525,0,3.655657861e-05,2.33308995905e-10,E33_Linguistic_Object---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.208052594381
58,s13-s-art-institute-of-chicago!Linktodata,0.64320387628,0.0588235294118,0.000795035238768,0,1.02017522491e-32,1.30912405866e-16,E22_Man-Made_Object---dev#classLink,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.200853616137
7,s11-s-19-artists!occupation,0.00793392990753,0.0588235294118,9.99148093031e-07,0,0.00440831406942,4.8206906281e-26,E33_Linguistic_Object---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.200565415698
71,s07-s-13!nationality,0.0,0.0588235294118,0.0,0,0.0,1.09474112796e-07,E74_Group---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.200387820689
44,s04-ima-artworks!creditLine,0.0232568693562,0.0588235294118,0.0,0,2.57967261756e-07,1.00531542306e-36,E8_Acquisition---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.200387775065
31,s12-s-19-artworks!nationality,0.0,0.0588235294118,0.0,0,0.0,6.88348611614e-13,E74_Group---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.200387764707
36,s13-s-art-institute-of-chicago!Artistname,0.0,0.0588235294118,0.0,0,0.0,5.15816514319e-16,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.200387764707
5,s03-ima-artists!nationality,0.0,0.0588235294118,0.0,0,0.0,2.02268386621e-28,E74_Group---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.200387764707
67,s04-ima-artworks!nationality,0.0,0.0588235294118,0.0,0,0.0,2.02268386621e-28,E74_Group---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.200387764707
59,s07-s-13!dimension,0.521291726993,0.0,0.0788006277338,0,2.97430127143e-41,1.49056254355e-27,E54_Dimension---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.199664862162
29,s11-s-19-artists!artist_name,0.00393558954154,0.0555555555556,0.0,0,0.000401752251373,5.85732986798e-49,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.197813238975
64,s13-s-art-institute-of-chicago!Nationality,0.0,0.0555555555556,0.0,0,0.0,4.1798587559e-33,E74_Group---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.197797263881
53,s12-s-19-artworks!artist_name,0.0,0.0555555555556,0.0,0,0.0,6.58736299407e-26,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.197797263881
43,s07-s-13!Label_on_page,0.55963566548,0.05,7.75232262952e-06,0,4.61743942499e-12,6.48840972682e-09,E33_Linguistic_Object---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.193455907466
18,s11-s-19-artists!long_biography,0.0960945404347,0.0,0.0656879301163,0,3.12094186022e-16,5.3962850521e-49,E33_Linguistic_Object---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.192118949973
26,s05-met!Classification,0.0,0.047619047619,0.0,0,0.0,2.18515879431e-27,E55_Type---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.191611356431
24,s06-npg!Classification,0.0,0.047619047619,0.0,0,0.0,0.0,E55_Type---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.191611356431
39,s02-dma!Object Work Type,0.0,0.0434782608696,0.0,0,0.0,4.03648981957e-30,E55_Type---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.18844300287
23,s05-met!Description,0.093631284043,0.0,0.0576108626542,0,0.0015630439935,3.66396342886e-13,E22_Man-Made_Object---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.187639811353
76,s02-dma!Artist Nationality,0.0,0.0416666666667,0.0,0,0.0,0.0,E74_Group---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.187069552344
49,s02-dma!Object Link Source,0.0,0.04,0.0,0,0.0,0.0,E40_Legal_Body---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.185812796115
1,s12-s-19-artworks!description,0.0739340788589,0.0,0.0531461449942,0,1.60614876662e-12,6.5011086275e-48,E22_Man-Made_Object---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.185106814444
8,s08-s-17-edited!VIDEO,0.229262372462,0.0,0.0303556250759,0,5.54424981262e-09,0.000236176989044,E31_Document---dev#classLink,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.172981855114
16,s13-s-art-institute-of-chicago!Credit,0.109361871941,0.0,0.0234540681311,0,0.000110500083953,1.30845179871e-16,E8_Acquisition---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.169302003065
73,s08-s-17-edited!DESCRIPTION,0.0666771224586,0.0,0.0209865315847,0,3.06892974057e-13,2.02964502703e-27,E22_Man-Made_Object---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.16803396157
3,s02-dma!Object Rights,0.00107578515813,0.0,0.00672268907563,0,0.0191061903841,2.25851583916e-05,E30_Right---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.161530891662
72,s13-s-art-institute-of-chicago!Dimensions,0.507621206505,0.0,0.0038293290565,0,1.02017522491e-32,1.30910164475e-16,E54_Dimension---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.159451783653
57,s04-ima-artworks!sourceURL,0.0448803709882,0.0,0.00345691815746,0,1.63246329407e-09,1.90453025373e-43,E22_Man-Made_Object---dev#classLink,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.159269500895
56,s07-s-13!origin,0.0,0.0,0.0,0,0.0,0.00194940690198,E33_Linguistic_Object---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.158413175231
46,s07-s-13!image_url,0.0156693842411,0.0,0.00151896498432,0,5.68104499946e-17,1.00565494027e-28,E38_Image---dev#classLink,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.158323662403
50,s08-s-17-edited!AUTHOR,0.00987115286114,0.0,0.0,0,0.00100040288337,2.44443553893e-23,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157618790574
35,s13-s-art-institute-of-chicago!Titleofartwork,0.666097647148,0.0,9.08110344167e-06,0,0.000498302372162,1.30912405866e-16,E35_Title---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157606490301
19,s04-ima-artworks!galleryLabel,0.380948758523,0.0,6.11580164797e-08,0,0.000131605609889,3.29321845913e-22,E33_Linguistic_Object---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157589915424
21,s12-s-19-artworks!img_url,0.666502210155,0.0,5.42162718978e-06,0,2.29230094661e-43,1.12159758974e-47,E38_Image---dev#classLink,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157588137333
47,s05-met!Who,0.0,0.0,0.0,0,0.0,1.50336264035e-06,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157586144559
48,s04-ima-artworks!imageURL,0.666666649173,0.0,2.53891867624e-10,0,1.19565077309e-29,1.90453025373e-43,E38_Image---dev#classLink,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.15758550775
17,s04-ima-artworks!dimensions,0.644690372106,0.0,0.0,0,2.62260791564e-33,3.63008085954e-14,E54_Dimension---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157585507627
40,s13-s-art-institute-of-chicago!Typeofartwork,0.0,0.0,0.0,0,0.0,2.79810083008e-14,E55_Type---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157585507627
61,s02-dma!Object Facet Value 1,0.0,0.0,0.0,0,0.0,3.3574247008e-15,E55_Type---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157585507627
20,s13-s-art-institute-of-chicago!ImageURL,0.66422231073,0.0,0.0,0,2.49109621174e-34,1.30912405866e-16,E38_Image---dev#classLink,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157585507627
11,s12-s-19-artworks!dimensions,0.609563198488,0.0,0.0,0,6.97401315373e-44,7.19485171767e-42,E54_Dimension---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157585507627
60,s06-npg!Artist,0.0,0.0,0.0,0,0.0,1.25744238139e-19,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157585507627
22,s05-met!Medium,0.0,0.0,0.0,0,0.0,3.97452037104e-20,E55_Type---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157585507627
32,s06-npg!Dimension,0.596021996445,0.0,0.0,0,3.14995092363e-37,5.79836482656e-24,E54_Dimension---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157585507627
55,s05-met!Geography,0.0,0.0,0.0,0,0.0,1.17430682655e-31,E44_Place_Appellation---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.157585507627
12,s02-dma!Artist Death Date,0.0265699330012,0.25,0.70652173913,0,0.0669713656653,1.57665461633e-08,E52_Time-Span---P82_at_some_time_within,True,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.897037108671
30,s02-dma!Object Latest Date,0.0241353176082,0.25,0.701818181818,0,0.0159231809913,2.33128024278e-07,E52_Time-Span---P82b_end_of_the_end,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.894235253221
41,s05-met!Date,0.0231206869975,0.4,0.48496124031,0,9.9434705104e-05,5.09143724665e-10,E52_Time-Span---P82_at_some_time_within,True,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.889353648877
27,s02-dma!Object Earliest Date,0.0245017577522,0.208333333333,0.701818181818,0,0.0117446823619,1.35897895255e-08,E52_Time-Span---P82a_begin_of_the_begin,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.872868724368
45,s02-dma!Artist Birth Date,0.0261008162716,0.238095238095,0.650909090909,0,1.3115511533e-05,8.23940424824e-09,E52_Time-Span---P82_at_some_time_within,True,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.868250173311
43,s07-s-13!Label_on_page,0.55958450321,0.0454545454545,8.36034793379e-06,0,5.33691823383e-11,0.845982402932,E33_Linguistic_Object---P3_has_note,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.777230228474
10,s06-npg!AquisitionDate,0.0219482169409,0.2,0.464497966844,0,8.52944870094e-16,1.47173530351e-17,E52_Time-Span---P82_at_some_time_within,True,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.734016597337
33,s05-met!Credit Line,0.0180352534137,0.105263157895,0.273939393939,0,0.000152029246841,6.89283147479e-10,E8_Acquisition---P3_has_note,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.462054115945
51,s04-ima-artworks!creationDate,0.018315225625,0.235294117647,0.0935217653754,0,0.000175454463341,2.23942189336e-28,E52_Time-Span---P82_at_some_time_within,True,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.458884473283
28,s12-s-19-artworks!date_made,0.0680428241655,0.1875,0.107056331878,0,1.9295533633e-09,7.39146889286e-37,E52_Time-Span---P82_at_some_time_within,True,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.412648442332
9,s06-npg!DateOfWork,0.0245913509022,0.176470588235,0.119780203327,0,0.0120638018877,2.38686903087e-18,E52_Time-Span---P82_at_some_time_within,True,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.411359974441
75,s07-s-13!credit_line,0.0133558388143,0.105263157895,0.177122976973,0,1.64492876546e-15,5.75859390783e-17,E8_Acquisition---P3_has_note,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.376166427384
37,s07-s-13!dates,0.114983534757,0.153846153846,0.0977493960919,0,0.000631558827474,2.20788476539e-21,E52_Time-Span---P82_at_some_time_within,True,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.364895512299
56,s07-s-13!origin,0.0,0.142857142857,0.0,0,0.0,0.0507155085735,E33_Linguistic_Object---P3_has_note,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.3091154199
38,s06-npg!CreditLine,0.00518712162331,0.111111111111,0.0856727272727,0,0.00116672233775,1.48763206134e-16,E8_Acquisition---P3_has_note,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.307758604993
52,s11-s-19-artists!birth_data_and_place,0.103890273827,0.0714285714286,0.0748299319728,0,3.32558413672e-19,1.11814548555e-53,E33_Linguistic_Object---P3_has_note,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.259647248034
66,s07-s-13!technique,6.40898795282e-05,0.117647058824,0.0,0,0.00402958018633,3.74300806049e-18,E55_Type---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.251537041577
14,s04-ima-artworks!materials,0.0,0.117647058824,0.0,0,0.0,1.23530080025e-16,E55_Type---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.251346981658
54,s12-s-19-artworks!technique,0.0,0.117647058824,0.0,0,0.0,1.74972366124e-22,E55_Type---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.251346981658
58,s13-s-art-institute-of-chicago!Linktodata,0.643810035206,0.111111111111,0.000857390943769,0,8.20549820128e-40,8.78557463053e-13,E22_Man-Made_Object---dev#classLink,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.245862743822
44,s04-ima-artworks!creditLine,0.0231583857142,0.111111111111,0.0,0,1.88809359979e-07,3.43624258993e-37,E8_Acquisition---P3_has_note,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.245282377666
15,s07-s-13!title,0.0514744228103,0.0714285714286,0.0130874479477,0,9.39638400929e-08,2.23127934163e-24,E35_Title---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.218677299307
70,s12-s-19-artworks!title,0.0671955762335,0.0714285714286,0.00930820285376,0,3.95309383978e-15,9.54448481619e-51,E35_Title---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.216327223463
2,s07-s-13!name,0.000205737370291,0.0769230769231,0.000234604105572,0,0.00157695078519,4.84654614748e-10,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.215406067631
49,s02-dma!Object Link Source,0.0,0.0769230769231,0.0,0,0.0,0.0,E40_Legal_Body---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.215194488801
68,s06-npg!Title,0.0112809968142,0.0714285714286,0.000886807039884,0,0.000253044601476,9.6908453232e-19,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.211167025816
65,s05-met!image,0.647598596083,0.0714285714286,0.00080412530904,0,1.45687090748e-06,6.89283147479e-10,E38_Image---dev#classLink,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.211106209224
42,s03-ima-artists!title,0.0043910825221,0.0714285714286,0.000662588591644,0,0.00134507405466,4.54797274244e-45,E35_Title---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.211076161138
0,s04-ima-artworks!title,0.0043910825221,0.0714285714286,0.000662588591644,0,0.00134507405466,4.54797274244e-45,E35_Title---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.211076161138
63,s06-npg!Image,0.66365281932,0.0714285714286,1.84451457943e-05,0,8.33599218797e-39,6.29271129051e-22,E38_Image---dev#classLink,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.210628467552
69,s04-ima-artworks!provenance,0.165468753533,0.0526315789474,0.0139196321324,0,8.90034840904e-07,2.25793086264e-05,E33_Linguistic_Object---P3_has_note,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.20363565148
4,s05-met!Culture,0.0,0.0625,0.0,0,0.0,0.0,E55_Type---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.203332370514
59,s07-s-13!dimension,0.539609678638,0.0,0.082103443691,0,3.91530402277e-53,1.51974370976e-25,E54_Dimension---P3_has_note,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.201600223541
62,s11-s-19-artists!nationality,0.0,0.0526315789474,0.0,0,0.0,0.00268122305607,E74_Group---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.196850252953
7,s11-s-19-artists!occupation,0.00793417393106,0.0526315789474,1.07751264935e-06,0,0.00436717986694,1.06822569479e-23,E33_Linguistic_Object---P3_has_note,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.195673705535
36,s13-s-art-institute-of-chicago!Artistname,0.0,0.0526315789474,0.0,0,0.0,3.89399746884e-12,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.195500903994
71,s07-s-13!nationality,0.0,0.0526315789474,0.0,0,0.0,3.63877437175e-12,E74_Group---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.195500903994
31,s12-s-19-artworks!nationality,0.0,0.0526315789474,0.0,0,0.0,1.15329229565e-17,E74_Group---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.195500903992
5,s03-ima-artists!nationality,0.0,0.0526315789474,0.0,0,0.0,4.35724716255e-32,E74_Group---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.195500903992
67,s04-ima-artworks!nationality,0.0,0.0526315789474,0.0,0,0.0,4.35724716255e-32,E74_Group---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.195500903992
18,s11-s-19-artists!long_biography,0.0838899561605,0.0,0.0708399246352,0,2.89688790871e-20,8.89436263488e-54,E33_Linguistic_Object---P3_has_note,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.19505752636
29,s11-s-19-artists!artist_name,0.00393461269193,0.05,0.0,0,0.000397535613431,9.97082977185e-54,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.193467028636
34,s02-dma!Artist Name,0.0,0.05,0.0,0,0.0,6.94380640204e-07,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.193451830529
64,s13-s-art-institute-of-chicago!Nationality,0.0,0.05,0.0,0,0.0,3.73827374985e-36,E74_Group---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.193451484759
53,s12-s-19-artworks!artist_name,0.0,0.05,0.0,0,0.0,1.57269981538e-23,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.193451484759
6,s02-dma!Object Title,0.083909990826,0.047619047619,0.0,0,0.00105811005037,4.98592742204e-06,E35_Title---rdf-schema#label,False,s01-cb!Begin Date,0,E52_Time-Span---P82_at_some_time_within,0.191654896384
