" name"," foot"," position"," height"
" Sébastien Roudet"," Left"," M"," 180"
" Geoffrey Dernis"," Left"," A"," 171"
" Damien Perquis"," Right"," GK"," 184"
" Jérémie Janot"," Left"," GK"," 176"
" Julien Sablé"," Right"," M"," 181"
" Justin Richards"," Right"," A"," 183"
" Nathan Ellington"," Right"," A"," 178"
" Oscar Ewolo"," Right"," M"," 171"
" Olivier Blondel"," Right"," GK"," 187"
" Nicolas Douchez"," Right"," GK"," 186"
" Mathieu Béda"," Left"," D"," 186"
" Laurent Batlles"," Right"," M"," 174"
" Hervé Bugnet"," Right"," A"," 174"
" Daniel Göhlert"," Right"," D"," 186"
" Eric Hassli"," Right"," A"," 193"
" Ibrahima Sonko"," Right"," D"," 191"
" Amor Kehiha"," Right"," D"," 180"
" Nassim Akrour"," Right"," A"," 181"
" David Ducourtioux"," Right"," D"," 177"
" Malte Metzelder"," Right"," M"," 195"
" Gledson"," Right"," D"," 190"
" Paolo Cannavaro"," Right"," D"," 185"
" Lee Johnson"," Right"," M"," 168"
" Adam Lockwood"," Right"," D"," 183"
" Paulo César"," Right"," A"," 175"
" Gianluigi Buffon"," Right"," GK"," 191"
" Sylvain Marchal"," Right"," D"," 184"
" Anthony Tonkin"," Left"," D"," 182"
" Chris Weale"," Left"," GK"," 188"
" Thomas Broich"," Right"," A"," 182"
" Gianpaolo Bellini"," Right"," D"," 180"
" Bernt Evens"," Left"," D"," 192"
" Andy Warrington"," Right"," GK"," 191"
" Mark Arber"," Left"," D"," 185"
" Lee Miller"," Right"," A"," 188"
" Mark Gower"," Right"," M"," 180"
" Ian Henderson"," Right"," A"," 179"
" Paul Hayes"," Right"," A"," 183"
" Andy Lonergan"," Left"," GK"," 192"
" Kolo Touré"," Right"," D"," 183"
" Kevin Davies"," Right"," A"," 183"
" Tyrone Mears"," Right"," D"," 180"
" Robert Earnshaw"," Right"," A"," 173"
" Stephen Purches"," Left"," D"," 180"
" Stefan Wessels"," Right"," GK"," 190"
" Leon Johnson"," Left"," D"," 183"
" Habib Beye"," Right"," D"," 182"
" Jermaine Easter"," Right"," A"," 175"
" Chris Greenacre"," Right"," A"," 180"
" Lee Williamson"," Right"," M"," 178"
" Filippo Inzaghi"," Right"," A"," 181"
" Brad Friedel"," Right"," GK"," 188"
" Richie Wellens"," Right"," M"," 175"
" Danny Coid"," Right"," D"," 180"
" Matthew Blinkhorn"," Right"," A"," 183"
" Thomas Kleine"," Right"," D"," 191"
" Dean Hammond"," Right"," M"," 183"
" Simon Lappin"," Left"," M"," 180"
" Rémi Mareval"," Left"," D"," 182"
" Hugh Murray"," Right"," M"," 178"
" Cristiano Lupatelli"," Left"," GK"," 189"
" Paulo Ferreira"," Right"," D"," 183"
" Francesco Lodi"," Left"," M"," 183"
" Simone Tiribocchi"," Right"," A"," 178"
" Antonio Di Natale"," Right"," A"," 170"
" Keith Southern"," Right"," M"," 178"
" Jean Makoun"," Right"," M"," 173"
" Benjamin Gavanon"," Right"," M"," 180"
" Laurent Pionnier"," Right"," GK"," 184"
" Copa"," Right"," GK"," 180"
" Michael Dawson"," Right"," D"," 188"
" Craig Westcarr"," Right"," A"," 180"
" Martin Bergvold"," Left"," M"," 184"
" Scott Shearer"," Right"," GK"," 191"
" Pepe"," Right"," D"," 188"
" Christoph Dabrowski"," Right"," M"," 195"
" Fabio Coltorti"," Right"," GK"," 197"
" Massimo Donati"," Right"," M"," 186"
" Simon Rolfes"," Left"," M"," 191"
" Alexander Walke"," Right"," GK"," 189"
" Alexander Meier"," Right"," M"," 196"
" Christian Schulz"," Left"," D"," 185"
" Nelson Haedo Valdez"," Right"," A"," 178"
" Ben Futcher"," Left"," D"," 200"
" Jamie Day"," Left"," M"," 176"
" Mikkel Thygesen"," Right"," M"," 184"
" Brandão"," Left"," A"," 189"
" Anatoliy Tymoshchuk"," Right"," M"," 181"
" Phil Smith"," Right"," GK"," 185"
" Toifilou Maoulida"," Right"," A"," 184"
" Christian Abbiati"," Right"," GK"," 191"
" Ilčo Naumoski"," Right"," A"," 191"
" Daniel Wolf"," Left"," M"," 184"
" René Adler"," Right"," GK"," 190"
" Michael Rensing"," Right"," GK"," 190"
" Philipp Lahm"," Right"," D"," 170"
" Christian Lell"," Right"," D"," 183"
" Bastian Schweinsteiger"," Right"," M"," 183"
" Piotr Trochowski"," Right"," M"," 169"
" Daniel Ziebig"," Left"," D"," 183"
" Lukas Kruse"," Right"," GK"," 185"
" Mahir Sağlık"," Left"," A"," 178"
" Oliver Kirch"," Right"," M"," 183"
" Jörg Hahnel"," Right"," GK"," 186"
" Ronny König"," Left"," A"," 190"
" Marjan Petkovic"," Right"," GK"," 186"
" Oliver Barth"," Left"," D"," 188"
" Lee Beevers"," Right"," D"," 186"
" Peter Sweeney"," Left"," M"," 183"
" Marco Donadel"," Right"," M"," 179"
" Kwame Quansah"," Right"," M"," 172"
" Steven Whittaker"," Right"," D"," 185"
" Ryan Stevenson"," Right"," M"," 180"
" Seydou Keita"," Left"," M"," 183"
" Logan Bailly"," Left"," GK"," 189"
" Owen Hargreaves"," Right"," M"," 180"
" Birger Maertens"," Right"," D"," 182"
" Kevin Roelandts"," Right"," M"," 185"
" Jimmy Hempte"," Left"," D"," 180"
" Philipp Heerwagen"," Right"," GK"," 193"
" Maximillian Nicu"," Right"," M"," 185"
" Benjamin De Ceulaer"," Right"," A"," 175"
" Bram Verbist"," Right"," GK"," 182"
" Arouna Koné"," Right"," A"," 182"
" Stefan Lexa"," Right"," M"," 180"
" Markus Heikkinen"," Left"," M"," 185"
" Sanharib Malki"," Right"," A"," 180"
" Antoni Łukasiewicz"," Right"," M"," 188"
" Jermaine Pennant"," Right"," M"," 175"
" Mancini"," Right"," A"," 183"
" Sascha Rösler"," Left"," A"," 185"
" Marco Borriello"," Left"," A"," 185"
" Christian Obodo"," Right"," M"," 176"
" Michael Agazzi"," Right"," GK"," 189"
" Stefano Lucchini"," Right"," D"," 186"
" Hugo Campagnaro"," Right"," D"," 181"
" Giandomenico Mesto"," Right"," M"," 181"
" Andrea Mantovani"," Left"," D"," 185"
" Alberto Maria Fontana"," Right"," GK"," 188"
" Giuseppe Gemiti"," Left"," D"," 176"
" Sulley Muntari"," Left"," M"," 179"
" Franco Semioli"," Right"," M"," 178"
" Mario Santana"," Right"," M"," 178"
" Francesco Totti"," Right"," A"," 180"
" John Arne Riise"," Left"," D"," 185"
" Mario Haas"," Right"," A"," 183"
" Franck Queudrue"," Left"," D"," 183"
" Hasan Kabze"," Right"," A"," 185"
" Mehmet Topal"," Right"," M"," 186"
" Xavier Margairaz"," Left"," M"," 185"
" Nicolas Gillet"," Left"," D"," 188"
" Altin Lala"," Right"," M"," 172"
" Felipe"," Left"," M"," 175"
" Mohamed Adama Sarr"," Right"," D"," 186"
" Filip Daems"," Left"," D"," 181"
" Stephan Andersen"," Right"," GK"," 190"
" Clarence Seedorf"," Right"," M"," 177"
" Umut Bulut"," Right"," A"," 184"
" André Lenz"," Right"," GK"," 191"
" Marcel Schied"," Right"," A"," 173"
" Peguy Luyindula"," Right"," A"," 178"
" Jan Schlaudraff"," Right"," M"," 180"
" Arne Friedrich"," Right"," D"," 185"
" Ian Bennett"," Right"," GK"," 183"
" Petter Hansson"," Right"," D"," 186"
" Mimoun Azaouagh"," Right"," M"," 175"
" Milorad Peković"," Left"," M"," 189"
" Sebastien Frey"," Right"," GK"," 189"
" Henri Sillanpää"," Right"," GK"," 189"
" Emanuel Pogatetz"," Left"," D"," 189"
" Paul McShane"," Right"," D"," 183"
" Skerdilaid Curri"," Right"," M"," 166"
" Puyol"," Right"," D"," 178"
" Morán"," Right"," M"," 175"
" Orbaiz"," Right"," M"," 179"
" Leon Andreasen"," Right"," M"," 185"
" Cristiano Zanetti"," Right"," M"," 180"
" Casper Ankergren"," Right"," GK"," 190"
" Bruno Amaro"," Right"," M"," 181"
" Wes Brown"," Right"," D"," 185"
" Rasmus Würtz"," Right"," M"," 179"
" Timo Achenbach"," Left"," D"," 185"
" Jesper Hansen"," Right"," GK"," 188"
" Delroy Facey"," Right"," A"," 183"
" Kieron Dyer"," Right"," M"," 173"
" Alan Maybury"," Right"," D"," 180"
" Grant Brebner"," Right"," M"," 181"
" David Connolly"," Right"," A"," 175"
" Gunnar Heiðar Þorvaldsson"," Right"," A"," 182"
" Mingo"," Left"," D"," 177"
" Juanito"," Right"," D"," 182"
" Varela"," Right"," D"," 180"
" Capi"," Right"," M"," 182"
" Doblas"," Right"," GK"," 184"
" Melli"," Right"," D"," 181"
" Maldonado"," Right"," A"," 177"
" Marcos Assunção"," Right"," M"," 178"
" Lewis Hunt"," Right"," D"," 180"
" Izale McLeod"," Left"," A"," 183"
" Daniel Örlund"," Right"," GK"," 194"
" Atiba Hutchinson"," Right"," M"," 185"
" Kaspars Gorkšs"," Left"," D"," 191"
" Dušan Djurić"," Right"," M"," 180"
" Grégory Bourillon"," Right"," D"," 187"
" Jimmy Briand"," Right"," A"," 181"
" Björn Vleminckx"," Right"," A"," 183"
" Marco Né"," Right"," M"," 183"
" Dean Bowditch"," Right"," A"," 180"
" Malik Fathi"," Left"," D"," 185"
" Sofian Chahed"," Right"," D"," 178"
" Alexander Ludwig"," Right"," M"," 177"
" Ryan Jarvis"," Right"," A"," 183"
" Scott Brown"," Right"," M"," 178"
" Stephen Dobbie"," Right"," M"," 173"
" Craig Beattie"," Right"," A"," 183"
" Kirk Broadfoot"," Right"," D"," 191"
" David Preece"," Right"," GK"," 188"
" Marouane Chamakh"," Right"," A"," 188"
" Steve Sidwell"," Right"," M"," 178"
" Ron Stam"," Right"," D"," 175"
" Lorik Cana"," Right"," M"," 186"
" Benni McCarthy"," Right"," A"," 183"
" Angel"," Right"," D"," 180"
" Martín Demichelis"," Right"," D"," 184"
" Jan Frederiksen"," Left"," D"," 184"
" Doni"," Right"," GK"," 194"
" Patrick Milchraum"," Left"," D"," 174"
" Niki Zimling"," Right"," M"," 178"
