"Number","Team","FullName","Position","ClubCountry","Club","IsCaptain","DateOfBirth"
"10","Mexico","","FW","MEX","Tiburones Rojos de Veracruz","FALSE","1/17/1973"
"11","Mexico","Carlos Vela","FW","ENG","Arsenal F.C.","FALSE","3/1/1989"
"12","Mexico","Paul Aguilar","DF","MEX","C.F. Pachuca","FALSE","3/6/1986"
"13","Mexico","Guillermo Ochoa","GK","MEX","Club AmÃ©rica","FALSE","7/13/1985"
"14","Mexico","","FW","MEX","C.D. Guadalajara","FALSE","6/1/1988"
"15","Mexico","","DF","NED","AZ (football club)","FALSE","1/17/1988"
"16","Mexico","","DF","MEX","Club Universidad Nacional","FALSE","2/22/1988"
"17","Mexico","Giovani dos Santos","FW","TUR","Galatasaray S.K. (football team)","FALSE","5/11/1989"
"18","Mexico","","MF","ESP","Deportivo de La CoruÃ±a","FALSE","9/28/1986"
"19","Mexico","","DF","MEX","C.D. Guadalajara","FALSE","11/21/1981"
"20","Mexico","Jorge Torres Nilo","DF","MEX","Club Atlas","FALSE","1/16/1988"
"21","Mexico","Adolfo Bautista","FW","MEX","C.D. Guadalajara","FALSE","5/15/1979"
"22","Mexico","Alberto Medina","MF","MEX","C.D. Guadalajara","FALSE","5/29/1983"
"23","Mexico","Luis Ernesto Michel","GK","MEX","C.D. Guadalajara","FALSE","7/21/1979"
"1","Uruguay","Fernando Muslera","GK","ITA","S.S. Lazio","FALSE","6/16/1986"
"2","Uruguay","Diego Lugano","DF","TUR","FenerbahÃ§e S.K.","TRUE","11/2/1980"
"3","Uruguay","","DF","ESP","Villarreal CF","FALSE","2/16/1986"
"4","Uruguay","Jorge Fucile","DF","POR","F.C. Porto","FALSE","11/19/1984"
"5","Uruguay","Walter Gargano","MF","ITA","S.S.C. Napoli","FALSE","7/23/1984"
"6","Uruguay","Mauricio Victorino","DF","CHI","C.F. Universidad de Chile","FALSE","10/11/1982"
"7","Uruguay","Edinson Cavani","FW","ITA","U.S. CittÃ  di Palermo","FALSE","2/14/1987"
"8","Uruguay","","MF","SWE","AIK Fotboll","FALSE","1/8/1981"
"9","Uruguay","","FW","NED","AFC Ajax","FALSE","1/24/1987"
"10","Uruguay","","FW","ESP","AtlÃ©tico Madr","FALSE","5/19/1979"
"11","Uruguay","Ãlvaro Pereira","MF","POR","F.C. Porto","FALSE","11/28/1985"
"12","Uruguay","Juan Guillermo Castillo","GK","COL","Deportivo Ca","FALSE","4/17/1978"
"13","Uruguay","","FW","BRA","Botafogo de Futebol e Regatas","FALSE","10/17/1976"
"14","Uruguay","","MF","NED","AFC Ajax","FALSE","3/21/1989"
"15","Uruguay","","MF","FRA","AS Monaco FC","FALSE","5/18/1980"
"16","Uruguay","Maximiliano Pereira","DF","POR","S.L. Benfica","FALSE","6/8/1984"
"17","Uruguay","","MF","URU","C.A. PeÃ±arol","FALSE","1/1/1982"
"18","Uruguay","","MF","ESP","Valencia CF","FALSE","5/14/1982"
"19","Uruguay","","DF","CHI","Colo-Co","FALSE","12/14/1974"
"20","Uruguay","","MF","CHI","C.F. Universidad de Chile","FALSE","10/11/1985"
"21","Uruguay","","FW","ARG","Club AtlÃ©tico Banfield","FALSE","5/23/1985"
"22","Uruguay","","DF","ESP","FC Sevilla","FALSE","4/7/1987"
"23","Uruguay","","GK","URU","Defensor Sporti","FALSE","3/25/1983"
"1","France","Hugo Lloris","GK","FRA","Olympique Lyonnais","FALSE","12/26/1986"
"2","France","Bacary Sagna","DF","ENG","Arsenal F.C.","FALSE","2/14/1983"
"3","France","","DF","ESP","FC Barcelona","FALSE","9/11/1979"
"4","France","","DF","FRA","Olympique Lyonnais","FALSE","11/10/1979"
"5","France","William Gallas","DF","ENG","Arsenal F.C.","FALSE","8/17/1977"
"6","France","Marc Planus","DF","FRA","FC Girondins de Bordeaux","FALSE","3/7/1982"
"7","France","","MF","GER","FC Bayern Munich","FALSE","4/7/1983"
"8","France","Yoann Gourcuff","MF","FRA","Olympique Lyonnais","FALSE","7/11/1986"
"9","France","","FW","GRE","Panathinaikos F.C.","FALSE","8/12/1981"
"10","France","Sidney Govou","FW","FRA","Olympique Lyonnais","FALSE","7/27/1979"
"11","France","","FW","FRA","Olympique de Marseille","FALSE","12/5/1985"
"12","France","Thierry Henry","FW","ESP","FC Barcelona","FALSE","8/17/1977"
"13","France","Patrice Evra","DF","ENG","Manchester United F.C.","TRUE","5/15/1981"
"14","France","","MF","FRA","Olympique Lyonnais","FALSE","9/10/1983"
"15","France","Florent Malouda","MF","ENG","Chelsea F.C.","FALSE","6/13/1980"
"16","France","Steve Mandanda","GK","FRA","Olympique de Marseille","FALSE","3/28/1985"
"17","France","","DF","ENG","Arsenal F.C.","FALSE","8/11/1980"
"18","France","Alou Diarra","MF","FRA","FC Girondins de Bordeaux","FALSE","7/15/1981"
"19","France","Abou Diaby","MF","ENG","Arsenal F.C.","FALSE","5/11/1986"
"20","France","Mathieu Valbuena","MF","FRA","Olympique de Marseille","FALSE","9/28/1984"
"21","France","Nicolas Anelka","FW","ENG","Chelsea F.C.","FALSE","3/14/1979"
"22","France","","DF","ENG","Arsenal F.C.","FALSE","7/26/1985"
"23","France","","GK","FRA","FC Girondins de Bordeaux","FALSE","12/30/1981"
"1","Argentina","Diego Pozo","GK","ARG","Club AtlÃ©tico ColÃ³n","FALSE","2/16/1978"
"2","Argentina","","DF","GER","FC Bayern Munich","FALSE","12/20/1980"
"3","Argentina","","DF","ARG","Estudiantes de La Plata","FALSE","7/31/1981"
"4","Argentina","","DF","ITA","A.S. Roma","FALSE","4/12/1981"
"5","Argentina","Mario Bolatti","MF","ITA","ACF Fiorentina","FALSE","2/17/1985"
"6","Argentina","Gabriel Heinze","DF","FRA","Olympique de Marseille","FALSE","4/19/1978"
"7","Argentina","","MF","POR","S.L. Benfica","FALSE","2/14/1988"
"8","Argentina","","MF","ARG","Estudiantes de La Plata","FALSE","3/9/1975"
"9","Argentina","","FW","ESP","Real Madrid C.F.","FALSE","12/10/1987"
"10","Argentina","Lionel Messi","FW","ESP","FC Barcelona","FALSE","6/24/1987"
"11","Argentina","","FW","ENG","Manchester City F.C.","FALSE","2/5/1984"
"12","Argentina","","DF","ARG","Club AtlÃ©tico ColÃ³n","FALSE","7/14/1979"
"13","Argentina","Walter Samuel","DF","ITA","F.C. Internazionale Milano","FALSE","3/23/1978"
"14","Argentina","Javier Mascherano","MF","ENG","Liverpool F.C.","TRUE","6/8/1984"
"15","Argentina","","DF","ARG","Club AtlÃ©tico VÃ©lez SÃ¡rsfield","FALSE","2/12/1988"
"16","Argentina","","FW","ESP","AtlÃ©tico Madr","FALSE","6/2/1988"
"17","Argentina","","MF","ENG","Newcastle United F.C.","FALSE","7/5/1983"
"18","Argentina","","FW","ARG","Boca Junio","FALSE","11/7/1973"
"19","Argentina","Diego Milito","FW","ITA","F.C. Internazionale Milano","FALSE","6/12/1979"
"20","Argentina","","MF","ENG","Liverpool F.C.","FALSE","1/2/1981"
"21","Argentina","Mariano AndÃºjar","GK","ITA","Calcio Catania","FALSE","7/30/1983"
"22","Argentina","Sergio Romero","GK","NED","AZ (football club)","FALSE","2/22/1987"
"23","Argentina","Javier Pastore","MF","ITA","U.S. CittÃ  di Palermo","FALSE","6/20/1989"
"1","Nigeria","Vincent Enyeama","GK","ISR","Hapoel Tel Aviv F.C.","FALSE","8/29/1982"
"2","Nigeria","Joseph Yobo","DF","ENG","Everton F.C.","TRUE","9/6/1980"
"3","Nigeria","Taye Taiwo","DF","FRA","Olympique de Marseille","FALSE","4/16/1985"
"4","Nigeria","Nwankwo Kanu","FW","ENG","Portsmouth F.C.","FALSE","8/1/1976"
"5","Nigeria","Rabiu Afolabi","DF","AUT","FC Red Bull Salzburg","FALSE","4/18/1980"
"6","Nigeria","Danny Shittu","DF","ENG","Bolton Wanderers F.C.","FALSE","9/2/1980"
"7","Nigeria","John Utaka","FW","ENG","Portsmouth F.C.","FALSE","1/8/1982"
"8","Nigeria","Yakubu Aiyegbeni","FW","ENG","Everton F.C.","FALSE","11/22/1982"
"9","Nigeria","Obafemi Martins","FW","GER","VfL Wolfsbu","FALSE","10/28/1984"
"10","Nigeria","","FW","FRA","FC Sochaux-MontbÃ©liard","FALSE","10/10/1988"
"11","Nigeria","Peter Odemwingie","FW","RUS","FC Lokomotiv Moscow","FALSE","7/15/1981"
"12","Nigeria","Kalu Uche","FW","ESP","UD AlmerÃ­a","FALSE","11/15/1982"
"13","Nigeria","Ayila Yussuf","MF","UKR","FC Dynamo Kyiv","FALSE","11/4/1984"
"14","Nigeria","Sani Kaita","MF","RUS","FC Alania Vladikavkaz","FALSE","5/2/1986"
"15","Nigeria","Lukman Haruna","MF","FRA","AS Monaco FC","FALSE","4/12/1990"
"16","Nigeria","Austin Ejide","GK","ISR","Hapoel Petah Tikva F.C.","FALSE","4/8/1984"
"17","Nigeria","Chidi Odiah","DF","RUS","PFC CSKA Moscow","FALSE","12/17/1983"
"18","Nigeria","Victor Nsofor Obinna","FW","ESP","MÃ¡laga CF","FALSE","3/25/1987"
"19","Nigeria","Chinedu Obasi","FW","GER","TSG 1899 Hoffenheim","FALSE","6/1/1986"
"20","Nigeria","Dickson Etuhu","MF","ENG","Fulham F.C.","FALSE","6/8/1982"
"21","Nigeria","","DF","FRA","Stade Rennais F.C.","FALSE","1/20/1988"
"22","Nigeria","Dele Adeleye","DF","NED","Sparta Rotterd","FALSE","12/25/1988"
"23","Nigeria","Dele Aiyenugba","GK","ISR","Bnei Yehuda Tel Aviv F.C.","FALSE","11/20/1983"
"1","Korea Republic","Lee Woon-Jae","GK","KOR","Suwon Samsung Bluewin","FALSE","4/26/1973"
"2","Korea Republic","Oh Beom-Seok","DF","KOR","Ulsan Hyundai FC","FALSE","7/29/1984"
"3","Korea Republic","Kim Hyung-Il","DF","KOR","Pohang Steele","FALSE","4/27/1984"
"4","Korea Republic","Cho Yong-Hyung","MF","KOR","Jeju United FC","FALSE","11/3/1983"
"5","Korea Republic","Kim Nam-Il","MF","RUS","FC Tom Tomsk","FALSE","3/14/1977"
"6","Korea Republic","Kim Bo-Kyung","MF","JPN","Oita Trini","FALSE","10/6/1989"
"7","Korea Republic","Park Ji-Sung","MF","ENG","Manchester United F.C.","TRUE","2/25/1981"
"8","Korea Republic","Kim Jung-Woo","FW","KOR","Sangju Sangmu Phoenix","FALSE","5/9/1982"
"9","Korea Republic","Ahn Jung-Hwan","FW","CHN","Dalian Shide F.C.","FALSE","1/27/1976"
"10","Korea Republic","Park Chu-Young","FW","FRA","AS Monaco FC","FALSE","7/10/1985"
"11","Korea Republic","Lee Seung-Yeoul","FW","KOR","FC Seo","FALSE","3/6/1989"
"12","Korea Republic","Lee Young-Pyo","DF","KSA","Al-Hilal Riyadh","FALSE","4/23/1977"
"13","Korea Republic","Kim Jae-Sung","MF","KOR","Pohang Steele","FALSE","10/3/1983"
"14","Korea Republic","Lee Jung-Soo","DF","JPN","Kashima Antle","FALSE","1/8/1980"
"15","Korea Republic","Kim Dong-Jin","DF","KOR","Ulsan Hyundai FC","FALSE","1/29/1982"
"16","Korea Republic","Ki Sung-Yong","MF","SCO","Celtic F.C.","FALSE","1/24/1989"
"17","Korea Republic","Lee Chung-Yong","MF","ENG","Bolton Wanderers F.C.","FALSE","7/2/1988"
"18","Korea Republic","Jung Sung-Ryong","GK","KOR","Seongnam Ilhwa Chun","FALSE","1/4/1985"
"19","Korea Republic","Yeom Ki-Hun","FW","KOR","Suwon Samsung Bluewin","FALSE","3/30/1983"
"20","Korea Republic","Lee Dong-Gook","FW","KOR","Jeonbuk Hyundai Moto","FALSE","4/29/1979"
"21","Korea Republic","Kim Young-Kwang","GK","KOR","Ulsan Hyundai FC","FALSE","6/28/1983"
"22","Korea Republic","Cha Du-Ri","DF","GER","SC Freibu","FALSE","7/25/1980"
"23","Korea Republic","Kang Min-Soo","DF","KOR","Suwon Samsung Bluewin","FALSE","2/14/1986"
"1","Greece","Kostas Chalkias","GK","GRE","PAOK F.C.","FALSE","5/30/1974"
"2","Greece","Giourkas Seitaridis","DF","GRE","Panathinaikos F.C.","FALSE","6/4/1981"
"3","Greece","Christos Patsatzoglou","DF","CYP","AC Omonia","FALSE","3/19/1979"
"4","Greece","Nikos Spiropoulos","MF","GRE","Panathinaikos F.C.","FALSE","10/10/1983"
"5","Greece","Vangelis Moras","DF","ITA","Bologna F.C. 1909","FALSE","8/18/1981"
"6","Greece","Alexandros Tziolis","MF","ITA","A.C. Siena","FALSE","2/13/1985"
"7","Greece","Georgios Samaras","FW","SCO","Celtic F.C.","FALSE","2/21/1985"
"8","Greece","Avraam Papadopoulos","DF","GRE","Olympiacos F.C.","FALSE","1/3/1984"
"9","Greece","Angelos Charisteas","FW","GER","1. FC NÃ¼rnbe","FALSE","2/9/1980"
"10","Greece","Giorgos Karagounis","MF","GRE","Panathinaikos F.C.","TRUE","3/6/1977"
"11","Greece","Loukas Vyntra","DF","GRE","Panathinaikos F.C.","FALSE","2/5/1981"
"12","Greece","Alexandros Tzorvas","GK","GRE","Panathinaikos F.C.","FALSE","8/12/1982"
"13","Greece","Michalis Sifakis","GK","GRE","Aris Thessaloniki F.C.","FALSE","9/9/1984"
"14","Greece","Dimitris Salpingidis","FW","GRE","Panathinaikos F.C.","FALSE","8/18/1981"
"15","Greece","Vasilis Torosidis","DF","GRE","Olympiacos F.C.","FALSE","6/10/1985"
"16","Greece","Sotirios Kyrgiakos","DF","ENG","Liverpool F.C.","FALSE","7/23/1979"
"17","Greece","Theofanis Gekas","FW","GER","Hertha B","FALSE","5/23/1980"
"18","Greece","Sotiris Ninis","MF","GRE","Panathinaikos F.C.","FALSE","4/3/1990"
"19","Greece","Sokratis Papastathopoulos","DF","ITA","Genoa C.F.C.","FALSE","6/9/1988"
"20","Greece","Pantelis Kapetanos","FW","ROM","FC Steaua BucureÅŸti","FALSE","6/8/1983"
"21","Greece","Kostas Katsouranis","MF","GRE","Panathinaikos F.C.","FALSE","6/21/1979"
"22","Greece","Stelios Malezas","DF","GRE","PAOK F.C.","FALSE","3/11/1985"
"23","Greece","Athanassios Prittas","MF","GRE","Aris Thessaloniki F.C.","FALSE","1/9/1979"
"1","England","David James (footballer)","GK","ENG","Portsmouth F.C.","FALSE","8/1/1970"
"2","England","Glen Johnson (English footballer)","DF","ENG","Liverpool F.C.","FALSE","8/23/1984"
"3","England","Ashley Cole","DF","ENG","Chelsea F.C.","FALSE","12/20/1980"
"4","England","Steven Gerrard","MF","ENG","Liverpool F.C.","TRUE","5/30/1980"
"5","England","Michael Dawson (footballer)","DF","ENG","Tottenham Hotspur F.C.","FALSE","11/18/1983"
"6","England","John Terry","DF","ENG","Chelsea F.C.","FALSE","12/7/1980"
"7","England","Aaron Lennon","MF","ENG","Tottenham Hotspur F.C.","FALSE","4/16/1987"
"8","England","Frank Lampard","MF","ENG","Chelsea F.C.","FALSE","6/20/1978"
"9","England","Peter Crouch","FW","ENG","Tottenham Hotspur F.C.","FALSE","1/30/1981"
"10","England","Wayne Rooney","FW","ENG","Manchester United F.C.","FALSE","10/24/1985"
"11","England","Joe Cole","MF","ENG","Chelsea F.C.","FALSE","11/8/1981"
"12","England","Robert Green","GK","ENG","West Ham United F.C.","FALSE","1/18/1980"
"13","England","Stephen Warnock","DF","ENG","Aston Villa F.C.","FALSE","12/12/1981"
"14","England","Gareth Barry","MF","ENG","Manchester City F.C.","FALSE","2/23/1981"
"15","England","Matthew Upson","DF","ENG","West Ham United F.C.","FALSE","4/18/1979"
"16","England","James Milner","MF","ENG","Aston Villa F.C.","FALSE","1/4/1986"
"17","England","Shaun Wright-Phillips","MF","ENG","Manchester City F.C.","FALSE","10/25/1981"
"18","England","Jamie Carragher","DF","ENG","Liverpool F.C.","FALSE","1/28/1978"
"19","England","Jermain Defoe","FW","ENG","Tottenham Hotspur F.C.","FALSE","10/7/1982"
"20","England","Ledley King","DF","ENG","Tottenham Hotspur F.C.","FALSE","10/12/1980"
"21","England","Emile Heskey","FW","ENG","Aston Villa F.C.","FALSE","1/11/1978"
"22","England","Michael Carrick","MF","ENG","Manchester United F.C.","FALSE","7/28/1981"
"23","England","Joe Hart","GK","ENG","Birmingham City F.C.","FALSE","4/19/1987"
"1","United States","Tim Howard","GK","ENG","Everton F.C.","FALSE","3/6/1979"
"2","United States","Jonathan Spector","DF","ENG","West Ham United F.C.","FALSE","3/1/1986"
"3","United States","Carlos Bocanegra","DF","FRA","Stade Rennais F.C.","TRUE","5/25/1979"
"4","United States","Michael Bradley","MF","GER","Borussia MÃ¶nchengladba","FALSE","7/31/1987"
"5","United States","Oguchi Onyewu","DF","ITA","A.C. Milan","FALSE","5/13/1982"
"6","United States","Steve Cherundolo","DF","GER","Hannover ","FALSE","2/19/1979"
"7","United States","DaMarcus Beasley","MF","SCO","Rangers F.C.","FALSE","5/24/1982"
"8","United States","Clint Dempsey","MF","ENG","Fulham F.C.","FALSE","3/9/1983"
"9","United States","Herculez Gomez","FW","MEX","Puebla F.C.","FALSE","4/6/1982"
"10","United States","Landon Donovan","MF","USA","Los Angeles Gala","FALSE","3/4/1982"
"11","United States","Stuart Holden","MF","ENG","Bolton Wanderers F.C.","FALSE","8/1/1985"
"12","United States","Jonathan Bornstein","DF","USA","C.D. Chivas USA","FALSE","11/7/1984"
"13","United States","Ricardo Clark","MF","GER","Eintracht Frankfu","FALSE","3/10/1983"
"14","United States","Edson Buddle","FW","USA","Los Angeles Gala","FALSE","5/21/1981"
"15","United States","Jay DeMerit","DF","ENG","Watford F.C.","FALSE","12/4/1979"
"16","United States","","MF","MEX","C.F. Pachuca","FALSE","10/29/1987"
"17","United States","Jozy Altidore","FW","ENG","Hull City A.F.C.","FALSE","11/6/1989"
"18","United States","Brad Guzan","GK","ENG","Aston Villa F.C.","FALSE","9/9/1984"
"19","United States","Maurice Edu","MF","SCO","Rangers F.C.","FALSE","4/18/1986"
"20","United States","Robbie Findley","FW","USA","Real Salt La","FALSE","8/4/1985"
"21","United States","Clarence Goodson","DF","NOR","IK Start","FALSE","5/17/1982"
"22","United States","Benny Feilhaber","MF","DEN","Aarhus Gymnastikforening","FALSE","1/19/1985"
"23","United States","Marcus Hahnemann","GK","ENG","Wolverhampton Wanderers F.C.","FALSE","6/15/1972"
"1","United States","","GK","ALG","ASO Chl","FALSE","9/28/1977"
"2","United States","Madjid Bougherra","DF","SCO","Rangers F.C.","FALSE","10/7/1982"
"3","United States","Nadir Belhadj","DF","ENG","Portsmouth F.C.","FALSE","6/18/1982"
"4","United States","Antar Yahia","DF","GER","VfL Boch","TRUE","3/21/1982"
"5","United States","Rafik Halliche","DF","POR","C.D. Nacional","FALSE","9/2/1986"
"6","United States","Yazid Mansouri","MF","FRA","FC Lorient","FALSE","2/25/1978"
"7","United States","Ryad Boudebouz","MF","FRA","FC Sochaux-MontbÃ©liard","FALSE","2/19/1990"
"8","United States","Medhi Lacen","MF","ESP","Racing de Santander","FALSE","1984-15-5"
"9","United States","Abdelkader Ghezzal","FW","ITA","A.C. Siena","FALSE","12/5/1984"
"10","United States","","FW","FRA","FC Istres","FALSE","2/7/1975"
"11","United States","Rafik Djebbour","FW","GRE","AEK Athens F.C.","FALSE","3/8/1984"
"12","United States","","DF","GER","Eintracht Frankfu","FALSE","3/28/1986"
"13","United States","Karim Matmour","FW","GER","Borussia MÃ¶nchengladba","FALSE","6/25/1984"
"14","United States","","DF","ALG","ES SÃ©t","FALSE","7/29/1981"
"15","United States","Karim Ziani","MF","GER","VfL Wolfsbu","FALSE","8/17/1982"
"16","United States","Faouzi Chaouchi","GK","ALG","ES SÃ©t","FALSE","12/5/1984"
"17","United States","","MF","ENG","Wolverhampton Wanderers F.C.","FALSE","11/12/1985"
"18","United States","Carl Medjani","DF","FRA","AC Ajaccio","FALSE","5/15/1985"
"19","United States","Hassan Yebda","MF","ENG","Portsmouth F.C.","FALSE","4/14/1984"
"20","United States","Djamel Mesbah","DF","ITA","U.S. Lecce","FALSE","10/9/1984"
"21","United States","Foued Kadir","MF","FRA","Valenciennes FC","FALSE","12/5/1983"
"22","United States","Djamel Abdoun","MF","FRA","FC Nantes","FALSE","2/14/1986"
"23","United States","","GK","BUL","PFC Slavia Sofia","FALSE","4/25/1986"
"1","Algeria","","GK","ALG","ASO Chl","FALSE","9/28/1977"
"2","Algeria","Madjid Bougherra","DF","SCO","Rangers F.C.","FALSE","10/7/1982"
"3","Algeria","Nadir Belhadj","DF","ENG","Portsmouth F.C.","FALSE","6/18/1982"
"4","Algeria","Antar Yahia","DF","GER","VfL Boch","TRUE","3/21/1982"
"5","Algeria","Rafik Halliche","DF","POR","C.D. Nacional","FALSE","9/2/1986"
"6","Algeria","Yazid Mansouri","MF","FRA","FC Lorient","FALSE","2/25/1978"
"7","Algeria","Ryad Boudebouz","MF","FRA","FC Sochaux-MontbÃ©liard","FALSE","2/19/1990"
"8","Algeria","Medhi Lacen","MF","ESP","Racing de Santander","FALSE","1984-15-5"
"9","Algeria","Abdelkader Ghezzal","FW","ITA","A.C. Siena","FALSE","12/5/1984"
"10","Algeria","","FW","FRA","FC Istres","FALSE","2/7/1975"
"11","Algeria","Rafik Djebbour","FW","GRE","AEK Athens F.C.","FALSE","3/8/1984"
"12","Algeria","","DF","GER","Eintracht Frankfu","FALSE","3/28/1986"
"13","Algeria","Karim Matmour","FW","GER","Borussia MÃ¶nchengladba","FALSE","6/25/1984"
"14","Algeria","","DF","ALG","ES SÃ©t","FALSE","7/29/1981"
"15","Algeria","Karim Ziani","MF","GER","VfL Wolfsbu","FALSE","8/17/1982"
"16","Algeria","Faouzi Chaouchi","GK","ALG","ES SÃ©t","FALSE","12/5/1984"
"17","Algeria","","MF","ENG","Wolverhampton Wanderers F.C.","FALSE","11/12/1985"
"18","Algeria","Carl Medjani","DF","FRA","AC Ajaccio","FALSE","5/15/1985"
"19","Algeria","Hassan Yebda","MF","ENG","Portsmouth F.C.","FALSE","4/14/1984"
"20","Algeria","Djamel Mesbah","DF","ITA","U.S. Lecce","FALSE","10/9/1984"
"21","Algeria","Foued Kadir","MF","FRA","Valenciennes FC","FALSE","12/5/1983"
"22","Algeria","Djamel Abdoun","MF","FRA","FC Nantes","FALSE","2/14/1986"
"23","Algeria","","GK","BUL","PFC Slavia Sofia","FALSE","4/25/1986"
"1","Slovenia","","GK","ITA","Udinese Calcio","FALSE","7/14/1984"
"2","Slovenia","","DF","GER","1. FC KÃ¶","FALSE","5/1/1984"
"3","Slovenia","","DF","SVN","NK Maribor","FALSE","8/25/1985"
"4","Slovenia","","DF","BEL","K.A.A. Gent","FALSE","3/9/1983"
"5","Slovenia","","DF","FRA","Grenoble Foot 38","FALSE","7/9/1982"
"6","Slovenia","Branko IliÄ","DF","RUS","FC Lokomotiv Moscow","FALSE","2/6/1983"
"7","Slovenia","Nejc PeÄnik","FW","POR","C.D. Nacional","FALSE","1/3/1986"
"8","Slovenia","Robert Koren","MF","ENG","West Bromwich Albion F.C.","TRUE","9/20/1980"
"9","Slovenia","Zlatan LjubijankiÄ","FW","BEL","K.A.A. Gent","FALSE","12/15/1983"
"10","Slovenia","Valter Birsa","FW","FRA","AJ Auxerre","FALSE","8/7/1986"
"11","Slovenia","Milivoje NovakoviÄ","FW","GER","1. FC KÃ¶","FALSE","5/18/1979"
"12","Slovenia","Jasmin HandanoviÄ","GK","ITA","A.C. Mantova","FALSE","1/28/1978"
"13","Slovenia","","DF","ITA","A.C. Chievo Verona","FALSE","5/17/1986"
"14","Slovenia","Zlatko DediÄ","FW","GER","VfL Boch","FALSE","5/10/1984"
"15","Slovenia","Rene Krhin","MF","ITA","F.C. Internazionale Milano","FALSE","5/21/1990"
"16","Slovenia","","GK","NED","Sparta Rotterd","FALSE","2/1/1980"
"17","Slovenia","","MF","POL","WisÅ‚a KrakÃ","FALSE","9/6/1984"
"18","Slovenia","","MF","GRE","Larissa F.C.","FALSE","4/25/1979"
"19","Slovenia","Suad FilekoviÄ","DF","SVN","NK Maribor","FALSE","9/16/1978"
"20","Slovenia","Andrej Komac","MF","ISR","Maccabi Tel Aviv F.C.","FALSE","12/4/1979"
"21","Slovenia","Dalibor StevanoviÄ","MF","NED","Vites","FALSE","9/27/1984"
"22","Slovenia","Matej MavriÄ","DF","GER","TuS Koble","FALSE","1/29/1979"
"23","Slovenia","","FW","NED","FC Groningen","FALSE","1/13/1989"
"1","Germany","Manuel Neuer","GK","GER","FC Schalke 04","FALSE","3/27/1986"
"2","Germany","Marcell Jansen","DF","GER","Hamburger ","FALSE","11/4/1985"
