"Name","Club","Country","Tag","Birthdate","Position"
"Reus; Marco","Borussia Dortmund","Deutschland","11","31.05.1989","MF"
"Schmelzer; Marcel","Borussia Dortmund","Deutschland","29","22.01.1988","DF"
"Bender; Sven","Borussia Dortmund","Deutschland","6","27.04.1989","MF"
"Großkreutz; Kevin","Borussia Dortmund","Deutschland","19","19.07.1988","MF"
"Ginter; Matthias","Borussia Dortmund","Deutschland","28","19.01.1994","DF"
"Januzaj; Adnan","Borussia Dortmund","Belgien","9","05.02.1995","MF"
"Mkhitaryan; Henrikh","Borussia Dortmund","Armenien","10","21.01.1989","MF"
"Subotic; Neven","Borussia Dortmund","Serbien","4","10.12.1988","DF"
"Park; Joo-Ho","Borussia Dortmund","Südkorea","3","16.01.1987","DF"
"Weidenfeller; Roman","Borussia Dortmund","Deutschland","1","06.08.1980","GK"
"Hummels; Mats","Borussia Dortmund","Deutschland","15","16.12.1988","DF"
"Bürki; Roman","Borussia Dortmund","Schweiz","38","14.11.1990","GK"
"Weigl; Julian","Borussia Dortmund","Deutschland","33","08.09.1995","MF"
"Gündogan; Ilkay","Borussia Dortmund","Deutschland","8","24.10.1990","MF"
"Durm; Erik","Borussia Dortmund","Deutschland","37","12.05.1992","DF"
"Piszczek; Lukasz","Borussia Dortmund","Polen","26","03.06.1985","DF"
"Ramos; Adrian","Borussia Dortmund","Kolumbien","20","22.01.1986","FW"
"Castro; Gonzalo","Borussia Dortmund","Deutschland","27","11.06.1987","MF"
"Garcia; Santiago","Werder Bremen","Argentinien","2","08.07.1988","DF"
"Busch; Marnon","Werder Bremen","Deutschland","38","08.12.1994","DF"
"Wiedwald; Felix","Werder Bremen","Deutschland","42","15.03.1990","GK"
"Eggestein; Maximilian","Werder Bremen","Deutschland","35","08.12.1996","MF"
"Kroos; Felix","Werder Bremen","Deutschland","18","12.03.1991","MF"
"Galvez; Alejandro","Werder Bremen","Spanien","4","06.06.1989","DF"
"Ujah; Anthony","Werder Bremen","Nigeria","21","14.10.1990","FW"
"Zetterer; Michael","Werder Bremen","Deutschland","30","12.07.1995","GK"
"Aycicek; Levent","Werder Bremen","Deutschland","10","12.02.1994","MF"
"Garcia; Ulisses","Werder Bremen","Schweiz","20","11.01.1996","DF"
"Husic; Raif","Werder Bremen","Deutschland","40","05.02.1996","GK"
"Junuzovic; Zlatko","Werder Bremen","Österreich","16","26.09.1987","MF"
"Lorenzen; Melvyn","Werder Bremen","Deutschland","28","26.11.1994","FW"
"Grillitsch; Florian","Werder Bremen","Österreich","27","07.08.1995","MF"
"Pavlovic; Mateo","Werder Bremen","Kroatien","15","09.06.1990","DF"
"Wolf; Raphael","Werder Bremen","Deutschland","1","06.06.1988","GK"
"Yildirim; Özkan","Werder Bremen","Deutschland","17","10.04.1993","MF"
"Bargfrede; Philipp","Werder Bremen","Deutschland","44","03.03.1989","MF"
"Lukimya; Assani","Werder Bremen","DR Kongo","5","25.01.1986","DF"
"Hüsing; Oliver","Werder Bremen","Deutschland","25","17.02.1993","DF"
"Vestergaard; Jannik","Werder Bremen","Dänemark","7","03.08.1992","DF"
"Johannsson; Aron","Werder Bremen","USA","9","10.11.1990","FW"
"Gebre Selassie; Theodor","Werder Bremen","Tschechien","23","24.12.1986","DF"
"Sternberg; Janek","Werder Bremen","Deutschland","37","19.10.1992","DF"
"Zander; Luca-Milan","Werder Bremen","Deutschland","19","09.08.1995","DF"
"Fröde; Lukas","Werder Bremen","Deutschland","39","23.01.1995","MF"
"von Haacke; Julian","Werder Bremen","Deutschland","26","14.02.1994","MF"
"Bartels; Fin","Werder Bremen","Deutschland","22","07.02.1987","MF"
"Fritz; Clemens","Werder Bremen","Deutschland","8","07.12.1980","MF"
"Öztunali; Levin","Werder Bremen","Deutschland","11","15.03.1996","MF"
"Bobadilla; Raul","FC Augsburg","Paraguay","25","18.06.1987","FW"
"Janker; Christoph","FC Augsburg","Deutschland","16","14.02.1985","DF"
"Max; Philipp","FC Augsburg","Deutschland","31","30.09.1993","DF"
"Ekin; Arif","FC Augsburg","Türkei","37","14.09.1995","MF"
"Callsen-Bracker; Jan-Ingwer","FC Augsburg","Deutschland","18","23.09.1984","DF"
"Mölders; Sascha","FC Augsburg","Deutschland","33","20.03.1985","FW"
"Hong; Jeong-Ho","FC Augsburg","Südkorea","20","12.08.1989","DF"
"Manninger; Alexander","FC Augsburg","Österreich","1","04.06.1977","GK"
"Trochowski; Piotr","FC Augsburg","Deutschland","15","22.03.1984","MF"
"Opare; Daniel","FC Augsburg","Ghana","4","18.10.1990","DF"
"Feulner; Markus","FC Augsburg","Deutschland","8","12.02.1982","MF"
"Rieder; Tim","FC Augsburg","Deutschland","40","03.09.1993","DF"
"Parker; Shawn","FC Augsburg","Deutschland","9","07.03.1993","MF"
"Kohr; Dominik","FC Augsburg","Deutschland","21","31.01.1994","MF"
"Baier; Daniel","FC Augsburg","Deutschland","10","18.05.1984","MF"
"Ji; Dong-Won","FC Augsburg","Südkorea","22","28.05.1991","FW"
"Gelios; Ioannis","FC Augsburg","Griechenland","24","24.04.1992","GK"
"Klavan; Ragnar","FC Augsburg","Estland","5","30.10.1985","DF"
"Framberger; Raphael","FC Augsburg","Deutschland","32","06.09.1995","DF"
"Moravek; Jan","FC Augsburg","Tschechien","14","01.11.1989","MF"
"Schuster; Marco","FC Augsburg","Deutschland","29","10.10.1995","MF"
"Uhde; Maik","FC Augsburg","Deutschland","39","23.05.1994","DF"
"Matavz; Tim","FC Augsburg","Slowenien","23","13.01.1989","FW"
"Koo; Ja-Cheol","FC Augsburg","Südkorea","19","27.02.1989","MF"
"Altintop; Halil","FC Augsburg","Türkei","7","08.12.1982","MF"
"Oettl; Yannik","FC Augsburg","Deutschland","28","19.11.1996","GK"
"Stafylidis; Konstantinos","FC Augsburg","Griechenland","3","02.12.1993","DF"
"Esswein; Alexander","FC Augsburg","Deutschland","11","25.03.1990","MF"
"Caiuby","FC Augsburg","Brasilien","30","14.07.1988","MF"
"Hitz; Marwin","FC Augsburg","Schweiz","35","18.09.1987","GK"
"Verhaegh; Paul","FC Augsburg","Niederlande","2","01.09.1983","DF"
"Kurz; Bastian","FC Augsburg","Deutschland","26","23.09.1996","DF"
"Reinthaler; Max","FC Augsburg","Italien","36","22.03.1995","MF"
"Werner; Tobias","FC Augsburg","Deutschland","13","19.07.1985","MF"
"Cleber","Hamburger SV","Brasilien","3","05.12.1990","DF"
"Djourou; Johan","Hamburger SV","Schweiz","5","18.01.1987","DF"
"Ekdal; Albin","Hamburger SV","Schweden","20","28.07.1989","MF"
"Drobny; Jaroslav","Hamburger SV","Tschechien","1","18.10.1979","GK"
"Hirzel; Andreas","Hamburger SV","Schweiz","30","25.03.1993","GK"
"Marcos; Ronny","Hamburger SV","Mosambik","31","01.10.1993","DF"
"Hunt; Aaron","Hamburger SV","Deutschland","14","04.09.1986","MF"
"Jung; Gideon","Hamburger SV","Deutschland","28","12.09.1994","DF"
"Schipplock; Sven","Hamburger SV","Deutschland","9","08.11.1988","FW"
"Stieber; Zoltan","Hamburger SV","Ungarn","17","16.10.1988","MF"
"Götz; Ashton-Phillip","Hamburger SV","Deutschland","39","16.07.1993","DF"
"Lasogga; Pierre-Michel","Hamburger SV","Deutschland","10","15.12.1991","FW"
"Kacar; Gojko","Hamburger SV","Serbien","40","26.01.1987","MF"
"Müller; Philipp","Hamburger SV","Deutschland","26","03.03.1995","FW"
"Müller; Nicolai","Hamburger SV","Deutschland","27","25.09.1987","MF"
"Spahic; Emir","Hamburger SV","Bosnien-Herzegowina","4","18.08.1980","DF"
"Rudnevs; Artjoms","Hamburger SV","Lettland","16","13.01.1988","FW"
"Ostrzolek; Matthias","Hamburger SV","Deutschland","22","05.06.1990","DF"
"Diaz; Marcelo","Hamburger SV","Chile","21","30.12.1986","MF"
"Olic; Ivica","Hamburger SV","Kroatien","11","14.09.1979","FW"
"Diekmeier; Dennis","Hamburger SV","Deutschland","2","20.10.1989","DF"
"Holtby; Lewis","Hamburger SV","Deutschland","8","18.09.1990","MF"
"Adler; René","Hamburger SV","Deutschland","15","15.01.1985","GK"
"Gregoritsch; Michael","Hamburger SV","Österreich","23","18.04.1994","FW"
"Altintas; Batuhan","Hamburger SV","Türkei","33","14.03.1996","FW"
"Sakai; Gotoku","Hamburger SV","Japan","24","14.03.1991","DF"
"Ilicevic; Ivo","Hamburger SV","Kroatien","7","14.11.1986","MF"
"Vogt; Kevin","1. FC Köln","Deutschland","6","23.09.1991","MF"
"Olkowski; Pawel","1. FC Köln","Polen","16","13.02.1990","DF"
"Osako; Yuya","1. FC Köln","Japan","13","18.05.1990","FW"
"Nagasawa; Kazuki","1. FC Köln","Japan","25","16.12.1991","MF"
"Kessler; Thomas","1. FC Köln","Deutschland","18","20.01.1986","GK"
"Sörensen; Frederik","1. FC Köln","Dänemark","4","14.04.1992","DF"
"Bittencourt; Leonardo","1. FC Köln","Deutschland","21","19.12.1993","MF"
"Modeste; Anthony","1. FC Köln","Frankreich","27","14.04.1988","FW"
"Finne; Bard","1. FC Köln","Norwegen","26","13.02.1995","FW"
"Hosiner; Philipp","1. FC Köln","Österreich","15","15.05.1989","FW"
"Maroh; Dominic","1. FC Köln","Slowenien","5","04.03.1987","DF"
"Gerhardt; Yannick","1. FC Köln","Deutschland","31","13.03.1994","MF"
"Svento; Dusan","1. FC Köln","Slowakei","29","01.08.1985","MF"
"Mesenhöler; Daniel","1. FC Köln","Deutschland","37","24.07.1995","GK"
"Heintz; Dominique","1. FC Köln","Deutschland","3","15.08.1993","DF"
"Risse; Marcel","1. FC Köln","Deutschland","7","17.12.1989","MF"
"Mavraj; Mergim","1. FC Köln","Albanien","19","09.06.1986","DF"
"Jojic; Milos","1. FC Köln","Serbien","8","19.03.1992","MF"
"Hector; Jonas","1. FC Köln","Deutschland","14","27.05.1990","DF"
"Lehmann; Matthias","1. FC Köln","Deutschland","33","28.05.1983","MF"
"Zoller; Simon","1. FC Köln","Deutschland","11","26.06.1991","FW"
"Horn; Timo","1. FC Köln","Deutschland","1","12.05.1993","GK"
"Jairo","1. FSV Mainz 05","Spanien","17","11.07.1993","MF"
"Zimling; Niki","1. FSV Mainz 05","Dänemark","25","19.04.1985","MF"
"Baumgartlinger; Julian","1. FSV Mainz 05","Österreich","14","02.01.1988","MF"
"Jara; Gonzalo","1. FSV Mainz 05","Chile","2","29.08.1985","DF"
"Huth; Jannik","1. FSV Mainz 05","Deutschland","33","15.04.1994","GK"
"Moritz; Christoph","1. FSV Mainz 05","Deutschland","8","27.01.1990","MF"
"Bengtsson; Pierre","1. FSV Mainz 05","Schweden","7","12.04.1988","DF"
"Cordoba; Jhon","1. FSV Mainz 05","Kolumbien","15","11.05.1993","FW"
"De Blasis; Pablo","1. FSV Mainz 05","Argentinien","32","04.02.1988","FW"
"Curci; Gianluca","1. FSV Mainz 05","Italien","23","12.07.1985","GK"
"Soto; Elkin","1. FSV Mainz 05","Kolumbien","19","04.08.1980","MF"
"Muto; Yoshinori","1. FSV Mainz 05","Japan","9","15.07.1992","FW"
"Niederlechner; Florian","1. FSV Mainz 05","Deutschland","31","24.10.1990","FW"
"Latza; Danny","1. FSV Mainz 05","Deutschland","6","07.12.1989","MF"
"Malli; Yunus","1. FSV Mainz 05","Deutschland","10","24.02.1992","MF"
"Bell; Stefan","1. FSV Mainz 05","Deutschland","16","24.08.1991","DF"
"Karius; Loris","1. FSV Mainz 05","Deutschland","1","22.06.1993","GK"
"Clemens; Christian","1. FSV Mainz 05","Deutschland","27","04.08.1991","MF"
"Bussmann; Gaetan","1. FSV Mainz 05","Frankreich","24","02.02.1991","DF"
"Beister; Maximilian","1. FSV Mainz 05","Deutschland","11","06.09.1990","MF"
"Bungert; Niko","1. FSV Mainz 05","Deutschland","26","24.10.1986","DF"
"Brosinski; Daniel","1. FSV Mainz 05","Deutschland","18","17.07.1988","DF"
"Frei; Fabian","1. FSV Mainz 05","Schweiz","20","08.01.1989","MF"
"Parker; Devante","1. FSV Mainz 05","Deutschland","29","16.03.1996","MF"
"Serdar; Suat","1. FSV Mainz 05","Deutschland","xx","11.04.1997","MF"
"Nedelev; Todor","1. FSV Mainz 05","Bulgarien","28","07.02.1993","MF"
"Balogun; Leon","1. FSV Mainz 05","Nigeria","3","28.06.1988","DF"
"Sereno; Henrique","1. FSV Mainz 05","Portugal","5","18.05.1985","DF"
"Rafinha","Bayern München","Brasilien","13","07.09.1985","DF"
"Kimmich; Joshua","Bayern München","Deutschland","32","08.02.1995","MF"
"Badstuber; Holger","Bayern München","Deutschland","28","13.03.1989","DF"
"Green; Julian","Bayern München","USA","37","06.06.1995","MF"
"Coman; Kingsley","Bayern München","Frankreich","29","13.06.1996","MF"
"Gaudino; Gianluca","Bayern München","Deutschland","16","11.11.1996","MF"
"Javi Martinez","Bayern München","Spanien","8","02.09.1988","DF"
"Rode; Sebastian","Bayern München","Deutschland","20","11.10.1990","MF"
"Robben; Arjen","Bayern München","Niederlande","10","23.01.1984","MF"
"Vidal; Arturo","Bayern München","Chile","23","22.05.1987","MF"
"Boateng; Jerome","Bayern München","Deutschland","17","03.09.1988","DF"
"Ulreich; Sven","Bayern München","Deutschland","26","03.08.1988","GK"
"Xabi Alonso","Bayern München","Spanien","14","25.11.1981","MF"
"Kirchhoff; Jan","Bayern München","Deutschland","15","01.10.1990","DF"
"Neuer; Manuel","Bayern München","Deutschland","1","27.03.1986","GK"
"Kurt; Sinan","Bayern München","Deutschland","24","23.07.1996","FW"
"Douglas Costa","Bayern München","Brasilien","11","14.09.1990","MF"
"Götze; Mario","Bayern München","Deutschland","19","03.06.1992","MF"
"Lahm; Philipp","Bayern München","Deutschland","21","11.11.1983","MF"
"Thiago","Bayern München","Spanien","6","11.04.1991","MF"
"Starke; Tom","Bayern München","Deutschland","22","18.03.1981","GK"
"Alaba; David","Bayern München","Österreich","27","24.06.1992","DF"
"Müller; Thomas","Bayern München","Deutschland","25","13.09.1989","MF"
"Ribery; Franck","Bayern München","Frankreich","7","07.04.1983","MF"
"Juan Bernat","Bayern München","Spanien","18","01.03.1993","DF"
"Lewandowski; Robert","Bayern München","Polen","9","21.08.1988","FW"
"Weihrauch; Patrick","Bayern München","Deutschland","xx","03.03.1994","FW"
"Benatia; Medhi","Bayern München","Marokko","5","17.04.1987","DF"
"Prib; Edgar","Hannover 96","Deutschland","7","15.12.1989","MF"
"Hirsch; Maurice","Hannover 96","Deutschland","23","30.05.1993","MF"
"Schmiedebach; Manuel","Hannover 96","Deutschland","8","05.12.1988","MF"
"Saint-Maximin; Allan","Hannover 96","Frankreich","14","12.03.1997","FW"
"Zieler; Ron-Robert","Hannover 96","Deutschland","1","12.02.1989","GK"
"Gülselam; Ceyhun","Hannover 96","Türkei","6","25.12.1987","MF"
"Klaus; Felix","Hannover 96","Deutschland","11","13.09.1992","MF"
"Albornoz; Miiko","Hannover 96","Chile","3","30.11.1990","DF"
"Bähre; Mike-Steven","Hannover 96","Deutschland","33","10.08.1995","MF"
"Kiyotake; Hiroshi","Hannover 96","Japan","10","12.11.1989","MF"
"Rankovic; Vladimir","Hannover 96","Deutschland","27","27.06.1993","DF"
"Schulz; Christian","Hannover 96","Deutschland","19","01.04.1983","DF"
"Andreasen; Leon","Hannover 96","Dänemark","2","23.04.1983","MF"
"Königsmann; Timo","Hannover 96","Deutschland","40","05.04.1997","GK"
"Sané; Salif","Hannover 96","Senegal","5","25.08.1990","MF"
"Anton; Waldemar","Hannover 96","Deutschland","31","20.07.1996","DF"
"Sorg; Oliver","Hannover 96","Deutschland","29","29.05.1990","DF"
"Radlinger; Samuel","Hannover 96","Österreich","30","07.11.1992","GK"
"Teichgräber; Niklas","Hannover 96","Deutschland","37","07.02.1996","DF"
"Erdinc; Mevlüt","Hannover 96","Türkei","39","25.02.1987","FW"
"Marcelo","Hannover 96","Brasilien","25","20.05.1987","DF"
"Felipe","Hannover 96","Brasilien","20","15.05.1987","DF"
"Hoffmann; Andre","Hannover 96","Deutschland","15","28.02.1993","DF"
"Karaman; Kenan","Hannover 96","Türkei","26","05.03.1994","FW"
"Dierßen; Tim","Hannover 96","Deutschland","34","15.01.1996","MF"
"Ernst; Sebastian","Hannover 96","Deutschland","36","04.03.1995","MF"
"Sakai; Hiroki","Hannover 96","Japan","4","12.04.1990","DF"
"Benschop; Charlison","Hannover 96","Niederlande","35","21.08.1989","FW"
"Bech; Uffe","Hannover 96","Dänemark","17","13.01.1993","MF"
"Tschauner; Philipp","Hannover 96","Deutschland","13","03.11.1985","GK"
"Sobiech; Artur","Hannover 96","Polen","9","12.06.1990","FW"
"Sulejmani; Valmir","Hannover 96","Albanien","38","01.02.1996","MF"
"Medojevic; Slobodan","Eintracht Frankfurt","Serbien","25","20.11.1990","MF"
"Kinsombi; David","Eintracht Frankfurt","Deutschland","31","12.12.1995","DF"
"Anderson","Eintracht Frankfurt","Brasilien","23","10.01.1988","DF"
"Hasebe; Makoto","Eintracht Frankfurt","Japan","20","18.01.1984","MF"
"Ignjovski; Aleksandar","Eintracht Frankfurt","Serbien","27","27.01.1991","DF"
"Reinartz; Stefan","Eintracht Frankfurt","Deutschland","7","01.01.1989","MF"
"Gacinovic; Mijat","Eintracht Frankfurt","Serbien","11","08.02.1995","MF"
"Djakpa; Constant","Eintracht Frankfurt","Elfenbeinküste","15","17.10.1986","DF"
"Kittel; Sonny","Eintracht Frankfurt","Deutschland","28","06.01.1993","MF"
"Seferovic; Haris","Eintracht Frankfurt","Schweiz","9","22.02.1992","FW"
"Gerezgiher; Joel","Eintracht Frankfurt","Deutschland","32","09.10.1995","MF"
"Lindner; Heinz","Eintracht Frankfurt","Österreich","13","17.07.1990","GK"
"Chandler; Timothy","Eintracht Frankfurt","USA","22","29.03.1990","DF"
"Castaignos; Luc","Eintracht Frankfurt","Niederlande","30","27.09.1992","FW"
"Flum; Johannes","Eintracht Frankfurt","Deutschland","18","14.12.1987","MF"
"Kadlec; Vaclav","Eintracht Frankfurt","Tschechien","10","20.05.1992","FW"
"Abraham; David","Eintracht Frankfurt","Argentinien","19","15.07.1986","DF"
"Russ; Marco","Eintracht Frankfurt","Deutschland","4","04.08.1985","DF"
"Meier; Alexander","Eintracht Frankfurt","Deutschland","14","17.01.1983","FW"
"Balayev; Emil","Eintracht Frankfurt","Aserbaidschan","29","17.04.1994","GK"
"Hradecky; Lukas","Eintracht Frankfurt","Finnland","1","24.11.1989","GK"
"Zambrano; Carlos","Eintracht Frankfurt","Peru","5","10.07.1989","DF"
"Waldschmidt; Luca","Eintracht Frankfurt","Deutschland","24","19.05.1996","FW"
"Stendera; Marc","Eintracht Frankfurt","Deutschland","21","10.12.1995","MF"
"Aigner; Stefan","Eintracht Frankfurt","Deutschland","16","20.08.1987","MF"
"Zummack; Yannick","Eintracht Frankfurt","Deutschland","33","26.03.1996","GK"
"Oczipka; Bastian","Eintracht Frankfurt","Deutschland","6","12.01.1989","DF"
"Ben-Hatira; Änis","Hertha BSC","Tunesien","10","18.07.1988","MF"
"van den Bergh; Johannes","Hertha BSC","Deutschland","23","21.11.1986","DF"
"Körber; Nils-Jonathan","Hertha BSC","Deutschland","29","13.11.1996","GK"
"Kohls; Florian","Hertha BSC","Deutschland","31","03.04.1995","MF"
"Jarstein; Rune","Hertha BSC","Norwegen","22","29.09.1984","GK"
"Cigerci; Tolga","Hertha BSC","Deutschland","17","23.03.1992","MF"
"Stark; Niklas","Hertha BSC","Deutschland","5","14.04.1995","DF"
"Gersbeck; Marius","Hertha BSC","Deutschland","35","20.06.1995","GK"
"Allagui; Sami","Hertha BSC","Tunesien","11","28.05.1986","FW"
"Kalou; Salomon","Hertha BSC","Elfenbeinküste","8","05.08.1985","FW"
"Hegeler; Jens","Hertha BSC","Deutschland","13","22.01.1988","MF"
"Plattenhardt; Marvin","Hertha BSC","Deutschland","21","26.01.1992","DF"
"Stocker; Valentin","Hertha BSC","Schweiz","14","12.04.1989","MF"
"Skjelbred; Per Ciljan","Hertha BSC","Norwegen","3","16.06.1987","MF"
"Baumjohann; Alexander","Hertha BSC","Deutschland","9","23.01.1987","MF"
"Haraguchi; Genki","Hertha BSC","Japan","24","09.05.1991","MF"
"Ronny","Hertha BSC","Brasilien","12","11.05.1986","MF"
"Brooks; John Anthony","Hertha BSC","USA","25","28.01.1993","DF"
"Weiser; Mitchell","Hertha BSC","Deutschland","20","21.04.1994","MF"
"Ibisevic; Vedad","Hertha BSC","Bosnien-Herzegowina","19","06.08.1984","FW"
"Lustenberger; Fabian","Hertha BSC","Schweiz","28","02.05.1988","MF"
"Pekarik; Peter","Hertha BSC","Slowakei","2","30.10.1986","DF"
"Langkamp; Sebastian","Hertha BSC","Deutschland","15","15.01.1988","DF"
"Darida; Vladimir","Hertha BSC","Tschechien","6","08.08.1990","MF"
"Beerens; Roy","Hertha BSC","Niederlande","27","22.12.1987","MF"
"Schieber; Julian","Hertha BSC","Deutschland","16","13.02.1989","FW"
"Kraft; Thomas","Hertha BSC","Deutschland","1","22.07.1988","GK"
"Mittelstädt; Maximilian","Hertha BSC","Deutschland","34","18.03.1997","DF"
"Baumann; Oliver","TSG Hoffenheim","Deutschland","1","02.06.1990","GK"
"Volland; Kevin","TSG Hoffenheim","Deutschland","31","30.07.1992","FW"
"Polanski; Eugen","TSG Hoffenheim","Polen","8","17.03.1986","MF"
"Kuranyi; Kevin","TSG Hoffenheim","Deutschland","22","02.03.1982","FW"
"Elyounoussi; Tarik","TSG Hoffenheim","Norwegen","14","23.02.1988","MF"
"Kim; Jin-Su","TSG Hoffenheim","Südkorea","20","13.06.1992","DF"
"Strobl; Tobias","TSG Hoffenheim","Deutschland","12","12.05.1990","DF"
"Szalai; Adam","TSG Hoffenheim","Ungarn","28","09.12.1987","FW"
"Schmid; Jonathan","TSG Hoffenheim","Frankreich","10","22.06.1990","MF"
"Rapp; Nicolai","TSG Hoffenheim","Deutschland","21","13.12.1996","DF"
"Joelinton","TSG Hoffenheim","Brasilien","40","14.08.1996","FW"
"Schär; Fabian","TSG Hoffenheim","Schweiz","5","20.12.1991","DF"
"Grahl; Jens","TSG Hoffenheim","Deutschland","13","22.09.1988","GK"
"Rudy; Sebastian","TSG Hoffenheim","Deutschland","6","28.02.1990","MF"
"Malbasic; Filip","TSG Hoffenheim","Serbien","xx","18.11.1992","MF"
"Zuber; Steven","TSG Hoffenheim","Schweiz","17","17.08.1991","MF"
"Kaderabek; Pavel","TSG Hoffenheim","Tschechien","3","25.04.1992","DF"
"Ochs; Philipp","TSG Hoffenheim","Deutschland","30","17.04.1997","FW"
