" Shirt Name"," Date of Birth"," Last Name"," First Name"," FIFA Display Name","Country"," Height"," #"," Position"," Club"," Club Country"
" CHAOUCHI"," 05 Dec 1984"," CHAOUCHI"," Faouzi"," Faouzi CHAOUCHI","Algeria"," 180"," 16"," Goalkeeper"," Setif"," ALG"
" GUEDIOURA"," 12 Nov 1985"," GUEDIOURA"," Adlane"," Adlane GUEDIOURA","Algeria"," 183"," 17"," Midfielder"," Wolverhampton"," ENG"
" MEDJANI"," 15 May 1985"," MEDJANI"," Carl"," Carl MEDJANI","Algeria"," 184"," 18"," Defender"," Ajaccio"," FRA"
" YEBDA"," 14 May 1984"," YEBDA"," Hassan"," Hassan YEBDA","Algeria"," 188"," 19"," Midfielder"," Portsmouth"," ENG"
" Eddine"," MESBAH 09 Oct 1984"," MESBAH"," Djamel"," Djamel MESBAH","Algeria"," 180"," 20"," Defender"," Lecce"," ITA"
" KADIR"," 05 Dec 1983"," KADIR"," Foued"," Foued KADIR","Algeria"," 180"," 21"," Midfielder"," Valenciennes"," FRA"
" ABDOUN"," 14 Feb 1986"," ABDOUN"," Djamal"," Djamal ABDOUN","Algeria"," 180"," 22"," Midfielder"," Nantes"," FRA"
" MBOLHI"," 25 Apr 1986"," M'BOLHI"," Adi Rais Cobos Adrien"," Rais M BOLHI","Algeria"," 190"," 23"," Goalkeeper"," Slavia Sofia"," BUL"
" POZO"," 16 Feb 1978"," POZO"," Diego"," Diego POZO","Argentina"," 183"," 1"," Goalkeeper"," Atletico Colon"," ARG"
" DEMICHELIS"," 20 Dec 1980"," DEMICHELIS"," Martin Gaston"," Martin DEMICHELIS","Argentina"," 184"," 2"," Defender"," Bayern Munich"," GER"
" RODRIGUEZ C."," 31 Jul 1981"," RODRIGUEZ"," Clemente Juan"," Clemente RODRIGUEZ","Argentina"," 166"," 3"," Defender"," Estudiantes La Plata"," ARG"
" BURDISSO"," 12 Apr 1981"," BURDISSO"," Nicolas Andres"," Nicolas BURDISSO","Argentina"," 174"," 4"," Defender"," AS Roma"," ITA"
" BOLATTI"," 17 Feb 1985"," BOLATTI"," Mario Ariel"," Mario BOLATTI","Argentina"," 189"," 5"," Midfielder"," Fiorentina"," ITA"
" HEINZE"," 19 Apr 1978"," HEINZE"," Gabriel Ivan"," Gabriel HEINZE","Argentina"," 178"," 6"," Defender"," Marseille"," FRA"
" DI MARIA"," 14 Feb 1988"," DI MARIA"," Angel Fabian"," Angel DI MARIA","Argentina"," 180"," 7"," Midfielder"," Benfica"," POR"
" VERON"," 09 Mar 1975"," VERON"," Juan Sebastian"," Juan VERON","Argentina"," 183"," 8"," Midfielder"," Estudiantes La Plata"," ARG"
" HIGUAIN"," 10 Dec 1987"," HIGUAIN"," Gonzalo Gerardo"," Gonzalo HIGUAIN","Argentina"," 182"," 9"," Forward"," Real Madrid"," ESP"
" MESSI"," 24 Jun 1987"," MESSI CUCCITTINI"," Lionel Andres"," Lionel MESSI","Argentina"," 170"," 10"," Forward"," Barcelona"," ESP"
" CARLITOS"," 05 Feb 1984"," TEVEZ"," Carlos Alberto"," Carlos TEVEZ","Argentina"," 173"," 11"," Forward"," Manchester City"," ENG"
" GARCE"," 14 Jul 1979"," GARCE"," Ariel Hernan"," Ariel GARCE","Argentina"," 175"," 12"," Defender"," Atletico Colon"," ARG"
" SAMUEL"," 23 Mar 1978"," SAMUEL"," Walter Adrian"," Walter SAMUEL","Argentina"," 182"," 13"," Defender"," Inter"," ITA"
" MASCHERANO"," 08 Jun 1984"," MASCHERANO"," Javier Alejandro"," Javier MASCHERANO","Argentina"," 171"," 14"," Midfielder"," Liverpool"," ENG"
" OTAMENDI"," 12 Feb 1988"," OTAMENDI"," Nicolas Hernan"," Nicolas OTAMENDI","Argentina"," 171"," 15"," Defender"," Velez Sarsfield"," ARG"
" KUN AGUERO"," 02 Jun 1988"," AGÜERO"," Sergio Leonel"," Sergio AGUERO","Argentina"," 170"," 16"," Forward"," Atletico Madrid"," ESP"
" JONAS"," 05 Jul 1983"," GUTIERREZ"," Jonas Manuel"," Jonas GUTIERREZ","Argentina"," 182"," 17"," Midfielder"," Newcastle Utd."," ENG"
" PALERMO"," 07 Nov 1973"," PALERMO"," Martin"," Martin PALERMO","Argentina"," 188"," 18"," Forward"," Boca Juniors"," ARG"
" MILITO D."," 12 Jun 1979"," MILITO"," Diego"," Diego MILITO","Argentina"," 177"," 19"," Forward"," Inter"," ITA"
" RODRIGUEZ M."," 02 Jan 1981"," RODRIGUEZ"," Maximiliano Ruben"," Maxi RODRIGUEZ","Argentina"," 173"," 20"," Midfielder"," Liverpool"," ENG"
" ANDUJAR"," 30 Jul 1983"," ANDUJAR"," Mariano"," Mariano ANDUJAR","Argentina"," 180"," 21"," Goalkeeper"," Catania"," ITA"
" ROMERO"," 22 Feb 1987"," ROMERO"," Sergio German"," Sergio ROMERO","Argentina"," 191"," 22"," Goalkeeper"," AZ Alkmaar"," NED"
" PASTORE"," 20 Jun 1989"," PASTORE"," Javier"," Javier PASTORE","Argentina"," 173"," 23"," Midfielder"," Palermo"," ITA"
" SCHWARZER"," 06 Oct 1972"," SCHWARZER"," Mark"," Mark SCHWARZER","Australia"," 196"," 1"," Goalkeeper"," Fulham"," ENG"
" NEILL"," 09 Mar 1978"," NEILL"," Lucas Edward"," Lucas NEILL","Australia"," 185"," 2"," Defender"," Galatasaray"," TUR"
" MOORE"," 12 Dec 1975"," MOORE"," Craig Andrew"," Craig MOORE","Australia"," 186"," 3"," Defender"," No club affiliation"," UNK"
" CAHILL"," 06 Dec 1979"," CAHILL"," Timothy Filiga"," Tim CAHILL","Australia"," 180"," 4"," Forward"," Everton"," ENG"
" CULINA"," 05 Aug 1980"," CULINA"," Jason"," Jason CULINA","Australia"," 175"," 5"," Midfielder"," Gold Coast United"," AUS"
" BEAUCHAMP"," 08 Mar 1981"," BEAUCHAMP"," Michael Francis"," Michael BEAUCHAMP","Australia"," 191"," 6"," Defender"," Al Jazira"," UAE"
" EMERTON"," 22 Feb 1979"," EMERTON"," Brett Michael"," Brett EMERTON","Australia"," 185"," 7"," Midfielder"," Blackburn Rovers"," ENG"
" WILKSHIRE"," 02 Oct 1981"," WILKSHIRE"," Luke"," Luke WILKSHIRE","Australia"," 177"," 8"," Defender"," Dynamo Moscow"," RUS"
" KENNEDY"," 20 Aug 1982"," KENNEDY"," Joshua Blake"," Joshua KENNEDY","Australia"," 192"," 9"," Forward"," Nagoya Grampus Eight"," JPN"
" KEWELL"," 22 Sep 1978"," KEWELL"," Harry"," Harry KEWELL","Australia"," 183"," 10"," Forward"," Galatasaray"," TUR"
" CHIPPERFIELD"," 30 Dec 1975"," CHIPPERFIELD"," Scott Kenneth"," Scott CHIPPERFIELD","Australia"," 180"," 11"," Defender"," Basel"," SUI"
" FEDERICI"," 31 Jan 1985"," FEDERICI"," Adam Jay"," Adam FEDERICI","Australia"," 188"," 12"," Goalkeeper"," Reading"," ENG"
" GRELLA"," 05 Oct 1979"," GRELLA"," Vincenzo"," Vince GRELLA","Australia"," 183"," 13"," Midfielder"," Blackburn Rovers"," ENG"
" HOLMAN"," 27 Mar 1984"," HOLMAN"," Brett Trevor"," Brett HOLMAN","Australia"," 176"," 14"," Forward"," AZ Alkmaar"," NED"
" JEDINAK"," 03 Aug 1984"," JEDINAK"," Michael John"," Mile JEDINAK","Australia"," 188"," 15"," Midfielder"," Antalyaspor"," TUR"
" VALERI"," 14 Aug 1984"," VALERI"," Carl"," Carl VALERI","Australia"," 180"," 16"," Midfielder"," Sassuolo"," ITA"
" RUKAVYTSYA"," 22 Jun 1987"," RUKAVYTSYA"," Nikita"," Nikita RUKAVYTSYA","Australia"," 183"," 17"," Forward"," Twente Enschede"," NED"
" JONES"," 19 Mar 1982"," JONES"," Bradley Scott"," Brad JONES","Australia"," 193"," 18"," Goalkeeper"," Middlesbrough"," ENG"
" GARCIA"," 04 Sep 1981"," GARCIA"," Richard"," Richard GARCIA","Australia"," 180"," 19"," Forward"," Hull City"," ENG"
" MILLIGAN"," 04 Aug 1985"," MILLIGAN"," Mark Daniel"," Mark MILLIGAN","Australia"," 178"," 20"," Defender"," JEF United Ichihara"," JPN"
" CARNEY"," 30 Nov 1983"," CARNEY"," David Raymond"," David CARNEY","Australia"," 181"," 21"," Defender"," Twente Enschede"," NED"
" VIDOSIC"," 08 Apr 1987"," VIDOSIC"," Dario"," Dario VIDOSIC","Australia"," 185"," 22"," Midfielder"," MSV Duisburg"," GER"
" BRESCIANO"," 11 Feb 1980"," BRESCIANO"," Mark"," Marco BRESCIANO","Australia"," 182"," 23"," Forward"," Palermo"," ITA"
" JULIO CESAR"," 03 Sep 1979"," SOARES DE ESPINDOLA"," Julio Cesar"," JULIO CESAR","Brazil"," 186"," 1"," Goalkeeper"," Inter"," ITA"
" MAICON"," 26 Jul 1981"," SISENANDO"," Maicon Douglas"," MAICON","Brazil"," 186"," 2"," Defender"," Inter"," ITA"
" LÚCIO"," 08 May 1978"," DA SILVA FERREIRA"," Lucimar"," LUCIO","Brazil"," 188"," 3"," Defender"," Inter"," ITA"
" JUAN"," 01 Feb 1979"," SILVEIRA DOS SANTOS"," Juan"," JUAN","Brazil"," 182"," 4"," Defender"," AS Roma"," ITA"
" FELIPE MELO"," 26 Jun 1983"," MELO DE CARVALHO"," Felipe"," FELIPE MELO","Brazil"," 183"," 5"," Midfielder"," Juventus"," ITA"
" BASTOS"," 02 Aug 1983"," FERNANDES BASTOS"," Michel M."," MICHEL BASTOS","Brazil"," 179"," 6"," Defender"," Lyon"," FRA"
" ELANO"," 14 Jun 1981"," BLUMER"," Elano"," ELANO","Brazil"," 174"," 7"," Midfielder"," Galatasaray"," TUR"
" G. SILVA"," 07 Oct 1976"," DA SILVA"," Gilberto Aparecido"," GILBERTO SILVA","Brazil"," 184"," 8"," Midfielder"," Panathinaikos"," GRE"
" L. FABIANO"," 08 Nov 1980"," CLEMENTE"," Luis Fabiano"," LUIS FABIANO","Brazil"," 186"," 9"," Forward"," Sevilla FC"," ESP"
" KAKÁ"," 22 Apr 1982"," IZECSON DOS SANTOS LEITE"," Ricardo"," KAKA","Brazil"," 186"," 10"," Midfielder"," Real Madrid"," ESP"
" ROBINHO"," 25 Jan 1984"," DE SOUZA"," Robson"," ROBINHO","Brazil"," 175"," 11"," Forward"," Santos"," BRA"
" GOMES"," 15 Feb 1981"," DA SILVA GOMES"," Heurelho"," GOMES","Brazil"," 191"," 12"," Goalkeeper"," Tottenham Hotspur"," ENG"
" ALVES"," 06 May 1983"," ALVES DA SILVA"," Daniel D."," DANI ALVES","Brazil"," 173"," 13"," Defender"," Barcelona"," ESP"
" LUISÃO"," 13 Feb 1981"," DA SILVA"," Anderson Luis"," LUISAO","Brazil"," 193"," 14"," Defender"," Benfica"," POR"
" T. SILVA"," 22 Sep 1984"," DA SILVA"," Thiago Emiliano"," THIAGO SILVA","Brazil"," 183"," 15"," Defender"," AC Milan"," ITA"
" GILBERTO"," 25 Apr 1976"," DA SILVA MELO"," Gilberto"," GILBERTO MELO","Brazil"," 180"," 16"," Defender"," Cruzeiro"," BRA"
" JOSUÉ"," 19 Jul 1979"," DE OLIVEIRA"," Josué Anunciado"," JOSUE","Brazil"," 169"," 17"," Midfielder"," Wolfsburg"," GER"
" RAMIRES"," 24 Mar 1987"," SANTOS DO NASCIMENTO"," Ramires"," RAMIRES","Brazil"," 179"," 18"," Midfielder"," Benfica"," POR"
" BAPTISTA"," 01 Oct 1981"," BAPTISTA"," Julio Cesar J."," JULIO BAPTISTA","Brazil"," 185"," 19"," Midfielder"," AS Roma"," ITA"
" KLEBERSON"," 19 Jun 1979"," PEREIRA"," José Kleberson"," KLEBERSON","Brazil"," 175"," 20"," Midfielder"," Flamengo"," BRA"
" NILMAR"," 14 Jul 1984"," HONORATO DA SILVA"," Nilmar"," NILMAR","Brazil"," 180"," 21"," Forward"," Villarreal"," ESP"
" DONI"," 22 Oct 1979"," MARANGON"," Donieber Alexander"," DONI","Brazil"," 194"," 22"," Goalkeeper"," AS Roma"," ITA"
" GRAFITE"," 02 Apr 1979"," LIBANIO BATISTA"," Edinaldo"," GRAFITE","Brazil"," 189"," 23"," Forward"," Wolfsburg"," GER"
" KAMENI"," 18 Feb 1984"," KAMENI"," Idris Carlos"," Idriss KAMENI","Cameroon"," 185"," 1"," Goalkeeper"," Espanyol"," ESP"
" ASSOU EKOTTO"," 24 Mar 1984"," ASSOU-EKOTTO"," Benoit"," Benoit ASSOU-EKOTTO","Cameroon"," 178"," 2"," Defender"," Tottenham Hotspur"," ENG"
" NKOULOU"," 27 Mar 1990"," NKOULOU NDOUBENA"," Nicolas Julio"," Nicolas NKOULOU","Cameroon"," 185"," 3"," Defender"," Monaco"," FRA"
" SONG"," 01 Jul 1976"," SONG BAHANAG"," Rigobert"," Rigobert SONG","Cameroon"," 185"," 4"," Defender"," Trabzonspor"," TUR"
" BASSONG"," 09 Jul 1986"," BASSONG NGUEMA"," Sebastien Aymer"," Sebastien BASSONG","Cameroon"," 187"," 5"," Defender"," Tottenham Hotspur"," ENG"
" A. SONG"," 09 Sep 1987"," SONG BILONG"," Alexandre Dimitri"," Alexandre SONG","Cameroon"," 183"," 6"," Midfielder"," Arsenal"," ENG"
" NGUEMO"," 28 Nov 1985"," TSAFACK NGUEMO"," Joel Landry"," Landry NGUEMO","Cameroon"," 172"," 7"," Midfielder"," Celtic"," SCO"
" NJITAP"," 20 Dec 1978"," NJITAP FOTSO"," Geremi Sorelle"," GEREMI","Cameroon"," 177"," 8"," Defender"," Ankaragucu"," TUR"
" ETO'O"," 10 Mar 1981"," ETO'O FILS"," Samuel"," Samuel ETOO","Cameroon"," 178"," 9"," Forward"," Inter"," ITA"
" EMANA"," 05 Jun 1982"," EMANA EDZIMBI"," Achille"," Achille EMANA","Cameroon"," 180"," 10"," Forward"," Betis Sevilla"," ESP"
" MAKOUN"," 29 May 1983"," MAKOUN"," Jean II"," Jean MAKOUN","Cameroon"," 170"," 11"," Midfielder"," Lyon"," FRA"
" BONG"," 25 Apr 1988"," BONG"," Thomas Gaëtan"," Gaetan BONG","Cameroon"," 183"," 12"," Defender"," Valenciennes"," FRA"
" CHOUPO - MOTING"," 23 Mar 1989"," CHOUPO MOTING"," Eric Maxim"," Eric CHOUPO MOTING","Cameroon"," 190"," 13"," Forward"," Nuremberg"," GER"
" CHEDJOU"," 20 Jun 1985"," CHEDJOU FONGANG"," Aurelien Bayard"," Aurelien CHEDJOU","Cameroon"," 185"," 14"," Defender"," Lille"," FRA"
" WEBO"," 20 Jan 1982"," WEBO KOUAMO"," Pierre Achille"," Pierre WEBO","Cameroon"," 180"," 15"," Forward"," Mallorca"," ESP"
" SOULEYMANOU"," 22 Nov 1973"," HAMIDOU"," Souleymanou"," Souleymanou HAMIDOU","Cameroon"," 187"," 16"," Goalkeeper"," Kayserispor"," TUR"
" IDRISSOU"," 08 Mar 1980"," IDRISSOU"," Mohamadou"," Mohamadou IDRISSOU","Cameroon"," 190"," 17"," Forward"," SC Freiburg"," GER"
" EYONG"," 23 Mar 1986"," TARKANG ENOH"," Eyong"," Eyong ENOH","Cameroon"," 180"," 18"," Midfielder"," Ajax"," NED"
" MBIA"," 20 May 1986"," MBIA ETOUNDI"," Stephane"," Stephane MBIA","Cameroon"," 190"," 19"," Defender"," Marseille"," FRA"
" MANDJECK"," 09 Dec 1988"," MANDJECK"," Georges Constant"," Georges MANDJECK","Cameroon"," 181"," 20"," Midfielder"," Kaiserslautern"," GER"
" MATIP"," 08 Aug 1991"," MATIP JOB"," Joel Andre"," Joel MATIP","Cameroon"," 194"," 21"," Midfielder"," Schalke 04"," GER"
" NDY ASSEMBE"," 28 Feb 1986"," NDY ASSEMBE"," Guy Roland"," Guy NDY","Cameroon"," 185"," 22"," Goalkeeper"," Valenciennes"," FRA"
" ABOUBAKAR"," 22 Jan 1992"," ABOUBAKAR"," Vincent"," Vincent ABOUBAKAR","Cameroon"," 176"," 23"," Forward"," Coton Sport"," CMR"
" BRAVO"," 13 Apr 1983"," BRAVO MUNOZ"," Claudio Andres"," Claudio BRAVO","Chile"," 183"," 1"," Goalkeeper"," Real Sociedad"," ESP"
" FUENTES"," 04 Aug 1981"," FUENTES CASTRO"," Ismael Ignacio"," Ismael FUENTES","Chile"," 181"," 2"," Defender"," Univ. Catolica"," CHI"
" PONCE"," 04 Dec 1982"," PONCE CARRIZO"," Waldo Alonso"," Waldo PONCE","Chile"," 183"," 3"," Defender"," Univ. Catolica"," CHI"
" ISLA"," 12 Jun 1988"," ISLA ISLA"," Mauricio Anibal"," Mauricio ISLA","Chile"," 177"," 4"," Defender"," Udinese"," ITA"
" CONTRERAS"," 11 Sep 1978"," CONTRERAS FICA"," Pablo Andres"," Pablo CONTRERAS","Chile"," 178"," 5"," Defender"," PAOK"," GRE"
" CARMONA"," 21 Feb 1987"," CARMONA TELLO"," Carlos Emilio"," Carlos CARMONA","Chile"," 179"," 6"," Midfielder"," Reggina"," ITA"
" SANCHEZ"," 19 Dec 1988"," SANCHEZ SANCHEZ"," Alexis Alejandro"," Alexis SANCHEZ","Chile"," 168"," 7"," Forward"," Udinese"," ITA"
" VIDAL"," 22 May 1987"," VIDAL PARDO"," Arturo Erasmo"," Arturo VIDAL","Chile"," 178"," 8"," Midfielder"," Bayer Leverkusen"," GER"
" SUAZO"," 10 May 1981"," SUAZO PONTIVO"," Humberto Andres"," Humberto SUAZO","Chile"," 171"," 9"," Forward"," Zaragoza"," ESP"
" VALDIVIA"," 19 Oct 1983"," VALDIVIA TORO"," Jorge Luis"," Jorge VALDIVIA","Chile"," 173"," 10"," Midfielder"," Al Ain"," UAE"
" GONZALEZ"," 10 Jul 1984"," GONZALEZ HOFFMANN"," Mark Dennis M."," Mark GONZALEZ","Chile"," 175"," 11"," Forward"," CSKA Moscow"," RUS"
" PINTO"," 04 Jul 1983"," PINTO JEREZ"," Miguel Angel"," Miguel PINTO","Chile"," 180"," 12"," Goalkeeper"," Univ. de Chile"," CHI"
" ESTRADA"," 28 May 1983"," ESTRADA QUINTEROS"," Marco Andres"," Marco ESTRADA","Chile"," 174"," 13"," Midfielder"," Univ. de Chile"," CHI"
" FERNANDEZ"," 15 May 1986"," FERNANDEZ FERNANDEZ"," Matias Ariel"," Matias FERNANDEZ","Chile"," 176"," 14"," Midfielder"," Sporting Lisbon"," POR"
" BEAUSEJOUR"," 01 Jun 1984"," BEAUSEJOUR COLIQUEO"," Jean Andre"," Jean BEAUSEJOUR","Chile"," 178"," 15"," Forward"," America"," MEX"
" ORELLANA"," 27 Jan 1986"," ORELLANA VALENZUELA"," Fabian Ariel"," Fabian ORELLANA","Chile"," 168"," 16"," Forward"," Xerez"," ESP"
" MEDEL"," 03 Aug 1987"," MEDEL SOTO"," Gary Alexis"," Gary MEDEL","Chile"," 171"," 17"," Defender"," Boca Juniors"," ARG"
" JARA"," 29 Aug 1985"," JARA REYES"," Gonzalo Alejandro"," Gonzalo JARA","Chile"," 177"," 18"," Defender"," West Bromwich Albion"," ENG"
" FIERRO"," 21 Mar 1983"," FIERRO CANIULLAN"," Gonzalo Antonio"," Gonzalo FIERRO","Chile"," 171"," 19"," Midfielder"," Flamengo"," BRA"
" MILLAR"," 03 Nov 1981"," MILLAR CARVAJAL"," Rodrigo Javier"," Rodrigo MILLAR","Chile"," 182"," 20"," Midfielder"," Colo Colo"," CHI"
" TELLO"," 14 Oct 1979"," TELLO VALENZUELA"," Rodrigo Alvaro"," Rodrigo TELLO","Chile"," 171"," 21"," Midfielder"," Besiktas"," TUR"
" PAREDES"," 01 Aug 1980"," PAREDES QUINTANILLA"," Esteban Efrain"," Esteban PAREDES","Chile"," 179"," 22"," Forward"," Colo Colo"," CHI"
" MARIN"," 18 May 1983"," MARIN BARAHONA"," Luis Antonio"," Luis MARIN","Chile"," 186"," 23"," Goalkeeper"," Union Espanola"," CHI"
" BARRY"," 30 Dec 1979"," BARRY"," Boubacar"," Boubacar BARRY","Côte d'Ivoire"," 180"," 1"," Goalkeeper"," Lokeren"," BEL"
" ANGOUA"," 28 Nov 1986"," ANGOUA"," Brou Benjamin"," Brou ANGOUA","Côte d'Ivoire"," 178"," 2"," Defender"," Valenciennes"," FRA"
" BOKA"," 02 Apr 1983"," BOKA"," Etienne Arthur"," Arthur BOKA","Côte d'Ivoire"," 166"," 3"," Defender"," VfB Stuttgart"," GER"
" TOURE KOLO"," 19 Mar 1981"," TOURE"," Kolo Habib"," Kolo TOURE","Côte d'Ivoire"," 183"," 4"," Defender"," Manchester City"," ENG"
" ZOKORA"," 14 Dec 1980"," ZOKORA"," Alain Didier Deguy"," Didier ZOKORA","Côte d'Ivoire"," 183"," 5"," Midfielder"," Sevilla FC"," ESP"
" GOHOURI"," 08 Feb 1981"," GOHOURI"," Lohore Steve Ulrich"," Steve GOHOURI","Côte d'Ivoire"," 187"," 6"," Defender"," Wigan"," ENG"
" DOUMBIA"," 31 Dec 1987"," DOUMBIA"," Seydou"," Seydou DOUMBIA","Côte d'Ivoire"," 183"," 7"," Forward"," Young Boys"," SUI"
" KALOU"," 05 Aug 1985"," KALOU"," Salomon Armand Magloire"," Salomon KALOU","Côte d'Ivoire"," 175"," 8"," Forward"," Chelsea"," ENG"
" TIOTE"," 21 Jun 1986"," TIOTE CHEIK"," Ismael"," Ismael TIOTE","Côte d'Ivoire"," 175"," 9"," Midfielder"," Twente Enschede"," NED"
" GERVINHO"," 27 May 1987"," YAO KOUASSI"," Gervais"," GERVINHO","Côte d'Ivoire"," 179"," 10"," Forward"," Lille"," FRA"
" DROGBA"," 11 Mar 1978"," DROGBA TEBILY"," Didier Yves"," Didier DROGBA","Côte d'Ivoire"," 180"," 11"," Forward"," Chelsea"," ENG"
" GOSSO"," 15 Mar 1983"," GOSSO"," Jean Jacques"," Jean Jacques GOSSO","Côte d'Ivoire"," 177"," 12"," Midfielder"," Monaco"," FRA"
" ROMARIC"," 04 Jun 1983"," N'DRI"," Koffi Christian Romaric"," ROMARIC","Côte d'Ivoire"," 187"," 13"," Midfielder"," Sevilla FC"," ESP"
" KONE"," 31 Dec 1986"," KONE KOUAMATIEN"," Emmanuel"," Emmanuel KONE","Côte d'Ivoire"," 177"," 14"," Midfielder"," International"," ROU"
" DINDANE"," 26 Nov 1980"," DINDANE"," Aruna"," Aruna DINDANE","Côte d'Ivoire"," 174"," 15"," Forward"," Portsmouth"," ENG"
" ZOGBO"," 30 Dec 1981"," ZOGBO"," Aristide Benoit"," Aristide ZOGBO","Côte d'Ivoire"," 183"," 16"," Goalkeeper"," Maccabi Netanya"," ISR"
" TIENE"," 22 Feb 1982"," TIENE"," Siaka"," Siaka TIENE","Côte d'Ivoire"," 176"," 17"," Defender"," Valenciennes"," FRA"
" KEITA"," 06 Aug 1981"," KEITA"," Abdul Kader"," Kader KEITA","Côte d'Ivoire"," 184"," 18"," Forward"," Lyon"," FRA"
" TOURE YAYA"," 13 May 1983"," TOURE"," Yaya Gnegneri"," Yaya TOURE","Côte d'Ivoire"," 189"," 19"," Midfielder"," Barcelona"," ESP"
" DEMEL"," 13 Jun 1981"," DEMEL"," Guy"," Guy DEMEL","Côte d'Ivoire"," 191"," 20"," Defender"," Hamburger SV"," GER"
" EBOUE"," 04 Jun 1983"," EBOUE"," Emmanuel"," Emmanuel EBOUE","Côte d'Ivoire"," 178"," 21"," Defender"," Arsenal"," ENG"
" BAMBA"," 13 Jan 1985"," BAMBA"," Souleman"," Souleymane BAMBA","Côte d'Ivoire"," 190"," 22"," Defender"," Hibernian"," SCO"
" YEBOAH"," 13 Nov 1984"," YEBOAH"," Daniel Techi"," Daniel YEBOAH","Côte d'Ivoire"," 187"," 23"," Goalkeeper"," ASEC Mimosas"," CIV"
" SØRENSEN"," 12 Jun 1976"," SORENSEN"," Thomas Løvendahl"," Thomas SORENSEN","Denmark"," 185"," 1"," Goalkeeper"," Stoke City"," ENG"
" C. POULSEN"," 28 Feb 1980"," POULSEN"," Christian Bjørnshøj"," Christian POULSEN","Denmark"," 182"," 2"," Midfielder"," Juventus"," ITA"
" KJÆR"," 26 Mar 1989"," KJAER"," Simon Thorup"," Simon KJAER","Denmark"," 191"," 3"," Defender"," Palermo"," ITA"
" AGGER"," 12 Dec 1984"," AGGER"," Daniel Munthe"," Daniel AGGER","Denmark"," 188"," 4"," Defender"," Liverpool"," ENG"
" KVIST"," 24 Feb 1985"," KVIST JØRGENSEN"," William"," William KVIST","Denmark"," 185"," 5"," Midfielder"," Copenhagen"," DEN"
" L. JACOBSEN"," 20 Sep 1979"," JACOBSEN"," Lars Christian"," Lars JACOBSEN","Denmark"," 184"," 6"," Defender"," Blackburn Rovers"," ENG"
" JENSEN"," 25 Jun 1979"," JENSEN"," Daniel Monberg"," Daniel JENSEN","Denmark"," 180"," 7"," Midfielder"," Werder Bremen"," GER"
" GRØNKJÆR"," 12 Aug 1977"," GRONKJAER"," Jesper"," Jesper GRONKJAER","Denmark"," 187"," 8"," Forward"," Copenhagen"," DEN"
